countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	2005	6436530														
World +	5001	Grand Total +	2901	2005													2761	76.1	77.7
World +	5001	Vegetal Products +	2903	2005													2287	46.9	42.8
World +	5001	Animal Products +	2941	2005													474	29.2	34.9
World +	5001	Cereals - Excluding Beer +	2905	2005		2047700	310808	-5070	323247	2030190	752223	65871	115528	153818	943131	146.5	1289	32.0	5.9
World +	5001	Wheat	2511	2005		620377	143958	-522	150811	613002	113730	32704	5080	35622	425925	66.2	533	16.2	2.5
World +	5001	Rice (Milled Equivalent)	2805	2005		422581	25817	-6869	30309	411220	19820	11121	2479	35638	342168	53.2	534	10.1	1.5
World +	5001	Barley	2513	2005		137514	31049	3409	34566	137406	91520	9310	24911	5005	6662	1.0	7	0.2	0.0
World +	5001	Maize	2514	2005		712791	91373	337	94447	710053	453476	5348	79296	65035	106996	16.6	138	3.3	1.2
World +	5001	Rye	2515	2005		15153	2088	1633	2387	16486	7996	1401	680	885	5525	0.9	6	0.2	0.0
World +	5001	Oats	2516	2005		23697	3525	781	3381	24622	17275	3027	1	634	3685	0.6	3	0.1	0.1
World +	5001	Millet	2517	2005		30889	299	-768	366	30054	4184	809	359	2433	22269	3.5	28	0.8	0.3
World +	5001	Sorghum	2518	2005		59530	5847	-2783	5302	57291	26075	875	2434	3279	24628	3.8	32	1.0	0.3
World +	5001	Cereals, Other	2520	2005		25167	6853	-287	1678	30055	18147	1275	290	5286	5273	0.8	7	0.2	0.0
World +	5001	Starchy Roots +	2907	2005		726276	42698	60	39810	729224	161697	34592	11545	99389	422174	65.6	148	2.3	0.3
World +	5001	Cassava	2532	2005		207508	18611	341	18073	208387	70542	0	1299	34932	101685	15.8	42	0.3	0.1
World +	5001	Potatoes	2531	2005		323929	23536	-125	21248	326093	33889	32357	10142	31020	218778	34.0	63	1.5	0.1
World +	5001	Sweet Potatoes	2533	2005		127027	185	0	140	127073	49081	264	103	7874	69753	10.8	29	0.3	0.1
World +	5001	Yams	2535	2005		48820	43	-180	43	48640	7524	1828		19499	19788	3.1	8	0.1	0.0
World +	5001	Roots, Other	2534	2005		18992	323	24	307	19032	660	142	1	6064	12170	1.9	6	0.1	0.0
World +	5001	Sugarcrops +	2908	2005		1567360	835	2364	796	1569770	22538	20451	1473060	26544	27174	4.2	3	0.0	0.0
World +	5001	Sugar Cane	2536	2005		1315800	33	-485	78	1315270	13664	20451	1229980	24035	27142	4.2	3	0.0	0.0
World +	5001	Sugar Beet	2537	2005		251564	802	2849	718	254496	8874		243085	2509	32	0.0	0	0.0	0.0
World +	5001	Sugar & Sweeteners +	2909	2005		176788	55396	3998	62318	173863	607	0	5493	18283	149858	23.3	222	0.0	0.0
World +	5001	Sugar, Non-Centrifugal	2541	2005		11668	3	0	11	11660	472		82	4831	6274	1.0	9	0.0	0.0
World +	5001	Sugar (Raw Equivalent)	2542	2005		141670	46600	3938	54582	137626	88		4522	9009	124005	19.3	188		
World +	5001	Sweeteners, Other	2543	2005		22043	8371	57	7301	23169	47	0	876	4442	18184	2.8	23	0.0	0.0
World +	5001	Honey	2745	2005		1407	421	3	424	1408	0		13	0	1395	0.2	2	0.0	
World +	5001	Pulses +	2911	2005		61001	10059	-1291	9854	59915	14894	3727	0	3273	38025	5.9	55	3.5	0.4
World +	5001	Beans	2546	2005		18960	2453	-534	2725	18154	1850	1100		996	14208	2.2	21	1.3	0.1
World +	5001	Peas	2547	2005		11278	4014	-266	4004	11021	5194	867	0	421	4539	0.7	6	0.4	0.0
World +	5001	Pulses, Other	2549	2005		30763	3591	-491	3125	30740	7851	1759	0	1856	19278	3.0	28	1.8	0.2
World +	5001	Treenuts +	2912	2005		11178	5070	-93	4668	11488		0	0	337	11286	1.8	12	0.3	0.9
World +	5001	Oilcrops +	2913	2005		461711	89424	-7299	89443	454393	26949	10727	349959	24385	44687	6.9	55	2.7	4.0
World +	5001	Soyabeans	2555	2005		214323	67177	-2518	66010	212973	9357	6723	180765	5916	10213	1.6	15	1.4	0.6
World +	5001	Groundnuts (Shelled Eq)	2556	2005		26825	1946	-232	1996	26543	3	1088	14486	1785	9328	1.4	21	0.9	1.8
World +	5001	Sunflowerseed	2557	2005		30467	3021	-1567	3112	28808	1884	602	25153	658	511	0.1	1	0.0	0.1
World +	5001	Rape and Mustardseed	2558	2005		50573	8722	-1989	9094	48212	3059	490	42480	1595	652	0.1	1	0.1	0.1
World +	5001	Cottonseed	2559	2005		43432	1320	1356	1336	44772	11034	1363	29697	2682	0	0.0	0	0.0	0.0
World +	5001	Coconuts - Incl Copra	2560	2005		56544	2331	-1749	2191	54935	45	148	24466	10251	20038	3.1	12	0.1	1.0
World +	5001	Sesameseed	2561	2005		3317	965	24	1007	3300	1	65	2015	147	1093	0.2	3	0.1	0.2
World +	5001	Palmkernels	2562	2005		9798	184	-28	170	9785	0		9663	119	6	0.0	0	0.0	0.0
World +	5001	Olives	2563	2005		15964	713	-226	700	15750			13281	316	2164	0.3	1	0.0	0.1
World +	5001	Oilcrops, Other	2570	2005		10469	3045	-371	3828	9315	1566	249	7952	916	681	0.1	1	0.1	0.1
World +	5001	Vegetable Oils +	2914	2005		124308	58048	-1650	62348	118358	843		300	47779	70295	10.9	262	0.0	29.6
World +	5001	Soyabean Oil	2571	2005		33979	10278	-637	11172	32448	232		8	9794	22413	3.5	82	0.0	9.3
World +	5001	Groundnut Oil	2572	2005		5584	234	-164	211	5443			2	1054	4391	0.7	16	0.0	1.9
World +	5001	Sunflowerseed Oil	2573	2005		10605	4689	-589	4623	10082			11	2240	7832	1.2	29	0.0	3.3
World +	5001	Rape and Mustard Oil	2574	2005		16825	3610	-703	3839	15893	611		8	5956	9319	1.4	35	0.0	3.9
World +	5001	Cottonseed Oil	2575	2005		4853	233	-47	189	4850			0	1277	3573	0.6	13	0.0	1.5
World +	5001	Palmkernel Oil	2576	2005		4373	2122	-195	2125	4175			7	2500	1668	0.3	6	0.0	0.7
World +	5001	Palm Oil	2577	2005		34008	27739	336	31909	30175	0		11	19014	11450	1.8	43	0.0	4.8
World +	5001	Coconut Oil	2578	2005		3352	2581	191	3061	3063			7	1273	1914	0.3	7	0.0	0.8
World +	5001	Sesameseed Oil	2579	2005		899	117	1	56	961	0		0	247	714	0.1	3	0.0	0.3
World +	5001	Olive Oil	2580	2005		2770	1603	161	1545	2989	0			340	2651	0.4	10	0.0	1.1
World +	5001	Ricebran Oil	2581	2005		1043	32	-74	29	972				177	796	0.1	3	0.0	0.4
World +	5001	Maize Germ Oil	2582	2005		2135	846	43	891	2133			0	168	1965	0.3	7	0.0	0.8
World +	5001	Oilcrops Oil, Other	2586	2005		3884	3965	28	2700	5176	0		246	3739	1609	0.3	6	0.0	0.7
World +	5001	Vegetables +	2918	2005		865307	51527	428	54962	862299	38765	105	671	73302	749432	116.4	77	3.9	0.7
World +	5001	Tomatoes	2601	2005		125866	13267	388	15287	124234	1958		0	11005	111273	17.3	9	0.4	0.1
World +	5001	Onions	2602	2005		63799	4710	-60	5683	62766	21	20	0	5188	57536	8.9	9	0.3	0.0
World +	5001	Vegetables, Other	2605	2005		675642	33550	99	33993	675299	36786	85	671	57109	580623	90.2	59	3.2	0.5
World +	5001	Fruits - Excluding Wine +	2919	2005		524033	105339	2506	104357	527521	4897		52534	47844	423698	65.8	83	1.0	0.5
World +	5001	Oranges, Mandarines	2611	2005		86497	25098	877	29441	83030	2		32	6552	77110	12.0	9	0.2	0.0
World +	5001	Lemons, Limes	2612	2005		12098	3276	25	3167	12233			84	1147	11001	1.7	1	0.0	0.0
World +	5001	Grapefruit	2613	2005		4039	2790	283	2284	4828	0		0	351	4497	0.7	0	0.0	0.0
World +	5001	Citrus, Other	2614	2005		7044	963	36	620	7423			29	658	6822	1.1	1	0.0	0.0
World +	5001	Bananas	2615	2005		77429	15278	16	17304	75419	950		836	10252	63384	9.8	17	0.2	0.1
World +	5001	Plantains	2616	2005		33229	511	-50	493	33197	3233		3837	3795	22335	3.5	8	0.1	0.0
World +	5001	Apples	2617	2005		62463	21109	805	15241	69137	407		6733	5358	56673	8.8	10	0.1	0.1
World +	5001	Pineapples	2618	2005		17736	5295	229	5247	18013			30	2074	15912	2.5	2	0.0	0.0
World +	5001	Dates	2619	2005		5862	788	14	653	6012	173		0	847	4991	0.8	3	0.0	0.0
World +	5001	Grapes	2620	2005		66694	7681	124	7800	66700	0		39711	2797	24199	3.8	6	0.1	0.0
World +	5001	Fruits, Other	2625	2005		150941	22550	146	22107	151530	133		1242	14013	136774	21.2	25	0.3	0.3
World +	5001	Stimulants +	2922	2005		15556	16540	523	16593	16027	1		25	680	15636	2.4	6	0.5	0.4
