countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1987	4958700														
World +	5001	Grand Total +	2901	1987													2615	70.3	65.1
World +	5001	Vegetal Products +	2903	1987													2208	45.5	35.1
World +	5001	Animal Products +	2941	1987													407	24.8	30.0
World +	5001	Cereals - Excluding Beer +	2905	1987		1597710	216973	32420	228901	1618200	643723	70797	56454	100517	746741	150.6	1319	33.0	6.0
World +	5001	Wheat	2511	1987		496700	106469	17406	112894	507681	100753	32103	2206	31298	341249	68.8	549	17.0	2.5
World +	5001	Rice (Milled Equivalent)	2805	1987		307347	11102	11348	13065	316732	14962	11908	2003	19183	268678	54.2	546	10.2	1.6
World +	5001	Barley	2513	1987		173802	22825	-215	26378	170035	125899	10956	18421	7356	7404	1.5	10	0.3	0.0
World +	5001	Maize	2514	1987		443614	65175	-386	64985	443418	302486	6739	31189	32564	70488	14.2	117	2.8	1.0
World +	5001	Rye	2515	1987		32443	1027	300	1196	32573	19631	2759	436	2826	6920	1.4	10	0.3	0.0
World +	5001	Oats	2516	1987		40505	1294	625	1324	41100	32382	3865	140	1895	2819	0.6	3	0.1	0.1
World +	5001	Millet	2517	1987		25101	202	661	211	25752	2657	668	325	1887	20216	4.1	33	0.9	0.3
World +	5001	Sorghum	2518	1987		65238	7802	2552	7950	67643	36459	916	1659	2995	25586	5.2	44	1.3	0.4
World +	5001	Cereals, Other	2520	1987		12960	1077	130	898	13269	8495	884	74	513	3382	0.7	5	0.1	0.0
World +	5001	Starchy Roots +	2907	1987		569269	38669	-3197	37182	567559	161901	35724	13720	59077	297163	59.9	138	2.0	0.3
World +	5001	Cassava	2532	1987		137930	27185	-1978	25458	137680	48994	0	900	15145	72655	14.7	39	0.2	0.1
World +	5001	Potatoes	2531	1987		276614	10640	-1257	10915	275082	61329	34270	12581	32333	134577	27.1	50	1.2	0.1
World +	5001	Sweet Potatoes	2533	1987		133122	736	37	634	133261	49966	324	237	7352	75383	15.2	41	0.4	0.1
World +	5001	Yams	2535	1987		12552	16	0	23	12545	1296	966		3099	7184	1.4	4	0.1	0.0
World +	5001	Roots, Other	2534	1987		9051	92	0	152	8991	317	165	1	1148	7363	1.5	4	0.0	0.0
World +	5001	Sugarcrops +	2908	1987		1279070	141	-67	323	1278820	32864	16119	1177300	36349	16191	3.3	3	0.0	0.0
World +	5001	Sugar Cane	2536	1987		985687	11	1	96	985603	22148	16119	898155	32990	16191	3.3	3	0.0	0.0
World +	5001	Sugar Beet	2537	1987		293381	130	-68	227	293216	10716		279139	3360	0	0.0	0	0.0	0.0
World +	5001	Sugar & Sweeteners +	2909	1987		126444	29907	4390	31322	129418	624	0	1237	6406	121228	24.4	236	0.1	0.0
World +	5001	Sugar, Non-Centrifugal	2541	1987		11428	4	0	0	11432	432		68	2906	8025	1.6	16	0.0	0.0
World +	5001	Sugar (Raw Equivalent)	2542	1987		100386	27573	4399	29188	103170	184		307	1590	101031	20.4	199		
World +	5001	Sweeteners, Other	2543	1987		13490	2072	-4	1867	13690	8	0	850	1909	11057	2.2	19	0.0	0.0
World +	5001	Honey	2745	1987		1141	258	-6	266	1127	0		12	0	1115	0.2	2	0.0	
World +	5001	Pulses +	2911	1987		53787	5345	-140	5782	53210	16219	4031	40	2398	30567	6.2	58	3.6	0.4
World +	5001	Beans	2546	1987		14907	1318	24	1486	14763	390	1149		774	12449	2.5	23	1.5	0.1
World +	5001	Peas	2547	1987		14975	2201	46	2105	15118	10068	1141	40	603	3265	0.7	6	0.4	0.0
World +	5001	Pulses, Other	2549	1987		23906	1826	-211	2191	23330	5761	1742	0	1020	14853	3.0	28	1.7	0.2
World +	5001	Treenuts +	2912	1987		4958	1814	-63	1678	5031		0	1	221	4856	1.0	7	0.2	0.5
World +	5001	Oilcrops +	2913	1987		250684	41974	652	41887	251424	12313	7332	193417	10151	28234	5.7	45	2.3	3.2
World +	5001	Soyabeans	2555	1987		99862	29149	2744	29219	102536	2992	3540	86114	2576	7314	1.5	14	1.3	0.5
World +	5001	Groundnuts (Shelled Eq)	2556	1987		15144	916	-58	924	15078	3	1090	7817	608	5561	1.1	17	0.7	1.4
World +	5001	Sunflowerseed	2557	1987		20098	2060	-857	2056	19245	1045	522	16433	721	528	0.1	1	0.0	0.1
World +	5001	Rape and Mustardseed	2558	1987		22851	4984	-1239	5029	21568	1085	354	18781	982	382	0.1	1	0.0	0.1
World +	5001	Cottonseed	2559	1987		30750	303	-506	313	30234	6827	1399	20327	1681	0	0.0	0	0.0	0.0
World +	5001	Coconuts - Incl Copra	2560	1987		37413	2337	129	2243	37636	32	107	22285	2777	12435	2.5	9	0.1	0.8
World +	5001	Sesameseed	2561	1987		2210	390	19	405	2215		51	1538	82	544	0.1	2	0.1	0.2
World +	5001	Palmkernels	2562	1987		2702	134	27	106	2756	0		2655	75	9	0.0	0	0.0	0.0
World +	5001	Olives	2563	1987		11393	308	62	292	11471			10281	147	1043	0.2	1	0.0	0.1
World +	5001	Oilcrops, Other	2570	1987		8261	1391	330	1299	8684	328	269	7187	501	418	0.1	1	0.0	0.1
World +	5001	Vegetable Oils +	2914	1987		50054	19342	5064	19111	55350	38		112	12061	43168	8.7	208	0.0	23.6
World +	5001	Soyabean Oil	2571	1987		9685	3850	5192	4015	14712	35		0	1637	13041	2.6	63	0.0	7.1
World +	5001	Groundnut Oil	2572	1987		3300	376	88	397	3368	0		0	85	3282	0.7	16	0.0	1.8
World +	5001	Sunflowerseed Oil	2573	1987		6575	1992	134	2100	6601	0		0	366	6239	1.3	30	0.0	3.4
World +	5001	Rape and Mustard Oil	2574	1987		7158	1811	-132	1865	6972	3		6	1148	5768	1.2	28	0.0	3.1
World +	5001	Cottonseed Oil	2575	1987		3259	250	126	235	3400	0		2	604	2794	0.6	13	0.0	1.5
World +	5001	Palmkernel Oil	2576	1987		1204	752	-3	749	1205	0		0	728	477	0.1	2	0.0	0.3
World +	5001	Palm Oil	2577	1987		8401	6206	-11	6149	8446	0		0	3585	4929	1.0	24	0.0	2.7
World +	5001	Coconut Oil	2578	1987		2973	1479	-6	1454	2992	0			1325	1669	0.3	8	0.0	0.9
World +	5001	Sesameseed Oil	2579	1987		670	13	1	13	671	0		0	37	633	0.1	3	0.0	0.3
World +	5001	Olive Oil	2580	1987		2172	679	-281	644	1925				135	1794	0.4	9	0.0	1.0
World +	5001	Ricebran Oil	2581	1987		492	8	3	5	498				123	375	0.1	2	0.0	0.2
World +	5001	Maize Germ Oil	2582	1987		1232	317	-33	343	1173			0	36	1137	0.2	6	0.0	0.6
World +	5001	Oilcrops Oil, Other	2586	1987		2933	1610	-12	1144	3387	0		106	2250	1030	0.2	5	0.0	0.6
World +	5001	Vegetables +	2918	1987		429472	20664	1087	20946	430276	9472	67	8	41866	378938	76.4	50	2.6	0.4
World +	5001	Tomatoes	2601	1987		64951	5492	376	6433	64387	814		0	5846	57730	11.6	6	0.3	0.1
World +	5001	Onions	2602	1987		28507	1834	47	2065	28324	0	17	0	2376	25931	5.2	5	0.2	0.0
