countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
United States of America	231	Population	2501	1973	215197														
United States of America	231	Grand Total +	2901	1973													3045	97.6	116.9
United States of America	231	Vegetal Products +	2903	1973													2105	32.0	55.7
United States of America	231	Animal Products +	2941	1973													940	65.6	61.1
United States of America	231	Cereals - Excluding Beer +	2905	1973		236450	392	23430	82945	177328	142439	3955	9740	3750	17445	81.1	595	18.4	2.5
United States of America	231	Wheat	2511	1973		46561	126	12223	38708	20201	3405	2262	0	0	14535	67.5	489	15.9	2.0
United States of America	231	Rice (Milled Equivalent)	2805	1973		2807	14	-196	1482	1143		109	233	181	619	2.9	31	0.6	0.0
United States of America	231	Barley	2513	1973		9088	200	984	2060	8212	5045	309	2652	80	126	0.6	6	0.2	0.0
United States of America	231	Maize	2514	1973		144042	32	7567	33434	118207	106252	457	6790	3418	1290	6.0	44	0.8	0.1
United States of America	231	Rye	2515	1973		627	0	723	851	499	204	127		65	103	0.5	4	0.1	0.0
United States of America	231	Oats	2516	1973		9568	15	2210	782	11011	9777	634			600	2.8	14	0.6	0.2
United States of America	231	Millet	2517	1973		120	1		0	121	115			6					
United States of America	231	Sorghum	2518	1973		23451	1	-82	5629	17741	17621	56	64		0	0.0	0	0.0	0.0
United States of America	231	Cereals, Other	2520	1973		187	4	0	0	192	20	1			171	0.8	8	0.3	0.1
United States of America	231	Starchy Roots +	2907	1973		14164	352	600	267	14848	265	1178		1430	11983	55.7	92	2.4	0.2
United States of America	231	Cassava	2532	1973			175		0	175	0			0	175	0.8	2	0.0	0.0
United States of America	231	Potatoes	2531	1973		13608	163	600	253	14118	231	1146		1424	11318	52.6	85	2.3	0.1
United States of America	231	Sweet Potatoes	2533	1973		552	0		0	552	35	32		6	479	2.2	5	0.1	0.0
United States of America	231	Yams	2535	1973			0			0					0	0.0	0	0.0	0.0
United States of America	231	Roots, Other	2534	1973		4	13		14	3				0	10	0.0	0	0.0	0.0
United States of America	231	Sugarcrops +	2908	1973		45718	0		0	45718		819	44899						
United States of America	231	Sugar Cane	2536	1973		23430	0		0	23430		819	22611						
United States of America	231	Sugar Beet	2537	1973		22288	0		0	22288			22288						
United States of America	231	Sugar & Sweeteners +	2909	1973		7931	4778	473	66	13116			28	350	12738	59.2	586	0.0	
United States of America	231	Sugar, Non-Centrifugal	2541	1973															
United States of America	231	Sugar (Raw Equivalent)	2542	1973		5230	4765	489	10	10475			28	91	10356	48.1	477		
United States of America	231	Sweeteners, Other	2543	1973		2592	7	-16	48	2535			0	260	2276	10.6	105	0.0	
United States of America	231	Honey	2745	1973		108	5		8	106					106	0.5	4	0.0	
United States of America	231	Pulses +	2911	1973		891	19	169	326	752	5	48		0	716	3.3	31	2.0	0.1
United States of America	231	Beans	2546	1973		738	12	169	178	740	0	34		0	706	3.3	31	2.0	0.1
United States of America	231	Peas	2547	1973		117	3	0	122			14			0	0.0	0	0.0	0.0
United States of America	231	Pulses, Other	2549	1973		36	5	0	26	15	4	0			10	0.0	0	0.0	0.0
United States of America	231	Treenuts +	2912	1973		422	278	0	75	625				80	545	2.5	19	0.4	1.8
United States of America	231	Oilcrops +	2913	1973		48803	1173	-5863	13845	30269	72	1935	26036	1379	1022	4.7	55	2.3	4.7
United States of America	231	Soyabeans	2555	1973		42118	0	-6200	13222	22696	30	1655	19650	1361	0	0.0	0	0.0	0.0
United States of America	231	Groundnuts (Shelled Eq)	2556	1973		1103	0	-39	181	882		61	270		551	2.6	43	1.9	3.7
United States of America	231	Sunflowerseed	2557	1973		353	2	153	175	333	37	3	253		40	0.2	2	0.1	0.1
United States of America	231	Rape and Mustardseed	2558	1973		15	35	0	0	50		0	0	3	47	0.2	3	0.2	0.2
United States of America	231	Cottonseed	2559	1973		4550	0	74	12	4612	5	180	4427						
United States of America	231	Coconuts - Incl Copra	2560	1973			1044	85	0	1128			879	8	242	1.1	4	0.0	0.4
United States of America	231	Sesameseed	2561	1973		0	24		0	24				1	23	0.1	2	0.1	0.1
United States of America	231	Palmkernels	2562	1973			0		0	0									
United States of America	231	Olives	2563	1973		64	65		1	127			4	6	117	0.5	2	0.0	0.2
United States of America	231	Oilcrops, Other	2570	1973		600	3	66	253	416		35	553	0	2	0.0	0	0.0	0.0
United States of America	231	Vegetable Oils +	2914	1973		4866	592	88	994	4553			0	882	3725	17.3	396	0.2	44.7
United States of America	231	Soyabean Oil	2571	1973		3402	0	83	439	3046				425	2621	12.2	277	0.1	31.2
United States of America	231	Groundnut Oil	2572	1973		122	0	-2	55	65				5	60	0.3	7	0.0	0.8
United States of America	231	Sunflowerseed Oil	2573	1973		101	2	0	58	45				20	25	0.1	3	0.0	0.3
United States of America	231	Rape and Mustard Oil	2574	1973		0	6	0	0	6			0	6	0	0.0	0	0.0	0.0
United States of America	231	Cottonseed Oil	2575	1973		696	0	8	248	456				65	392	1.8	43	0.0	4.8
United States of America	231	Palmkernel Oil	2576	1973			46	0	7	39			0	0	39	0.2	4	0.0	0.5
United States of America	231	Palm Oil	2577	1973			176	0	13	163				37	135	0.6	14	0.0	1.5
United States of America	231	Coconut Oil	2578	1973			259	0	13	246			0	20	226	1.0	24	0.0	2.8
United States of America	231	Sesameseed Oil	2579	1973			1		0	1				1					
United States of America	231	Olive Oil	2580	1973		1	28	0	0	29					29	0.1	3		0.4
United States of America	231	Ricebran Oil	2581	1973															
United States of America	231	Maize Germ Oil	2582	1973		237	0	0	12	225				37	188	0.9	20	0.0	2.3
United States of America	231	Oilcrops Oil, Other	2586	1973		307	75	0	150	231			0	266	10	0.0	1	0.0	0.1
United States of America	231	Vegetables +	2918	1973		22019	1250		805	22464	99		13	1243	21118	98.1	60	2.8	0.5
United States of America	231	Tomatoes	2601	1973		6270	575		153	6693				331	6362	29.6	14	0.7	0.2
United States of America	231	Onions	2602	1973		1361	68		85	1345				71	1273	5.9	5	0.2	0.0
United States of America	231	Vegetables, Other	2605	1973		14387	607		567	14426	99		13	841	13482	62.6	41	2.0	0.4
United States of America	231	Fruits - Excluding Wine +	2919	1973		23535	3138	0	2380	24293			2329	988	20977	97.5	97	1.2	0.5
