countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1976	4078370														
World +	5001	Grand Total +	2901	1976													2389	64.5	55.2
World +	5001	Vegetal Products +	2903	1976													2018	41.8	28.2
World +	5001	Animal Products +	2941	1976													370	22.7	27.0
World +	5001	Cereals - Excluding Beer +	2905	1976		1325370	172908	-84110	172688	1241480	508808	71285	33274	73392	554924	136.1	1179	29.4	5.5
World +	5001	Wheat	2511	1976		409641	71656	-61704	69843	349750	62328	32388	1482	23976	229734	56.3	439	13.6	1.9
World +	5001	Rice (Milled Equivalent)	2805	1976		231484	7905	2497	8756	233130	9105	10970	1783	12760	198551	48.7	491	9.2	1.4
World +	5001	Barley	2513	1976		164958	16582	-10934	16767	153839	111242	11775	15115	4841	10866	2.7	19	0.5	0.1
World +	5001	Maize	2514	1976		342349	62346	-11299	62909	330487	237140	6332	12774	24097	50144	12.3	102	2.5	0.9
World +	5001	Rye	2515	1976		29534	709	-2215	711	27317	11063	2623	524	1394	11712	2.9	21	0.5	0.1
World +	5001	Oats	2516	1976		46344	1732	1738	1863	47951	39241	4662	143	1252	2652	0.7	4	0.1	0.1
World +	5001	Millet	2517	1976		27443	392	482	310	28008	2657	845	355	1984	22168	5.4	45	1.2	0.4
World +	5001	Sorghum	2518	1976		62868	10609	-2584	11162	59731	30263	960	1038	2686	24785	6.1	51	1.5	0.5
World +	5001	Cereals, Other	2520	1976		10743	976	-90	367	11262	5767	730	61	404	4311	1.1	8	0.2	0.0
World +	5001	Starchy Roots +	2907	1976		535293	17674	6928	19058	540837	141135	38952	12610	56329	291823	71.6	167	2.3	0.4
World +	5001	Cassava	2532	1976		113726	10832	399	11961	112997	33831	0	383	13484	65307	16.0	42	0.3	0.1
World +	5001	Potatoes	2531	1976		269463	6652	6538	6899	275754	78490	37610	11755	30326	117573	28.8	53	1.3	0.1
World +	5001	Sweet Potatoes	2533	1976		132835	86	-9	41	132871	26952	426	471	7843	97179	23.8	65	0.7	0.2
World +	5001	Yams	2535	1976		12299	0	0	13	12286	1539	749		3607	6391	1.6	4	0.1	0.0
World +	5001	Roots, Other	2534	1976		6969	103	0	144	6929	322	166	1	1069	5374	1.3	4	0.0	0.0
World +	5001	Sugarcrops +	2908	1976		971626	72	-1175	340	970183	29969	12916	896654	18732	11912	2.9	2	0.0	0.0
World +	5001	Sugar Cane	2536	1976		680091	0	-1	77	680013	17849	12916	620520	16855	11873	2.9	2	0.0	0.0
World +	5001	Sugar Beet	2537	1976		291535	72	-1175	263	290169	12119		276134	1877	39	0.0	0	0.0	0.0
World +	5001	Sugar & Sweeteners +	2909	1976		102174	22847	-2135	24068	98818	589	0	1432	3182	93646	23.0	224	0.1	0.0
World +	5001	Sugar, Non-Centrifugal	2541	1976		12483	6	0	0	12489	468		88	492	11441	2.8	27	0.1	0.0
World +	5001	Sugar (Raw Equivalent)	2542	1976		82098	21985	-2166	23270	78647	111		531	1268	76752	18.8	184		
World +	5001	Sweeteners, Other	2543	1976		6750	696	16	619	6844	9	0	802	1421	4626	1.1	11	0.0	0.0
World +	5001	Honey	2745	1976		843	160	15	179	838	0		11	0	827	0.2	2	0.0	
World +	5001	Pulses +	2911	1976		44354	1821	-547	1968	43660	9385	3436	4	1989	28850	7.1	66	4.1	0.4
World +	5001	Beans	2546	1976		12178	773	4	805	12150	247	1041		605	10258	2.5	23	1.5	0.1
World +	5001	Peas	2547	1976		10330	364	-622	432	9641	4582	775	4	477	3804	0.9	9	0.6	0.0
World +	5001	Pulses, Other	2549	1976		21845	684	71	731	21868	4555	1621	0	908	14788	3.6	35	2.1	0.3
World +	5001	Treenuts +	2912	1976		3786	1355	-49	1330	3762		0	2	159	3620	0.9	6	0.2	0.5
World +	5001	Oilcrops +	2913	1976		159575	30485	8951	29901	169109	4094	6376	132282	6994	19357	4.7	39	2.0	2.6
World +	5001	Soyabeans	2555	1976		57350	19932	8014	19838	65459	937	2756	54046	1816	5904	1.4	13	1.2	0.4
World +	5001	Groundnuts (Shelled Eq)	2556	1976		11899	1011	218	1023	12105	8	977	6926	509	3686	0.9	14	0.6	1.1
World +	5001	Sunflowerseed	2557	1976		10127	508	-232	550	9853	129	482	8234	571	437	0.1	1	0.0	0.1
World +	5001	Rape and Mustardseed	2558	1976		7830	1453	540	1497	8326	320	197	7294	285	230	0.1	1	0.0	0.1
World +	5001	Cottonseed	2559	1976		21936	266	-177	286	21739	2499	1462	16246	1533	0	0.0	0	0.0	0.0
World +	5001	Coconuts - Incl Copra	2560	1976		32567	5809	193	5251	33317	35	115	24113	1645	7408	1.8	7	0.1	0.6
World +	5001	Sesameseed	2561	1976		1664	193	-5	212	1639		47	1052	52	489	0.1	2	0.1	0.2
World +	5001	Palmkernels	2562	1976		1332	348	-6	387	1287	0		1193	86	7	0.0	0	0.0	0.0
World +	5001	Olives	2563	1976		7999	212	2	196	8017			7120	87	801	0.2	1	0.0	0.1
World +	5001	Oilcrops, Other	2570	1976		6870	753	404	661	7366	167	340	6057	408	396	0.1	1	0.0	0.1
World +	5001	Vegetable Oils +	2914	1976		33729	8982	600	9480	33832	24		51	6723	27177	6.7	158	0.0	17.8
World +	5001	Soyabean Oil	2571	1976		9610	1559	-386	2052	8731	24			662	8052	2.0	46	0.0	5.2
World +	5001	Groundnut Oil	2572	1976		3008	522	197	584	3144	0		0	192	2952	0.7	17	0.0	2.0
World +	5001	Sunflowerseed Oil	2573	1976		3325	593	283	641	3560	0		0	163	3414	0.8	20	0.0	2.2
World +	5001	Rape and Mustard Oil	2574	1976		2718	420	-138	457	2542	0			451	2097	0.5	12	0.0	1.4
World +	5001	Cottonseed Oil	2575	1976		2639	287	156	286	2796	0		2	744	2050	0.5	12	0.0	1.4
World +	5001	Palmkernel Oil	2576	1976		578	275	30	273	611	0		0	315	295	0.1	2	0.0	0.2
World +	5001	Palm Oil	2577	1976		3287	2365	137	2473	3316	0			974	2417	0.6	14	0.0	1.6
World +	5001	Coconut Oil	2578	1976		3198	1519	-44	1474	3198	0			1128	2077	0.5	12	0.0	1.4
World +	5001	Sesameseed Oil	2579	1976		461	3	19	4	479	0		1	36	443	0.1	3	0.0	0.3
World +	5001	Olive Oil	2580	1976		1556	227	203	260	1727				151	1580	0.4	9	0.0	1.1
World +	5001	Ricebran Oil	2581	1976		293	0	0	0	293				44	248	0.1	1	0.0	0.2
World +	5001	Maize Germ Oil	2582	1976		635	99	0	99	635			0	33	603	0.1	3	0.0	0.4
World +	5001	Oilcrops Oil, Other	2586	1976		2422	1112	143	877	2800	0		73	1830	948	0.2	6	0.0	0.6
World +	5001	Vegetables +	2918	1976		286306	12640	-46	13061	285839	7085	52	72	28269	250403	61.4	41	2.1	0.4
World +	5001	Tomatoes	2601	1976		44096	3515	196	4160	43647	465		3	4133	39045	9.6	5	0.2	0.1
World +	5001	Onions	2602	1976		19133	1236	-26	1313	19029	1	24	0	1542	17463	4.3	4	0.2	0.0
World +	5001	Vegetables, Other	2605	1976		223078	7889	-216	7588	223163	6620	28	69	22594	193894	47.5	31	1.7	0.3
World +	5001	Fruits - Excluding Wine +	2919	1976		266258	30150	-172	30608	265628	3456		52237	26349	183773	45.1	58	0.7	0.3
World +	5001	Oranges, Mandarines	2611	1976		41412	7465	105	9301	39681	1		14	3440	36383	8.9	7	0.1	0.0
World +	5001	Lemons, Limes	2612	1976		4469	953	29	1074	4376			21	429	3932	1.0	0	0.0	0.0
World +	5001	Grapefruit	2613	1976		4022	1053	-7	1028	4039	0		0	261	3782	0.9	0	0.0	0.0
World +	5001	Citrus, Other	2614	1976		2374	161	0	41	2495			40	328	2128	0.5	0	0.0	0.0
World +	5001	Bananas	2615	1976		31446	6190	-7	5982	31647	636		798	5173	25041	6.1	10	0.1	0.0
World +	5001	Plantains	2616	1976		22920	34	0	50	22904	2454		2844	5181	12424	3.0	7	0.1	0.0
World +	5001	Apples	2617	1976		30812	4429	-134	3657	31450	230		2705	2757	25758	6.3	8	0.0	0.1
World +	5001	Pineapples	2618	1976		7974	805	47	1054	7773			2	729	7042	1.7	2	0.0	0.0
World +	5001	Dates	2619	1976		1800	327	8	86	2049	33		0	149	1867	0.5	2	0.0	0.0
World +	5001	Grapes	2620	1976		57654	2731	158	2610	57933	0		44431	1653	11853	2.9	5	0.0	0.0
World +	5001	Fruits, Other	2625	1976		61376	6002	-372	5726	61281	101		1383	6248	53564	13.1	16	0.2	0.2
World +	5001	Stimulants +	2922	1976		6640	6604	1417	6553	8109	0		9	140	7962	2.0	4	0.4	0.2
World +	5001	Coffee	2630	1976		3466	3968	1209	3906	4737			0	89	4648	1.1	1	0.2	
World +	5001	Cocoa Beans	2633	1976		1329	1813	186	1774	1553			9	20	1526	0.4	2	0.1	0.2
World +	5001	Tea	2635	1976		1846	823	22	872	1818	0			30	1788	0.4	0	0.1	
World +	5001	Spices +	2923	1976		2328	414	-14	368	2360		0		122	2240	0.5	5	0.2	0.2
World +	5001	Pepper	2640	1976		156	109	-11	119	134				5	130	0.0	0	0.0	0.0
World +	5001	Pimento	2641	1976		1389	67	3	67	1391				77	1314	0.3	2	0.1	0.1
World +	5001	Cloves	2642	1976		45	15	-7	14	39				29	10	0.0	0	0.0	0.0
World +	5001	Spices, Other	2645	1976		739	223	2	168	795		0		11	786	0.2	2	0.1	0.1
World +	5001	Alcoholic Beverages +	2924	1976		147284	7332	488	7552	147553			2569	5817	139203	34.1	70	0.3	0.0
World +	5001	Wine	2655	1976		31213	4191	544	4264	31685			2569	713	28456	7.0	13	0.0	
World +	5001	Beer	2656	1976		80414	1779	76	1867	80402				141	80261	19.7	24	0.2	
World +	5001	Beverages, Fermented	2657	1976		18276	41	0	47	18270				750	17502	4.3	7	0.0	0.0
World +	5001	Beverages, Alcoholic	2658	1976		14298	1067	-161	1224	13979				996	12983	3.2	26	0.0	
World +	5001	Alcohol, Non-Food	2659	1976		3082	254	30	149	3216				3217	0	0.0			
World +	5001	Meat +	2943	1976		116708	7559	1243	7955	117554	32		33	876	116630	28.6	141	9.8	10.9
World +	5001	Bovine Meat	2731	1976		47103	3631	-88	3840	46807			2	243	46563	11.4	48	4.4	3.2
World +	5001	Mutton & Goat Meat	2732	1976		6572	656	-6	738	6484	0			140	6344	1.6	9	0.6	0.7
World +	5001	Pigmeat	2733	1976		40023	2085	1382	2130	41360			3	347	41011	10.1	63	2.8	5.7
