countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
United States of America	231	Population	2501	1981	231576														
United States of America	231	Grand Total +	2901	1981													3230	101.1	133.0
United States of America	231	Vegetal Products +	2903	1981													2266	34.2	68.1
United States of America	231	Animal Products +	2941	1981													964	66.8	65.0
United States of America	231	Cereals - Excluding Beer +	2905	1981		328482	443	-36331	113994	178599	133356	4639	16926	3353	20355	87.9	653	19.7	2.7
United States of America	231	Wheat	2511	1981		75806	176	-7543	45554	22886	3669	2994	0	0	16223	70.1	505	16.4	2.0
United States of America	231	Rice (Milled Equivalent)	2805	1981		5529	8	-732	2815	1990		133	384	418	1054	4.6	49	0.9	0.1
United States of America	231	Barley	2513	1981		10309	200	-267	2091	8151	4302	346	3336	0	167	0.7	7	0.2	0.0
United States of America	231	Maize	2514	1981		206222	33	-24951	55148	126156	107827	483	13081	2873	1892	8.2	60	1.0	0.2
United States of America	231	Rye	2515	1981		462	1	60	114	409	206	109		56	38	0.2	1	0.0	0.0
United States of America	231	Oats	2516	1981		7396	13	428	166	7671	6648	496			527	2.3	11	0.5	0.2
United States of America	231	Millet	2517	1981		110	0		24	86	81			6					
United States of America	231	Sorghum	2518	1981		22247	0	-3323	8032	10892	10592	76	125		99	0.4	4	0.1	0.0
United States of America	231	Cereals, Other	2520	1981		400	12	-4	50	358	32	2			354	1.5	15	0.5	0.2
United States of America	231	Starchy Roots +	2907	1981		16033	520	-200	482	15872	246	1173		1879	12574	54.3	89	2.3	0.2
United States of America	231	Cassava	2532	1981			129		0	129	0			0	129	0.6	1	0.0	0.0
United States of America	231	Potatoes	2531	1981		15450	363	-200	473	15140	229	1131		1873	11908	51.4	83	2.3	0.1
United States of America	231	Sweet Potatoes	2533	1981		581	0		0	581	17	42		6	516	2.2	5	0.1	0.0
United States of America	231	Yams	2535	1981			0			0					0	0.0	0	0.0	0.0
United States of America	231	Roots, Other	2534	1981		3	28		9	22				0	21	0.1	0	0.0	0.0
United States of America	231	Sugarcrops +	2908	1981		49846	0		7	49840		1128	48712						
United States of America	231	Sugar Cane	2536	1981		24864	0		0	24864		1128	23737						
United States of America	231	Sugar Beet	2537	1981		24982	0		7	24975			24975						
United States of America	231	Sugar & Sweeteners +	2909	1981		10641	4654	-212	1213	13870			20	622	13243	57.2	550	0.1	
United States of America	231	Sugar, Non-Centrifugal	2541	1981															
United States of America	231	Sugar (Raw Equivalent)	2542	1981		5644	4608	-286	1042	8924			20	48	8856	38.2	379		
United States of America	231	Sweeteners, Other	2543	1981		4913	11	74	167	4831			0	574	4273	18.4	166	0.1	
United States of America	231	Honey	2745	1981		84	35		4	115					115	0.5	4	0.0	
United States of America	231	Pulses +	2911	1981		1735	38	-121	979	672	14	66		0	597	2.6	24	1.6	0.1
United States of America	231	Beans	2546	1981		1486	20	-121	765	621	0	57		0	563	2.4	23	1.5	0.1
United States of America	231	Peas	2547	1981		148	4	0	126	25		9			16	0.1	1	0.0	0.0
United States of America	231	Pulses, Other	2549	1981		101	14	0	89	26	13	0			18	0.1	1	0.1	0.0
United States of America	231	Treenuts +	2912	1981		696	155	0	250	601				111	490	2.1	16	0.4	1.5
