countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1983	4615000														
World +	5001	Grand Total +	2901	1983													2583	68.8	61.6
World +	5001	Vegetal Products +	2903	1983													2194	45.3	33.0
World +	5001	Animal Products +	2941	1983													389	23.6	28.6
World +	5001	Cereals - Excluding Beer +	2905	1983		1455040	219844	57569	230428	1502030	594407	72964	50206	90449	694114	150.4	1315	32.9	6.0
World +	5001	Wheat	2511	1983		480871	103953	-14124	113520	457180	88646	33097	3733	24662	307068	66.5	528	16.4	2.4
World +	5001	Rice (Milled Equivalent)	2805	1983		298447	10875	-2290	11453	295578	13868	12134	1937	18443	249218	54.0	546	10.2	1.6
World +	5001	Barley	2513	1983		157701	20820	2165	21546	159141	116397	11400	17197	5532	8615	1.9	13	0.4	0.1
World +	5001	Maize	2514	1983		335600	69833	70637	68984	407085	281115	6480	24217	31951	63325	13.7	113	2.7	1.0
World +	5001	Rye	2515	1983		34779	841	-1816	1057	32747	16388	2980	1190	2126	10063	2.2	16	0.4	0.1
World +	5001	Oats	2516	1983		43932	1174	1187	1389	44904	35127	4326	519	2193	2739	0.6	3	0.1	0.1
World +	5001	Millet	2517	1983		31041	264	-609	197	30497	2857	883	299	2022	24436	5.3	44	1.2	0.4
World +	5001	Sorghum	2518	1983		61977	11104	2551	11721	63912	33946	965	1044	3072	24860	5.4	46	1.3	0.5
World +	5001	Cereals, Other	2520	1983		10695	981	-131	561	10985	6063	700	69	448	3789	0.8	7	0.2	0.0
World +	5001	Starchy Roots +	2907	1983		545080	29824	-2049	29785	543070	142289	37741	13526	53547	295982	64.1	149	2.1	0.3
