countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1961	3037230														
World +	5001	Grand Total +	2901	1961													2195	61.2	47.5
World +	5001	Vegetal Products +	2903	1961													1858	41.6	22.9
World +	5001	Animal Products +	2941	1961													337	19.6	24.7
World +	5001	Cereals - Excluding Beer +	2905	1961		790686	80644	-317	80816	790197	283067	59616	18075	41061	388269	127.8	1075	27.5	5.1
World +	5001	Wheat	2511	1961		216040	46044	2792	46302	218574	19547	24480	595	10653	163330	53.8	403	12.6	1.7
World +	5001	Rice (Milled Equivalent)	2805	1961		143537	6134	-3386	6229	140056	4320	8560	1210	7735	118253	38.9	392	7.4	1.1
World +	5001	Barley	2513	1961		70549	8151	3094	8103	73691	42578	7637	9254	2261	11961	3.9	27	0.8	0.1
World +	5001	Maize	2514	1961		199692	14449	2100	14277	201963	142975	6311	5429	13686	33562	11.1	93	2.3	0.8
World +	5001	Rye	2515	1961		34919	1834	-1059	1862	33832	12205	5068	489	1700	14371	4.7	34	0.9	0.1
World +	5001	Oats	2516	1961		49151	1304	-1957	1407	47092	38393	4741	111	1039	2808	0.9	5	0.2	0.1
World +	5001	Millet	2517	1961		25678	146	-1150	220	24454	1638	831	267	1653	20068	6.6	54	1.5	0.5
World +	5001	Sorghum	2518	1961		40905	2176	-641	2279	40161	15989	906	659	2005	20601	6.8	56	1.6	0.6
World +	5001	Cereals, Other	2520	1961		10215	406	-110	137	10374	5422	1082	60	328	3315	1.1	9	0.2	0.0
World +	5001	Starchy Roots +	2907	1961		451395	6323	-10487	5593	441638	99527	45878	7977	45655	242604	79.9	184	2.6	0.4
World +	5001	Cassava	2532	1961		71115	2056	-484	1954	70733	17298	0	38	8394	45003	14.8	39	0.2	0.1
World +	5001	Potatoes	2531	1961		267705	3726	-9986	3498	257946	70178	44543	7475	28116	107633	35.4	65	1.6	0.1
World +	5001	Sweet Potatoes	2533	1961		97818	12	-9	8	97814	10417	692	463	5644	80599	26.5	71	0.7	0.2
World +	5001	Yams	2535	1961		8124	0	0	0	8124	864	511		2132	4617	1.5	4	0.1	0.0
World +	5001	Roots, Other	2534	1961		6634	528	-8	133	7022	769	132	1	1369	4752	1.6	4	0.1	0.0
World +	5001	Sugarcrops +	2908	1961		591308	103	-301	192	590919	21057	8418	538589	14587	8201	2.7	2	0.0	0.0
World +	5001	Sugar Cane	2536	1961		432589	0	-300	85	432204	18960	8418	385773	10831	8156	2.7	2	0.0	0.0
World +	5001	Sugar Beet	2537	1961		158720	103	0	107	158715	2097		152817	3757	45	0.0	0	0.0	0.0
World +	5001	Sugar & Sweeteners +	2909	1961		65252	19401	-1147	20465	63041	335	0	1108	1222	60391	19.9	194	0.1	0.0
World +	5001	Sugar, Non-Centrifugal	2541	1961		9960	15	-2	11	9962	307		45	414	9197	3.0	29	0.1	0.0
World +	5001	Sugar (Raw Equivalent)	2542	1961		51450	19166	-1109	20252	49255	27		431	351	48443	15.9	156		
World +	5001	Sweeteners, Other	2543	1961		3168	147	-30	128	3157	1	0	629	458	2087	0.7	6	0.0	0.0
World +	5001	Honey	2745	1961		674	73	-7	74	666	0		3	0	663	0.2	2	0.0	
World +	5001	Pulses +	2911	1961		40291	1106	49	1127	40320	5653	4201	3	1504	28956	9.5	90	5.6	0.6
World +	5001	Beans	2546	1961		10978	386	100	500	10963	134	1069		441	9320	3.1	28	1.8	0.1
World +	5001	Peas	2547	1961		7337	246	-11	290	7281	1002	1032	3	264	4981	1.6	15	1.0	0.1
World +	5001	Pulses, Other	2549	1961		21976	475	-39	336	22076	4517	2101	0	799	14655	4.8	46	2.8	0.4
World +	5001	Treenuts +	2912	1961		2982	787	-167	824	2779		0	1	163	2614	0.9	6	0.1	0.4
World +	5001	Oilcrops +	2913	1961		104914	16412	-4022	16184	101120	2192	5281	73972	4414	15236	5.0	39	2.0	2.6
World +	5001	Soyabeans	2555	1961		26873	4073	-1925	4167	24855	368	2090	17078	1115	4204	1.4	13	1.2	0.4
World +	5001	Groundnuts (Shelled Eq)	2556	1961		9890	1324	-283	1306	9625	10	867	5835	366	2547	0.8	13	0.6	1.1
World +	5001	Sunflowerseed	2557	1961		6687	264	-712	200	6040	21	426	5142	217	233	0.1	1	0.0	0.1
World +	5001	Rape and Mustardseed	2558	1961		3832	389	-142	364	3716	108	128	3167	149	162	0.1	1	0.0	0.1
World +	5001	Cottonseed	2559	1961		17366	337	-561	384	16758	1582	1261	13081	816	0	0.0	0	0.0	0.0
World +	5001	Coconuts - Incl Copra	2560	1961		22942	8113	-444	7895	22716	15	50	14355	1163	7133	2.3	9	0.1	0.8
World +	5001	Sesameseed	2561	1961		1396	128	-101	152	1271		42	885	41	305	0.1	2	0.0	0.1
World +	5001	Palmkernels	2562	1961		1085	696	-25	707	1049	0		996	50	3	0.0	0	0.0	0.0
World +	5001	Olives	2563	1961		8168	103	-58	97	8116			7655	39	410	0.1	1	0.0	0.1
World +	5001	Oilcrops, Other	2570	1961		6674	985	229	913	6975	88	415	5777	458	239	0.1	1	0.0	0.1
World +	5001	Vegetable Oils +	2914	1961		18818	3402	-631	3268	18321	4			4028	14381	4.7	113	0.0	12.8
World +	5001	Soyabean Oil	2571	1961		3033	480	-203	442	2868	1			263	2616	0.9	20	0.0	2.3
World +	5001	Groundnut Oil	2572	1961		2502	278	-196	310	2274	0			157	2120	0.7	17	0.0	1.9
World +	5001	Sunflowerseed Oil	2573	1961		1925	234	-61	237	1860	0			283	1580	0.5	12	0.0	1.4
World +	5001	Rape and Mustard Oil	2574	1961		1135	49	-2	48	1134	0			185	956	0.3	8	0.0	0.9
World +	5001	Cottonseed Oil	2575	1961		2188	239	2	237	2193	0		1	517	1675	0.6	13	0.0	1.5
World +	5001	Palmkernel Oil	2576	1961		485	74	-5	89	465	3			99	364	0.1	3	0.0	0.3
World +	5001	Palm Oil	2577	1961		1476	718	-7	749	1439	0			307	1159	0.4	9	0.0	1.0
