countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1969	3561610														
World +	5001	Grand Total +	2901	1969													2343	63.6	52.7
World +	5001	Vegetal Products +	2903	1969													1979	42.0	26.0
World +	5001	Animal Products +	2941	1969													365	21.6	26.7
World +	5001	Cereals - Excluding Beer +	2905	1969		1052700	103361	3796	100509	1059350	432642	62733	23810	58233	481974	135.3	1151	28.9	5.4
World +	5001	Wheat	2511	1969		300113	52994	7352	49187	311272	64728	26711	898	18270	200688	56.3	424	13.2	1.8
World +	5001	Rice (Milled Equivalent)	2805	1969		196618	7074	-5526	7655	190511	7047	10055	1442	10521	161483	45.3	457	8.6	1.3
World +	5001	Barley	2513	1969		116216	8483	122	8698	116123	80602	9058	12152	4608	9702	2.7	19	0.6	0.1
World +	5001	Maize	2514	1969		260821	27714	882	28220	261197	188352	5954	7394	17008	42521	11.9	100	2.4	0.9
World +	5001	Rye	2515	1969		29294	558	3017	679	32189	13298	3574	642	1714	12961	3.6	26	0.7	0.1
World +	5001	Oats	2516	1969		52232	1247	-1729	1229	50521	42130	4663	168	1145	2416	0.7	4	0.1	0.1
World +	5001	Millet	2517	1969		30507	268	-201	227	30347	2636	833	291	2172	24415	6.9	56	1.5	0.5
World +	5001	Sorghum	2518	1969		55524	4422	-183	4403	55360	27322	990	747	2390	23911	6.7	56	1.6	0.6
World +	5001	Cereals, Other	2520	1969		11372	601	62	210	11825	6526	897	75	405	3878	1.1	9	0.2	0.0
World +	5001	Starchy Roots +	2907	1969		519991	10087	7647	9836	527889	137882	43336	10418	54608	281676	79.1	184	2.6	0.4
World +	5001	Cassava	2532	1969		95158	4697	-133	4622	95100	27730	0	206	11539	55626	15.6	41	0.3	0.1
World +	5001	Potatoes	2531	1969		275140	5278	7708	5036	283091	86196	42048	9697	28644	116505	32.7	60	1.5	0.1
World +	5001	Sweet Potatoes	2533	1969		125753	36	70	16	125843	21418	519	514	7365	96027	27.0	73	0.7	0.2
World +	5001	Yams	2535	1969		15270	0	0	6	15264	2144	601		5052	7468	2.1	6	0.1	0.0
World +	5001	Roots, Other	2534	1969		8669	76	3	157	8591	395	167	1	2008	6050	1.7	5	0.1	0.0
World +	5001	Sugarcrops +	2908	1969		741259	117	-12	134	741231	28708	10797	674040	18379	9307	2.6	2	0.0	0.0
World +	5001	Sugar Cane	2536	1969		528075	0	-6	48	528021	24541	10797	467728	15691	9265	2.6	2	0.0	0.0
World +	5001	Sugar Beet	2537	1969		213185	117	-6	85	213210	4168		206312	2688	43	0.0	0	0.0	0.0
World +	5001	Sugar & Sweeteners +	2909	1969		81769	19367	2773	19697	84211	825	0	1300	2269	79856	22.4	219	0.1	0.0
World +	5001	Sugar, Non-Centrifugal	2541	1969		11120	5	0	2	11123	394		59	278	10393	2.9	28	0.1	0.0
World +	5001	Sugar (Raw Equivalent)	2542	1969		65003	18672	2776	19233	67218	428		459	1181	65185	18.3	180		
World +	5001	Sweeteners, Other	2543	1969		4900	577	9	349	5136	2	0	776	810	3552	1.0	9	0.0	0.0
World +	5001	Honey	2745	1969		746	112	-12	113	733	0		6	0	727	0.2	2	0.0	
World +	5001	Pulses +	2911	1969		41345	2064	87	2170	41327	9407	3571	3	1772	26572	7.5	70	4.4	0.4
World +	5001	Beans	2546	1969		11538	592	125	629	11627	189	1023		474	9940	2.8	26	1.6	0.1
World +	5001	Peas	2547	1969		9249	720	11	796	9184	3777	784	3	403	4217	1.2	11	0.7	0.0
World +	5001	Pulses, Other	2549	1969		20557	753	-48	745	20516	5441	1764	0	895	12415	3.5	33	2.0	0.3
World +	5001	Treenuts +	2912	1969		3192	1113	24	1107	3222		0	1	165	3056	0.9	6	0.1	0.4
World +	5001	Oilcrops +	2913	1969		131835	19880	-2739	19464	129512	3989	5755	95180	6211	18379	5.2	41	2.2	2.8
World +	5001	Soyabeans	2555	1969		41962	9373	-3007	9343	38985	757	2373	28683	1683	5489	1.5	14	1.3	0.4
World +	5001	Groundnuts (Shelled Eq)	2556	1969		11636	1248	-89	1258	11537	9	990	6682	452	3403	1.0	14	0.6	1.2
World +	5001	Sunflowerseed	2557	1969		9508	620	136	618	9646	33	478	8529	247	359	0.1	1	0.0	0.1
World +	5001	Rape and Mustardseed	2558	1969		5171	1026	247	984	5460	214	139	4738	175	194	0.1	1	0.0	0.1
World +	5001	Cottonseed	2559	1969		21712	425	412	485	22064	2849	1315	16252	1647	0	0.0	0	0.0	0.0
World +	5001	Coconuts - Incl Copra	2560	1969		24339	5384	-88	5016	24620	16	53	15423	1384	7744	2.2	8	0.1	0.7
World +	5001	Sesameseed	2561	1969		1665	206	21	216	1676		45	1133	51	451	0.1	2	0.1	0.2
World +	5001	Palmkernels	2562	1969		1090	424	-18	425	1070	0		1008	57	5	0.0	0	0.0	0.0
World +	5001	Olives	2563	1969		6787	152	8	134	6814			6272	62	474	0.1	0	0.0	0.0
World +	5001	Oilcrops, Other	2570	1969		7966	1024	-363	986	7641	110	362	6461	451	260	0.1	1	0.0	0.1
World +	5001	Vegetable Oils +	2914	1969		25159	5461	553	5546	25627	9		18	5168	20480	5.8	137	0.0	15.5
World +	5001	Soyabean Oil	2571	1969		5046	707	180	773	5159	2			354	4816	1.4	32	0.0	3.6
World +	5001	Groundnut Oil	2572	1969		2849	405	79	390	2943	0		1	113	2829	0.8	19	0.0	2.2
World +	5001	Sunflowerseed Oil	2573	1969		3534	970	146	1112	3538	0		1	467	3069	0.9	20	0.0	2.3
World +	5001	Rape and Mustard Oil	2574	1969		1744	179	75	194	1804	0			190	1623	0.5	11	0.0	1.2
World +	5001	Cottonseed Oil	2575	1969		2626	187	-28	227	2559	0		1	589	1968	0.6	13	0.0	1.5
World +	5001	Palmkernel Oil	2576	1969		492	165	7	180	485	0		1	194	290	0.1	2	0.0	0.2
World +	5001	Palm Oil	2577	1969		1938	1069	5	1062	1951	0			616	1368	0.4	9	0.0	1.1
World +	5001	Coconut Oil	2578	1969		1821	528	-11	520	1818	0			468	1363	0.4	9	0.0	1.0
World +	5001	Sesameseed Oil	2579	1969		497	2	-5	2	493	0		0	15	478	0.1	3	0.0	0.4
World +	5001	Olive Oil	2580	1969		1416	228	52	245	1451				98	1352	0.4	9	0.0	1.0
World +	5001	Ricebran Oil	2581	1969		203	1	0	2	201				66	135	0.0	1	0.0	0.1
World +	5001	Maize Germ Oil	2582	1969		463	35	19	29	488			0	37	451	0.1	3	0.0	0.3
World +	5001	Oilcrops Oil, Other	2586	1969		2530	986	33	810	2738	7		58	1959	738	0.2	5	0.0	0.6
World +	5001	Vegetables +	2918	1969		249400	8684	61	9378	248767	5758	57	41	23783	219160	61.5	42	2.2	0.4
World +	5001	Tomatoes	2601	1969		33993	2590	181	3122	33642	284		0	3359	30000	8.4	4	0.2	0.1
World +	5001	Onions	2602	1969		16867	986	-14	1155	16684	1	18	2	1400	15263	4.3	4	0.2	0.0
World +	5001	Vegetables, Other	2605	1969		198540	5107	-106	5100	198440	5473	39	39	19024	173898	48.8	33	1.8	0.3
World +	5001	Fruits - Excluding Wine +	2919	1969		223236	22715	-197	22108	223647	2612		44913	21863	154362	43.3	58	0.7	0.3
World +	5001	Oranges, Mandarines	2611	1969		30257	5043	-459	5102	29739	0		10	2439	27375	7.7	6	0.1	0.0
World +	5001	Lemons, Limes	2612	1969		3430	856	-61	828	3397			9	325	3065	0.9	0	0.0	0.0
World +	5001	Grapefruit	2613	1969		3005	667	-6	605	3061	0		0	176	2891	0.8	0	0.0	0.0
World +	5001	Citrus, Other	2614	1969		1650	39	0	19	1670			10	226	1434	0.4	0	0.0	0.0
World +	5001	Bananas	2615	1969		29223	5295	3	5362	29159	552		740	5420	22448	6.3	11	0.1	0.0
World +	5001	Plantains	2616	1969		17645	17	0	74	17589	1745		2140	3477	10227	2.9	7	0.1	0.0
World +	5001	Apples	2617	1969		26235	3023	370	2777	26851	163		2234	2442	22013	6.2	8	0.0	0.1
World +	5001	Pineapples	2618	1969		5146	532	-42	654	4982			2	445	4535	1.3	1	0.0	0.0
World +	5001	Dates	2619	1969		1586	347	-56	83	1794	27		0	124	1643	0.5	2	0.0	0.0
World +	5001	Grapes	2620	1969		51017	2633	115	2601	51164	0		38624	1523	11018	3.1	6	0.1	0.0
World +	5001	Fruits, Other	2625	1969		54041	4263	-60	4002	54241	124		1145	5265	47714	13.4	16	0.2	0.2
World +	5001	Stimulants +	2922	1969		7057	5491	247	5622	7173	0		8	165	7001	2.0	4	0.4	0.2
World +	5001	Coffee	2630	1969		4234	3326	316	3491	4385			0	95	4290	1.2	1	0.2	
World +	5001	Cocoa Beans	2633	1969		1364	1470	-55	1410	1369			8	50	1313	0.4	2	0.1	0.2
World +	5001	Tea	2635	1969		1459	694	-14	721	1418	0			21	1398	0.4	0	0.1	
World +	5001	Spices +	2923	1969		1924	278	5	261	1947		0		95	1853	0.5	4	0.2	0.2
World +	5001	Pepper	2640	1969		103	82	3	86	101				3	99	0.0	0	0.0	0.0
World +	5001	Pimento	2641	1969		1186	51	-3	56	1178				68	1110	0.3	2	0.1	0.1
World +	5001	Cloves	2642	1969		24	8	0	10	21				15	6	0.0	0	0.0	0.0
World +	5001	Spices, Other	2645	1969		612	138	6	109	647		0		9	638	0.2	2	0.1	0.0
World +	5001	Alcoholic Beverages +	2924	1969		113138	4904	1129	4804	114367			1584	4610	108176	30.4	61	0.2	0.0
World +	5001	Wine	2655	1969		26683	3204	1153	3142	27899			1584	644	25678	7.2	13	0.0	
World +	5001	Beer	2656	1969		61270	990	-5	1025	61229				175	61055	17.1	21	0.2	
World +	5001	Beverages, Fermented	2657	1969		12458	18	0	27	12449				443	12003	3.4	5	0.0	0.0
World +	5001	Beverages, Alcoholic	2658	1969		10501	618	-19	582	10518				1077	9441	2.7	21	0.0	
World +	5001	Alcohol, Non-Food	2659	1969		2226	73	0	27	2272				2272	0	0.0			
World +	5001	Meat +	2943	1969		95462	5769	-84	5772	95375	41		23	668	94664	26.6	132	9.2	10.3
World +	5001	Bovine Meat	2731	1969		38802	2694	-25	2805	38665			2	192	38471	10.8	46	4.2	3.1
World +	5001	Mutton & Goat Meat	2732	1969		6436	726	24	698	6488	0			110	6378	1.8	10	0.6	0.8
World +	5001	Pigmeat	2733	1969		33598	1629	-134	1532	33560			2	282	33277	9.3	58	2.5	5.3
World +	5001	Poultry Meat	2734	1969		13523	418	52	441	13553	0		19	73	13462	3.8	15	1.4	1.0
World +	5001	Meat, Other	2735	1969		3104	302	-1	296	3108	41		1	11	3075	0.9	3	0.4	0.1
World +	5001	Offals +	2945	1969		7822	348	1	374	7797	678		0	1018	6107	1.7	5	0.8	0.2
World +	5001	Animal Fats +	2946	1969		21380	4189	248	4212	21605	1472		146	6149	13857	3.9	70	0.1	7.8
World +	5001	Butter, Ghee	2740	1969		5792	713	161	745	5920	5			26	5901	1.7	33	0.0	3.8
World +	5001	Cream	2743	1969		1741	7	0	10	1738			14	22	1702	0.5	3	0.0	0.3
World +	5001	Fats, Animals, Raw	2737	1969		12713	2716	53	2758	12724	808		132	5673	6119	1.7	33	0.0	3.7
World +	5001	Fish, Body Oil	2781	1969		1075	734	29	671	1166	635		0	424	107	0.0	1	0.0	0.1
World +	5001	Fish, Liver Oil	2782	1969		60	19	6	27	57	24			5	28	0.0	0	0.0	0.0
World +	5001	Eggs +	2949	1969		19285	446	14	492	19253	3	923	1	702	17630	4.9	19	1.5	1.3
World +	5001	Milk - Excluding Butter +	2948	1969		386508	25046	1691	25710	387536	99478		111	16710	271212	76.1	117	6.9	6.4
World +	5001	Fish, Seafood +	2960	1969		58411	19316	1047	21093	57681	19202	90	0	811	37578	10.6	20	3.2	0.7
World +	5001	Freshwater Fish	2761	1969		6160	295	39	327	6167	24	6		47	6089	1.7	4	0.6	0.1
World +	5001	Demersal Fish	2762	1969		15833	2216	85	3435	14699	1894	1		243	12562	3.5	6	0.9	0.2
World +	5001	Pelagic Fish	2763	1969		25540	15598	925	16301	25762	16554	46	0	116	9046	2.5	7	0.9	0.3
World +	5001	Marine Fish, Other	2764	1969		5433	263	0	126	5570	438	4	0	347	4781	1.3	3	0.5	0.1
World +	5001	Crustaceans	2765	1969		1891	499	-4	509	1877	19	0	0	2	1857	0.5	1	0.1	0.0
World +	5001	Cephalopods	2766	1969		1016	80	1	69	1028	3	33		0	992	0.3	1	0.1	0.0
World +	5001	Molluscs, Other	2767	1969		2539	366	0	326	2578	269	1		57	2252	0.6	0	0.0	0.0
World +	5001	Aquatic Products, Other +	2961	1969		1921	124	0	157	1887	177	0		830	881	0.2	0	0.0	0.0
World +	5001	Meat, Aquatic Mammals	2768	1969		4			4	0				0	0	0.0	0	0.0	0.0
World +	5001	Aquatic Animals, Others	2769	1969		70	58	0	1	127		0		10	117	0.0	0	0.0	0.0
World +	5001	Aquatic Plants	2775	1969		1847	66	0	152	1760	177			820	764	0.2	0	0.0	0.0
