countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
United States of America	231	Population	2501	1979	227360														
United States of America	231	Grand Total +	2901	1979													3222	100.6	128.9
United States of America	231	Vegetal Products +	2903	1979													2263	34.1	64.7
United States of America	231	Animal Products +	2941	1979													958	66.5	64.1
United States of America	231	Cereals - Excluding Beer +	2905	1979		300876	457	-12801	103654	184879	142668	4329	14321	3657	19978	87.9	647	19.7	2.7
United States of America	231	Wheat	2511	1979		58081	137	-1885	35115	21217	2338	2749	0	0	16130	70.9	510	16.6	2.1
United States of America	231	Rice (Milled Equivalent)	2805	1979		3992	15	-165	2120	1722		145	339	353	885	3.9	42	0.8	0.0
United States of America	231	Barley	2513	1979		8343	251	364	752	8206	4391	303	3347	0	165	0.7	7	0.2	0.0
United States of America	231	Maize	2514	1979		201383	35	-10014	59443	131961	115905	508	10517	3247	1784	7.8	58	1.0	0.2
United States of America	231	Rye	2515	1979		556	0	-74	106	376	175	102		53	45	0.2	2	0.0	0.0
United States of America	231	Oats	2516	1979		7646	11	635	56	8235	7189	469			577	2.5	12	0.5	0.2
United States of America	231	Millet	2517	1979		91	0		15	76	71			5					
United States of America	231	Sorghum	2518	1979		20509	0	-1661	5950	12899	12584	51	117		147	0.6	6	0.2	0.1
United States of America	231	Cereals, Other	2520	1979		275	8	0	95	188	14	3			245	1.1	11	0.3	0.1
United States of America	231	Starchy Roots +	2907	1979		16143	305	-20	525	15903	407	1058		2052	12397	54.5	90	2.3	0.2
United States of America	231	Cassava	2532	1979			117		0	117	0			0	117	0.5	1	0.0	0.0
United States of America	231	Potatoes	2531	1979		15533	165	-20	520	15159	377	1012		2045	11736	51.6	83	2.3	0.1
United States of America	231	Sweet Potatoes	2533	1979		606	0		0	606	31	46		6	524	2.3	5	0.1	0.0
United States of America	231	Yams	2535	1979			0			0					0	0.0	0	0.0	0.0
United States of America	231	Roots, Other	2534	1979		3	22		5	20				0	20	0.1	0	0.0	0.0
United States of America	231	Sugarcrops +	2908	1979		44024	0		4	44020		1018	43002						
United States of America	231	Sugar Cane	2536	1979		24069	0		0	24069		1018	23051						
United States of America	231	Sugar Beet	2537	1979		19954	0		4	19950			19950						
United States of America	231	Sugar & Sweeteners +	2909	1979		9162	4463	412	108	13929			30	444	13455	59.2	576	0.1	
United States of America	231	Sugar, Non-Centrifugal	2541	1979															
United States of America	231	Sugar (Raw Equivalent)	2542	1979		5061	4412	416	22	9868			30	93	9744	42.9	425		
United States of America	231	Sweeteners, Other	2543	1979		3993	24	-5	82	3931			0	350	3580	15.7	146	0.1	
United States of America	231	Honey	2745	1979		108	27		4	131					131	0.6	5	0.0	
United States of America	231	Pulses +	2911	1979		1151	24	5	366	814	11	57		0	746	3.3	31	2.0	0.1
United States of America	231	Beans	2546	1979		932	9	5	237	709	0	48		0	660	2.9	27	1.8	0.1
United States of America	231	Peas	2547	1979		147	3	0	83	66		9			57	0.3	2	0.2	0.0
United States of America	231	Pulses, Other	2549	1979		72	12	0	45	39	11	0			29	0.1	1	0.1	0.0
United States of America	231	Treenuts +	2912	1979		591	203	0	168	626				82	543	2.4	19	0.5	1.7
United States of America	231	Oilcrops +	2913	1979		71900	394	-11449	22676	38168	739	2308	32357	1671	1119	4.9	61	2.6	5.3
United States of America	231	Soyabeans	2555	1979		61526	0	-9200	20905	31422	27	2041	27701	1653	0	0.0	0	0.0	0.0
United States of America	231	Groundnuts (Shelled Eq)	2556	1979		1260	0	-13	353	894		57	167		669	2.9	49	2.2	4.3
United States of America	231	Sunflowerseed	2557	1979		3310	8	-1553	1326	439	55	19	292		74	0.3	3	0.1	0.2
United States of America	231	Rape and Mustardseed	2558	1979		15	27	0	4	38		0	0	3	35	0.2	2	0.1	0.1
United States of America	231	Cottonseed	2559	1979		5242	0	-660	7	4575	658	173	3744						
United States of America	231	Coconuts - Incl Copra	2560	1979			215	0	0	215			0	8	207	0.9	3	0.0	0.3
United States of America	231	Sesameseed	2561	1979		0	32		0	32				2	30	0.1	2	0.1	0.2
United States of America	231	Palmkernels	2562	1979			0		0	0									
United States of America	231	Olives	2563	1979		56	55		3	108			1	6	101	0.4	1	0.0	0.1
United States of America	231	Oilcrops, Other	2570	1979		490	57	-24	79	445		17	451	0	2	0.0	0	0.0	0.0
United States of America	231	Vegetable Oils +	2914	1979		6493	861	-122	1605	5627			0	995	4660	20.5	470	0.2	53.1
United States of America	231	Soyabean Oil	2571	1979		5136	3	-128	1165	3846				165	3682	16.2	370	0.1	41.7
United States of America	231	Groundnut Oil	2572	1979		75	0	-17	5	53				1	52	0.2	5	0.0	0.6
United States of America	231	Sunflowerseed Oil	2573	1979		115	0	0	30	85				45	40	0.2	4	0.0	0.5
United States of America	231	Rape and Mustard Oil	2574	1979		0	8	0	0	8			0	8	0	0.0	0	0.0	0.0
United States of America	231	Cottonseed Oil	2575	1979		582	0	26	286	321				32	290	1.3	30	0.0	3.4
United States of America	231	Palmkernel Oil	2576	1979			79	0	0	79			0	36	43	0.2	4	0.0	0.5
United States of America	231	Palm Oil	2577	1979			145	-2	0	143				6	136	0.6	14	0.0	1.5
United States of America	231	Coconut Oil	2578	1979			503	0	15	487			0	350	137	0.6	14	0.0	1.6
United States of America	231	Sesameseed Oil	2579	1979			2		0	2				2					
United States of America	231	Olive Oil	2580	1979		0	27	0	0	28					28	0.1	3		0.3
United States of America	231	Ricebran Oil	2581	1979															
United States of America	231	Maize Germ Oil	2582	1979		334	0	-1	57	276				31	246	1.1	25	0.0	2.8
