countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1980	4376520														
World +	5001	Grand Total +	2901	1980													2491	66.6	59.5
World +	5001	Vegetal Products +	2903	1980													2103	43.3	30.9
World +	5001	Animal Products +	2941	1980													387	23.4	28.5
World +	5001	Cereals - Excluding Beer +	2905	1980		1396420	229710	19998	228915	1417210	584521	72032	40421	86596	634087	144.9	1243	31.2	5.7
World +	5001	Wheat	2511	1980		431562	105182	-2219	100801	433724	84896	32840	2618	26819	286604	65.5	501	15.5	2.2
World +	5001	Rice (Milled Equivalent)	2805	1980		264255	11722	-2309	12642	261026	11333	11685	1921	16223	219880	50.2	508	9.5	1.5
World +	5001	Barley	2513	1980		154868	17793	1445	19493	154612	113176	11593	16543	4730	8571	2.0	13	0.4	0.1
World +	5001	Maize	2514	1980		386405	80199	19944	81106	405443	293438	6539	16812	31371	57584	13.2	109	2.6	1.0
World +	5001	Rye	2515	1980		25299	1135	347	1283	25498	9653	2574	782	1197	11292	2.6	19	0.5	0.1
World +	5001	Oats	2516	1980		41138	1386	1126	1679	41971	33479	4316	177	1385	2615	0.6	3	0.1	0.1
World +	5001	Millet	2517	1980		24812	292	301	221	25184	2366	767	339	1681	20030	4.6	38	1.0	0.4
World +	5001	Sorghum	2518	1980		57220	11021	1509	11179	58572	30413	865	1154	2773	23378	5.3	45	1.3	0.5
World +	5001	Cereals, Other	2520	1980		10861	980	-146	511	11184	5767	851	75	418	4131	0.9	8	0.2	0.0
World +	5001	Starchy Roots +	2907	1980		518265	24913	12283	26669	528793	132568	37603	12729	51149	294758	67.3	157	2.2	0.3
World +	5001	Cassava	2532	1980		123957	17328	-1350	18757	121179	39910	0	271	14185	66823	15.3	40	0.2	0.1
World +	5001	Potatoes	2531	1980		237629	7069	13626	7683	250641	55705	36177	12178	25498	121088	27.7	51	1.2	0.1
World +	5001	Sweet Potatoes	2533	1980		137391	379	-40	68	137662	35352	371	278	7548	94112	21.5	58	0.6	0.2
World +	5001	Yams	2535	1980		11763	1	0	14	11750	1321	881		3113	6434	1.5	4	0.1	0.0
World +	5001	Roots, Other	2534	1980		7525	136	48	147	7562	280	174	1	805	6302	1.4	4	0.0	0.0
World +	5001	Sugarcrops +	2908	1980		991344	125	-273	206	990991	31947	12338	915398	18550	12758	2.9	2	0.0	0.0
World +	5001	Sugar Cane	2536	1980		728768	12	-28	84	728668	17701	12338	670974	14936	12719	2.9	2	0.0	0.0
World +	5001	Sugar Beet	2537	1980		262576	113	-245	122	262323	14246		244424	3614	39	0.0	0	0.0	0.0
World +	5001	Sugar & Sweeteners +	2909	1980		105462	28218	4592	28705	109567	628	0	1216	3758	104025	23.8	231	0.1	0.0
World +	5001	Sugar, Non-Centrifugal	2541	1980		12284	5	0	4	12285	448		83	583	11172	2.6	25	0.1	0.0
World +	5001	Sugar (Raw Equivalent)	2542	1980		83415	26754	4501	27317	87354	167		434	1472	85311	19.5	191		
World +	5001	Sweeteners, Other	2543	1980		8868	1269	112	1173	9075	14	0	692	1703	6696	1.5	14	0.0	0.0
World +	5001	Honey	2745	1980		895	189	-20	211	853	0		7	0	846	0.2	2	0.0	
World +	5001	Pulses +	2911	1980		40506	2866	-224	2806	40341	7438	3366	7	1859	27671	6.3	59	3.7	0.3
World +	5001	Beans	2546	1980		13573	1336	323	1300	13933	227	1140		704	11861	2.7	25	1.6	0.1
World +	5001	Peas	2547	1980		9366	576	-565	638	8739	3848	848	7	381	3655	0.8	8	0.5	0.0
World +	5001	Pulses, Other	2549	1980		17567	953	18	868	17670	3362	1378	0	774	12155	2.8	26	1.6	0.2
World +	5001	Treenuts +	2912	1980		3909	1293	-16	1247	3938		0	1	182	3802	0.9	6	0.2	0.5
World +	5001	Oilcrops +	2913	1980		196254	36402	6974	35953	203677	6150	7084	161749	7914	20827	4.8	39	2.1	2.6
World +	5001	Soyabeans	2555	1980		81004	26751	5773	26885	86642	1242	3450	73443	1985	6522	1.5	14	1.3	0.5
World +	5001	Groundnuts (Shelled Eq)	2556	1980		11822	704	227	723	12029	4	1052	6518	559	3897	0.9	13	0.6	1.1
World +	5001	Sunflowerseed	2557	1980		13325	2082	574	1938	14042	155	490	12373	513	511	0.1	1	0.0	0.1
World +	5001	Rape and Mustardseed	2558	1980		10950	2209	34	2087	11106	397	251	9885	343	230	0.1	1	0.0	0.0
World +	5001	Cottonseed	2559	1980		25926	296	1017	325	26914	4115	1421	19566	1812	0	0.0	0	0.0	0.0
World +	5001	Coconuts - Incl Copra	2560	1980		30974	2563	-1025	2495	30017	27	91	20021	2036	7842	1.8	7	0.1	0.6
World +	5001	Sesameseed	2561	1980		1703	230	43	220	1756		54	1217	60	428	0.1	2	0.0	0.1
World +	5001	Palmkernels	2562	1980		1686	182	1	195	1674	0		1570	95	8	0.0	0	0.0	0.0
World +	5001	Olives	2563	1980		11206	241	-34	232	11181			10045	107	1032	0.2	1	0.0	0.1
World +	5001	Oilcrops, Other	2570	1980		7659	1144	364	853	8314	210	276	7110	405	356	0.1	1	0.0	0.1
World +	5001	Vegetable Oils +	2914	1980		42858	12939	-1382	13386	41029	121		53	7858	33120	7.6	181	0.0	20.4
World +	5001	Soyabean Oil	2571	1980		13141	3276	-1007	3607	11804	42			814	10959	2.5	60	0.0	6.7
World +	5001	Groundnut Oil	2572	1980		2723	509	240	480	2992	0		0	79	2913	0.7	16	0.0	1.8
World +	5001	Sunflowerseed Oil	2573	1980		4975	1016	131	1166	4956	0		0	252	4706	1.1	25	0.0	2.9
World +	5001	Rape and Mustard Oil	2574	1980		3700	763	-132	757	3574	79			434	3068	0.7	17	0.0	1.9
World +	5001	Cottonseed Oil	2575	1980		3187	463	0	436	3214	0		1	678	2535	0.6	14	0.0	1.6
World +	5001	Palmkernel Oil	2576	1980		716	461	15	513	679	0		1	414	264	0.1	1	0.0	0.2
World +	5001	Palm Oil	2577	1980		5043	3392	-185	3604	4646	0			1752	2979	0.7	16	0.0	1.8
World +	5001	Coconut Oil	2578	1980		2640	1162	44	1235	2610	0			945	1674	0.4	9	0.0	1.0
World +	5001	Sesameseed Oil	2579	1980		536	6	0	7	535	0		1	44	490	0.1	3	0.0	0.3
World +	5001	Olive Oil	2580	1980		2189	362	-437	272	1841				248	1599	0.4	9	0.0	1.0
World +	5001	Ricebran Oil	2581	1980		383	1	0	0	383				115	268	0.1	1	0.0	0.2
World +	5001	Maize Germ Oil	2582	1980		818	193	-15	187	808			0	33	775	0.2	4	0.0	0.5
World +	5001	Oilcrops Oil, Other	2586	1980		2807	1335	-35	1121	2986	0		83	2050	890	0.2	5	0.0	0.5
World +	5001	Vegetables +	2918	1980		319157	15069	651	15439	319437	7142	60	24	31639	280638	64.1	43	2.2	0.4
World +	5001	Tomatoes	2601	1980		51822	4060	380	4794	51467	568		4	4744	46152	10.5	5	0.3	0.1
World +	5001	Onions	2602	1980		21956	1544	42	1578	21964	0	22	0	1811	20136	4.6	5	0.2	0.0
World +	5001	Vegetables, Other	2605	1980		245379	9465	229	9066	246007	6573	38	20	25084	214350	49.0	33	1.8	0.3
World +	5001	Fruits - Excluding Wine +	2919	1980		296330	33490	-236	36541	293043	3091		57274	26863	206001	47.1	61	0.7	0.3
World +	5001	Oranges, Mandarines	2611	1980		48445	8527	-140	11918	44914	3		15	4189	40852	9.3	7	0.1	0.0
World +	5001	Lemons, Limes	2612	1980		5107	1091	0	1214	4985			10	497	4487	1.0	1	0.0	0.0
World +	5001	Grapefruit	2613	1980		4520	1147	-21	1629	4017	0		0	297	3722	0.9	0	0.0	0.0
World +	5001	Citrus, Other	2614	1980		2771	257	0	58	2970			27	390	2563	0.6	0	0.0	0.0
World +	5001	Bananas	2615	1980		35903	6571	7	6824	35658	829		721	5112	28996	6.6	11	0.1	0.0
World +	5001	Plantains	2616	1980		22599	53	0	70	22583	1959		2551	3651	14422	3.3	8	0.1	0.0
World +	5001	Apples	2617	1980		33360	4814	968	4785	34356	162		2461	2889	28844	6.6	8	0.0	0.1
World +	5001	Pineapples	2618	1980		10763	1176	-637	1392	9911			5	989	8916	2.0	2	0.0	0.0
World +	5001	Dates	2619	1980		1951	251	-22	80	2100	40		0	158	1902	0.4	2	0.0	0.0
World +	5001	Grapes	2620	1980		64307	2885	-41	2552	64599	0		49762	1995	12849	2.9	5	0.0	0.0
World +	5001	Fruits, Other	2625	1980		66601	6718	-349	6020	66949	98		1721	6696	58448	13.4	16	0.2	0.2
World +	5001	Stimulants +	2922	1980		8553	6808	192	6918	8635	0		14	162	8459	1.9	4	0.4	0.2
World +	5001	Coffee	2630	1980		4767	4057	211	4035	4998			0	99	4899	1.1	1	0.2	
World +	5001	Cocoa Beans	2633	1980		1631	1874	-46	1884	1575			13	29	1533	0.4	2	0.1	0.2
World +	5001	Tea	2635	1980		2155	877	28	998	2061	0			33	2028	0.5	1	0.1	
World +	5001	Spices +	2923	1980		2834	492	-7	454	2865		0		156	2714	0.6	5	0.2	0.2
World +	5001	Pepper	2640	1980		179	136	-20	133	161				6	155	0.0	0	0.0	0.0
World +	5001	Pimento	2641	1980		1578	83	-10	85	1565				89	1477	0.3	3	0.1	0.1
World +	5001	Cloves	2642	1980		56	16	-3	15	53				42	12	0.0	0	0.0	0.0
World +	5001	Spices, Other	2645	1980		1022	257	26	221	1085		0		19	1070	0.2	2	0.1	0.1
World +	5001	Alcoholic Beverages +	2924	1980		167007	8609	-1193	8820	165603			4096	9560	151935	34.7	72	0.3	0.0
World +	5001	Wine	2655	1980		34415	4742	-708	4599	33850			4096	1000	28755	6.6	12	0.0	
World +	5001	Beer	2656	1980		90168	2055	-90	2190	89943				165	89778	20.5	25	0.2	
World +	5001	Beverages, Fermented	2657	1980		19049	46	-21	55	19019				796	18210	4.2	6	0.0	0.0
World +	5001	Beverages, Alcoholic	2658	1980		16707	1307	-373	1443	16198				1006	15192	3.5	28	0.0	
World +	5001	Alcohol, Non-Food	2659	1980		6668	458	0	533	6593				6594	0	0.0			
World +	5001	Meat +	2943	1980		134418	9352	189	9839	134120	27		36	1119	132955	30.4	155	10.3	12.2
World +	5001	Bovine Meat	2731	1980		46676	4181	74	4505	46426			2	258	46165	10.5	45	4.0	3.1
World +	5001	Mutton & Goat Meat	2732	1980		7077	796	-12	773	7087	0			168	6920	1.6	9	0.6	0.7
World +	5001	Pigmeat	2733	1980		51804	2538	122	2628	51835			3	450	51382	11.7	76	3.2	6.9
World +	5001	Poultry Meat	2734	1980		25463	1303	5	1506	25266	0		30	225	25010	5.7	22	2.1	1.4
World +	5001	Meat, Other	2735	1980		3399	534	0	427	3506	27		1	17	3478	0.8	3	0.4	0.1
World +	5001	Offals +	2945	1980		10078	577	-9	639	10008	765		0	1208	8048	1.8	6	0.9	0.2
World +	5001	Animal Fats +	2946	1980		27378	6027	-72	6175	27159	1776		152	8049	17249	3.9	69	0.1	7.7
World +	5001	Butter, Ghee	2740	1980		6920	1362	80	1416	6946	8			68	6889	1.6	32	0.0	3.6
World +	5001	Cream	2743	1980		3013	51	0	42	3022			22	43	2957	0.7	4	0.1	0.4
World +	5001	Fats, Animals, Raw	2737	1980		16220	3861	-134	3976	15971	1112		130	7562	7216	1.6	32	0.0	3.6
World +	5001	Fish, Body Oil	2781	1980		1195	738	-18	716	1200	651		0	370	178	0.0	1	0.0	0.1
World +	5001	Fish, Liver Oil	2782	1980		30	14	0	24	20	5			6	9	0.0	0	0.0	0.0
World +	5001	Eggs +	2949	1980		27070	841	1	892	27020	10	1552	4	1093	24361	5.6	22	1.7	1.5
World +	5001	Milk - Excluding Butter +	2948	1980		459242	46244	987	48724	457749	100644		114	21745	335302	76.6	114	6.9	6.1
World +	5001	Fish, Seafood +	2960	1980		70775	19603	-230	20223	69926	18514	184		849	50383	11.5	23	3.4	0.8
World +	5001	Freshwater Fish	2761	1980		7989	372	-5	312	8043	56	20		120	7847	1.8	4	0.6	0.1
