countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
United States of America	231	Population	2501	1964	197095														
United States of America	231	Grand Total +	2901	1964													2929	97.5	114.3
United States of America	231	Vegetal Products +	2903	1964													1914	32.1	45.3
United States of America	231	Animal Products +	2941	1964													1014	65.4	69.0
United States of America	231	Cereals - Excluding Beer +	2905	1964		159959	602	16132	41556	135137	104234	3574	6119	4522	16704	84.8	616	18.9	2.6
United States of America	231	Wheat	2511	1964		34928	112	4984	23223	16802	1494	1783	0	0	13525	68.6	490	15.9	2.0
United States of America	231	Rice (Milled Equivalent)	2805	1964		2214	1	-119	1241	855		75	115	118	564	2.9	31	0.6	0.0
United States of America	231	Barley	2513	1964		8407	325	903	1622	8013	5465	348	1913	135	152	0.8	7	0.2	0.0
United States of America	231	Maize	2514	1964		88504	24	9106	12532	85102	75085	279	4002	4166	1570	8.0	61	1.2	0.2
United States of America	231	Rye	2515	1964		825	91	-135	144	638	267	152		97	122	0.6	5	0.1	0.0
United States of America	231	Oats	2516	1964		12371	39	500	65	12845	11322	885			638	3.2	16	0.7	0.3
United States of America	231	Millet	2517	1964		119	1		0	120	114			6					
United States of America	231	Sorghum	2518	1964		12441	1	892	2729	10605	10465	51	89		0	0.0	0	0.0	0.0
United States of America	231	Cereals, Other	2520	1964		151	6	0	0	157	23	1			134	0.7	7	0.2	0.1
United States of America	231	Starchy Roots +	2907	1964		11535	691	1050	103	13172	616	1008		903	10645	54.0	91	2.3	0.2
United States of America	231	Cassava	2532	1964			477		0	477	0			0	477	2.4	6	0.0	0.0
United States of America	231	Potatoes	2531	1964		10941	201	1050	101	12091	553	980		897	9661	49.0	79	2.1	0.1
United States of America	231	Sweet Potatoes	2533	1964		589	0		2	586	63	28		6	490	2.5	5	0.1	0.0
United States of America	231	Yams	2535	1964			0			0					0	0.0	0	0.0	0.0
United States of America	231	Roots, Other	2534	1964		4	13		0	17				0	17	0.1	0	0.0	0.0
United States of America	231	Sugarcrops +	2908	1964		44176	0		0	44176		668	43508						
United States of America	231	Sugar Cane	2536	1964		22728	0		0	22728		668	22060						
United States of America	231	Sugar Beet	2537	1964		21448	0		0	21448			21448						
United States of America	231	Sugar & Sweeteners +	2909	1964		6665	3286	621	44	10527			55	13	10460	53.1	526	0.0	
United States of America	231	Sugar, Non-Centrifugal	2541	1964															
United States of America	231	Sugar (Raw Equivalent)	2542	1964		5134	3278	636	9	9039			55	13	8970	45.5	451		
United States of America	231	Sweeteners, Other	2543	1964		1402	6	-16	31	1361			0	0	1362	6.9	69	0.0	
United States of America	231	Honey	2745	1964		129	2		4	127					127	0.6	5	0.0	
United States of America	231	Pulses +	2911	1964		1071	9	78	283	875	23	58		0	794	4.0	38	2.5	0.2
United States of America	231	Beans	2546	1964		792	3	78	170	703	5	36		0	662	3.4	31	2.1	0.1
United States of America	231	Peas	2547	1964		221	1	0	113	110		15			95	0.5	4	0.3	0.0
United States of America	231	Pulses, Other	2549	1964		58	4	0	0	62	18	7			37	0.2	2	0.1	0.0
United States of America	231	Treenuts +	2912	1964		242	183	0	20	404				52	352	1.8	13	0.3	1.2
United States of America	231	Oilcrops +	2913	1964		26482	1403	569	6145	22309	112	1392	18991	885	929	4.7	51	2.0	4.5
United States of America	231	Soyabeans	2555	1964		19076	0	500	5702	13874	23	1097	11893	861	0	0.0	0	0.0	0.0
United States of America	231	Groundnuts (Shelled Eq)	2556	1964		666	1	9	38	638		41	120		477	2.4	40	1.8	3.5
United States of America	231	Sunflowerseed	2557	1964		16	3	0	0	18	4	0	0		14	0.1	1	0.0	0.1
United States of America	231	Rape and Mustardseed	2558	1964		7	10	0	0	17		0	0	1	16	0.1	1	0.1	0.1
United States of America	231	Cottonseed	2559	1964		5658	0	-24	8	5627	85	201	5341						
United States of America	231	Coconuts - Incl Copra	2560	1964			1303	-61	0	1242			932	10	300	1.5	6	0.1	0.5
United States of America	231	Sesameseed	2561	1964		0	11		0	11				1	11	0.1	1	0.0	0.1
United States of America	231	Palmkernels	2562	1964			0		0	0									
United States of America	231	Olives	2563	1964		49	63		2	111			6	5	100	0.5	2	0.0	0.2
United States of America	231	Oilcrops, Other	2570	1964		1010	11	145	395	771		52	700	8	11	0.1	1	0.0	0.1
United States of America	231	Vegetable Oils +	2914	1964		3657	338	350	958	3387			0	742	2706	13.7	311	0.1	35.1
United States of America	231	Soyabean Oil	2571	1964		2187	0	224	579	1832				205	1627	8.3	185	0.1	20.9
United States of America	231	Groundnut Oil	2572	1964		50	0	17	37	30				7	24	0.1	3	0.0	0.3
United States of America	231	Sunflowerseed Oil	2573	1964		0	0	0	0	0				0	0	0.0	0	0.0	0.0
United States of America	231	Rape and Mustard Oil	2574	1964		0	2	0	0	2			0	2	0	0.0	0	0.0	0.0
United States of America	231	Cottonseed Oil	2575	1964		899	0	104	275	728				56	672	3.4	77	0.0	8.7
United States of America	231	Palmkernel Oil	2576	1964			38	0	0	38			0	7	31	0.2	4	0.0	0.4
United States of America	231	Palm Oil	2577	1964			3	5	25					1	7	0.0	1	0.0	0.1
United States of America	231	Coconut Oil	2578	1964			195	0	2	193			0	76	117	0.6	14	0.0	1.6
United States of America	231	Sesameseed Oil	2579	1964			1		0	1				1					
