countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1970	3634040														
World +	5001	Grand Total +	2901	1970													2393	64.6	53.5
World +	5001	Vegetal Products +	2903	1970													2028	42.8	26.8
World +	5001	Animal Products +	2941	1970													365	21.8	26.7
World +	5001	Cereals - Excluding Beer +	2905	1970		1070090	118813	32043	117661	1103280	447969	63643	25626	61806	504299	138.8	1183	29.6	5.5
World +	5001	Wheat	2511	1970		303624	59496	20344	57685	325778	71745	27038	949	19103	206932	56.9	429	13.3	1.8
World +	5001	Rice (Milled Equivalent)	2805	1970		210582	8331	-4578	8173	206163	8196	10544	1664	11502	174293	48.0	483	9.1	1.4
World +	5001	Barley	2513	1970		117921	12226	3307	12402	121052	84143	9287	12739	4910	9973	2.7	19	0.5	0.1
World +	5001	Maize	2514	1970		258152	29667	10488	30258	268049	190607	6178	8431	18648	44228	12.2	101	2.5	0.9
World +	5001	Rye	2515	1970		27551	609	710	764	28106	9871	3337	420	1312	13167	3.6	26	0.7	0.1
World +	5001	Oats	2516	1970		52102	1646	-402	1695	51651	43241	4537	183	1233	2457	0.7	4	0.1	0.1
World +	5001	Millet	2517	1970		33234	305	-615	170	32753	2380	908	310	2327	26828	7.4	61	1.6	0.6
World +	5001	Sorghum	2518	1970		55757	5807	2968	6207	58324	31502	972	853	2379	22618	6.2	52	1.5	0.5
World +	5001	Cereals, Other	2520	1970		11167	726	-179	307	11407	6285	843	77	392	3803	1.0	8	0.2	0.0
World +	5001	Starchy Roots +	2907	1970		555210	11091	-4504	11376	550420	149569	42289	11084	58215	289264	79.6	186	2.6	0.4
World +	5001	Cassava	2532	1970		98426	5109	426	5624	98337	29115	0	204	12066	56953	15.7	41	0.3	0.1
World +	5001	Potatoes	2531	1970		294899	5866	-4829	5617	290319	90978	41077	10361	30195	117708	32.4	60	1.4	0.1
World +	5001	Sweet Potatoes	2533	1970		136085	35	-1	16	136104	26455	455	518	8150	100526	27.7	75	0.8	0.2
World +	5001	Yams	2535	1970		17189	0	0	7	17182	2593	589		6018	7982	2.2	6	0.1	0.0
World +	5001	Roots, Other	2534	1970		8612	80	-100	113	8479	429	167	1	1786	6096	1.7	5	0.1	0.0
World +	5001	Sugarcrops +	2908	1970		820049	31	19	52	820047	25596	12032	751446	20475	10499	2.9	2	0.0	0.0
World +	5001	Sugar Cane	2536	1970		598860	0	23	43	598841	19968	12032	538441	17943	10457	2.9	2	0.0	0.0
World +	5001	Sugar Beet	2537	1970		221188	31	-4	10	221205	5628		213004	2532	42	0.0	0	0.0	0.0
World +	5001	Sugar & Sweeteners +	2909	1970		88490	22899	-1406	22112	87872	761	0	1636	2458	83075	22.9	223	0.1	0.0
World +	5001	Sugar, Non-Centrifugal	2541	1970		11149	9	0	2	11156	374		62	262	10458	2.9	28	0.1	0.0
World +	5001	Sugar (Raw Equivalent)	2542	1970		71260	22027	-1407	21614	70266	384		491	1284	68159	18.8	184		
World +	5001	Sweeteners, Other	2543	1970		5288	750	2	386	5654	3	0	1076	911	3669	1.0	9	0.0	0.0
