countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1977	4151810														
World +	5001	Grand Total +	2901	1977													2423	65.0	55.8
World +	5001	Vegetal Products +	2903	1977													2053	42.3	28.9
World +	5001	Animal Products +	2941	1977													370	22.7	26.9
World +	5001	Cereals - Excluding Beer +	2905	1977		1311400	172271	-7678	175169	1300820	539242	71931	35105	74479	580161	139.7	1198	29.9	5.5
World +	5001	Wheat	2511	1977		373326	77802	14503	75363	390268	84345	32973	1466	24122	247417	59.6	453	14.0	2.0
World +	5001	Rice (Milled Equivalent)	2805	1977		245980	9259	-1321	10736	243182	9369	11572	1864	12920	207478	50.0	503	9.4	1.5
World +	5001	Barley	2513	1977		154974	14989	636	15862	154737	112596	11473	15730	5239	9699	2.3	16	0.4	0.1
World +	5001	Maize	2514	1977		360793	55624	-18738	58277	339402	243082	6350	13621	24794	51574	12.4	103	2.5	0.9
World +	5001	Rye	2515	1977		23946	533	2335	623	26190	9727	2664	863	1159	11777	2.8	21	0.5	0.1
World +	5001	Oats	2516	1977		48776	1494	-3015	1773	45483	37149	4345	150	1331	2508	0.6	3	0.1	0.1
World +	5001	Millet	2517	1977		26558	430	-279	278	26432	2599	788	329	1801	20915	5.0	42	1.1	0.4
World +	5001	Sorghum	2518	1977		66759	11026	-1822	11938	64025	34207	992	1025	2740	25064	6.0	51	1.5	0.5
World +	5001	Cereals, Other	2520	1977		10283	1112	24	319	11100	6168	773	57	374	3729	0.9	7	0.2	0.0
World +	5001	Starchy Roots +	2907	1977		556410	20277	2882	19549	560020	148596	38731	12009	56776	303920	73.2	171	2.4	0.4
World +	5001	Cassava	2532	1977		118437	13437	-193	12751	118929	37339	0	405	14770	66426	16.0	42	0.3	0.1
World +	5001	Potatoes	2531	1977		276341	6684	3025	6616	279433	78819	37392	11190	29452	122581	29.5	54	1.3	0.1
World +	5001	Sweet Potatoes	2533	1977		142620	39	0	27	142632	30640	430	413	8191	102957	24.8	67	0.7	0.2
World +	5001	Yams	2535	1977		11977	2	0	13	11966	1502	747		3510	6206	1.5	4	0.1	0.0
World +	5001	Roots, Other	2534	1977		7035	116	50	141	7060	296	162	1	854	5751	1.4	4	0.0	0.0
