countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1968	3490100														
World +	5001	Grand Total +	2901	1968													2329	63.8	52.8
World +	5001	Vegetal Products +	2903	1968													1961	42.1	25.8
World +	5001	Animal Products +	2941	1968													368	21.7	27.0
World +	5001	Cereals - Excluding Beer +	2905	1968		1045880	105138	-30618	105867	1014530	405778	63050	23623	53526	468604	134.3	1144	28.8	5.3
World +	5001	Wheat	2511	1968		318582	53858	-24055	53923	294462	56298	27196	999	15839	194141	55.6	420	13.1	1.8
World +	5001	Rice (Milled Equivalent)	2805	1968		191963	7090	-5596	7293	186165	6905	9708	1468	10356	157751	45.2	456	8.6	1.3
World +	5001	Barley	2513	1968		111698	7778	-4820	7686	106970	71492	9106	11594	4317	10460	3.0	21	0.6	0.1
World +	5001	Maize	2514	1968		247977	29085	6009	29627	253444	182873	6072	7900	15557	41042	11.8	98	2.4	0.9
World +	5001	Rye	2515	1968		32888	566	-2059	701	30694	12023	3449	379	1784	13059	3.7	27	0.7	0.1
World +	5001	Oats	2516	1968		51683	1262	-2946	1337	48662	40378	4655	170	1133	2325	0.7	4	0.1	0.1
World +	5001	Millet	2517	1968		26763	316	511	264	27327	2606	930	286	1806	21699	6.2	51	1.4	0.5
World +	5001	Sorghum	2518	1968		53135	4492	2429	4787	55269	26569	1043	782	2328	24547	7.0	58	1.7	0.6
World +	5001	Cereals, Other	2520	1968		11187	690	-92	249	11536	6633	890	45	406	3579	1.0	9	0.2	0.0
World +	5001	Starchy Roots +	2907	1968		533058	8250	-10514	8705	522089	142417	43171	10705	53981	271830	77.9	180	2.5	0.4
World +	5001	Cassava	2532	1968		92930	3526	20	3777	92699	25523	0	246	10737	56193	16.1	42	0.3	0.1
World +	5001	Potatoes	2531	1968		300639	4612	-10435	4734	290082	92993	41910	9760	30688	114732	32.9	60	1.5	0.1
World +	5001	Sweet Potatoes	2533	1968		117704	22	0	13	117713	21644	534	698	6589	88249	25.3	68	0.7	0.2
World +	5001	Yams	2535	1968		13639	0	0	5	13634	1840	566		4341	6886	2.0	5	0.1	0.0
World +	5001	Roots, Other	2534	1968		8147	89	-99	177	7960	417	161	1	1626	5769	1.7	5	0.1	0.0
World +	5001	Sugarcrops +	2908	1968		741661	94	1675	188	743242	36753	8742	668607	21852	7287	2.1	2	0.0	0.0
World +	5001	Sugar Cane	2536	1968		495819	0	1493	99	497213	29100	8742	435076	17054	7241	2.1	2	0.0	0.0
World +	5001	Sugar Beet	2537	1968		245842	94	182	89	246029	7654		233531	4798	46	0.0	0	0.0	0.0
World +	5001	Sugar & Sweeteners +	2909	1968		79923	19955	-603	20528	78747	827	0	1203	2068	74712	21.4	209	0.1	0.0
World +	5001	Sugar, Non-Centrifugal	2541	1968		10022	8	0	2	10028	326		55	295	9352	2.7	26	0.1	0.0
World +	5001	Sugar (Raw Equivalent)	2542	1968		64371	19240	-566	20083	62961	498		412	975	61128	17.5	172		
World +	5001	Sweeteners, Other	2543	1968		4799	595	-37	331	5026	3	0	730	797	3506	1.0	9	0.0	0.0
World +	5001	Honey	2745	1968		730	113	1	112	732	0		6	0	726	0.2	2	0.0	
World +	5001	Pulses +	2911	1968		41874	1721	231	1804	42023	9040	3674	3	1719	27586	7.9	74	4.6	0.5
World +	5001	Beans	2546	1968		11515	589	127	543	11687	236	1009		471	9972	2.9	27	1.7	0.1
World +	5001	Peas	2547	1968		8785	452	97	516	8818	3434	796	3	370	4217	1.2	11	0.7	0.0
World +	5001	Pulses, Other	2549	1968		21575	680	8	745	21518	5371	1869	0	878	13397	3.8	37	2.2	0.3
World +	5001	Treenuts +	2912	1968		3345	1113	-70	1162	3225		0	1	163	3061	0.9	6	0.1	0.4
World +	5001	Oilcrops +	2913	1968		133853	19388	-5678	19775	127788	4233	5744	93078	6262	18479	5.3	43	2.3	2.9
World +	5001	Soyabeans	2555	1968		41418	8344	-3961	8757	37043	822	2428	26761	1404	5628	1.6	15	1.4	0.5
World +	5001	Groundnuts (Shelled Eq)	2556	1968		11214	1579	192	1532	11453	8	968	6546	428	3503	1.0	15	0.7	1.3
World +	5001	Sunflowerseed	2557	1968		9693	568	-95	500	9665	36	473	8532	249	375	0.1	1	0.0	0.1
World +	5001	Rape and Mustardseed	2558	1968		5753	945	102	968	5832	256	124	5049	217	186	0.1	1	0.0	0.1
World +	5001	Cottonseed	2559	1968		22642	369	-1650	355	21006	2947	1294	14853	1913	0	0.0	0	0.0	0.0
World +	5001	Coconuts - Incl Copra	2560	1968		25147	5717	-174	5933	24757	18	61	15780	1291	7608	2.2	8	0.1	0.7
World +	5001	Sesameseed	2561	1968		1601	187	36	196	1629		44	1169	48	376	0.1	2	0.1	0.2
World +	5001	Palmkernels	2562	1968		1017	445	-5	414	1042	0		926	112	4	0.0	0	0.0	0.0
World +	5001	Olives	2563	1968		7747	148	22	143	7774			7137	97	532	0.2	1	0.0	0.1
World +	5001	Oilcrops, Other	2570	1968		7622	1086	-145	976	7587	145	352	6326	503	267	0.1	1	0.0	0.1
World +	5001	Vegetable Oils +	2914	1968		24665	5121	102	5231	24658	8		13	4947	19716	5.6	135	0.0	15.3
World +	5001	Soyabean Oil	2571	1968		4628	570	84	702	4579	4			369	4221	1.2	29	0.0	3.2
World +	5001	Groundnut Oil	2572	1968		2749	481	194	523	2900	1		2	63	2835	0.8	20	0.0	2.2
World +	5001	Sunflowerseed Oil	2573	1968		3572	901	72	1112	3433	0		1	561	2871	0.8	19	0.0	2.2
World +	5001	Rape and Mustard Oil	2574	1968		1853	211	7	248	1822	0			154	1678	0.5	12	0.0	1.3
World +	5001	Cottonseed Oil	2575	1968		2412	185	26	187	2436	0		0	557	1877	0.5	13	0.0	1.4
World +	5001	Palmkernel Oil	2576	1968		447	144	-15	141	435	0		1	149	285	0.1	2	0.0	0.2
World +	5001	Palm Oil	2577	1968		1820	879	-61	880	1758	0			475	1300	0.4	9	0.0	1.0
World +	5001	Coconut Oil	2578	1968		1850	554	39	523	1921	0			452	1483	0.4	10	0.0	1.2
World +	5001	Sesameseed Oil	2579	1968		511	1	0	2	510	0		0	11	499	0.1	3	0.0	0.4
World +	5001	Olive Oil	2580	1968		1654	172	-154	163	1508				116	1391	0.4	10	0.0	1.1
World +	5001	Ricebran Oil	2581	1968		200	0	0	1	199				75	124	0.0	1	0.0	0.1
World +	5001	Maize Germ Oil	2582	1968		441	30	4	23	452			0	24	428	0.1	3	0.0	0.3
World +	5001	Oilcrops Oil, Other	2586	1968		2529	994	-95	726	2703	4		58	1938	725	0.2	5	0.0	0.6
World +	5001	Vegetables +	2918	1968		247186	7650	223	8700	246359	5579	58	50	23480	217227	62.2	42	2.2	0.4
World +	5001	Tomatoes	2601	1968		34750	2261	-178	3083	33749	247		1	3231	30271	8.7	4	0.2	0.1
World +	5001	Onions	2602	1968		16177	915	61	1025	16128	0	18	2	1339	14769	4.2	4	0.2	0.0
World +	5001	Vegetables, Other	2605	1968		196260	4473	340	4591	196481	5332	41	47	18911	172187	49.3	33	1.8	0.3
World +	5001	Fruits - Excluding Wine +	2919	1968		219074	21664	555	21069	220224	2454		46377	21275	150143	43.0	58	0.7	0.3
World +	5001	Oranges, Mandarines	2611	1968		27167	4675	13	4872	26984	0		12	2392	24589	7.0	5	0.1	0.0
World +	5001	Lemons, Limes	2612	1968		3333	653	2	737	3251			9	363	2880	0.8	0	0.0	0.0
World +	5001	Grapefruit	2613	1968		2552	836	19	742	2665	0		0	152	2513	0.7	0	0.0	0.0
World +	5001	Citrus, Other	2614	1968		1673	67	0	14	1726			8	228	1491	0.4	0	0.0	0.0
World +	5001	Bananas	2615	1968		27702	5171	11	5340	27543	525		748	4743	21528	6.2	10	0.1	0.0
World +	5001	Plantains	2616	1968		17063	17	0	57	17023	1662		2118	3105	10138	2.9	7	0.1	0.0
World +	5001	Apples	2617	1968		23733	2832	745	2598	24711	154		2081	2452	20025	5.7	7	0.0	0.1
World +	5001	Pineapples	2618	1968		4962	513	-41	634	4801			3	423	4375	1.3	1	0.0	0.0
World +	5001	Dates	2619	1968		1507	297	-16	84	1703	28		0	116	1560	0.4	2	0.0	0.0
World +	5001	Grapes	2620	1968		53677	2549	-112	2342	53772	0		40274	1861	11636	3.3	6	0.1	0.0
World +	5001	Fruits, Other	2625	1968		55706	4054	-65	3649	56046	85		1125	5440	49409	14.2	17	0.2	0.2
World +	5001	Stimulants +	2922	1968		6536	5651	554	5602	7139	0		8	192	6940	2.0	4	0.4	0.2
World +	5001	Coffee	2630	1968		3900	3441	454	3411	4384			0	141	4242	1.2	2	0.2	
World +	5001	Cocoa Beans	2633	1968		1184	1500	103	1431	1357			8	31	1319	0.4	2	0.1	0.2
World +	5001	Tea	2635	1968		1452	710	-3	760	1399	0			20	1379	0.4	0	0.1	
World +	5001	Spices +	2923	1968		1888	302	-16	294	1880		0		110	1770	0.5	4	0.2	0.2
World +	5001	Pepper	2640	1968		128	84	-16	91	105				4	101	0.0	0	0.0	0.0
World +	5001	Pimento	2641	1968		1166	59	-3	62	1159				67	1092	0.3	2	0.1	0.1
World +	5001	Cloves	2642	1968		34	24	9	27	41				31	10	0.0	0	0.0	0.0
