countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
United States of America	231	Population	2501	1975	219108														
United States of America	231	Grand Total +	2901	1975													3038	97.7	117.9
United States of America	231	Vegetal Products +	2903	1975													2133	33.5	58.6
United States of America	231	Animal Products +	2941	1975													905	64.2	59.3
United States of America	231	Cereals - Excluding Beer +	2905	1975		247590	578	-19093	74505	154571	117069	4432	10813	3718	18539	84.6	618	19.0	2.7
United States of America	231	Wheat	2511	1975		57886	120	-7052	32050	18904	1015	2722	0	0	15168	69.2	496	16.1	2.0
United States of America	231	Rice (Milled Equivalent)	2805	1975		3886	1	-630	1956	1301		106	254	240	700	3.2	34	0.6	0.0
United States of America	231	Barley	2513	1975		8255	382	-629	693	7315	4058	342	2772	0	143	0.7	6	0.2	0.0
United States of America	231	Maize	2514	1975		148361	47	-10656	33680	104071	90984	511	7714	3420	1443	6.6	49	0.9	0.1
United States of America	231	Rye	2515	1975		404	18	62	56	429	193	107		53	76	0.3	3	0.1	0.0
United States of America	231	Oats	2516	1975		9275	5	296	223	9353	8157	585			611	2.8	13	0.6	0.2
United States of America	231	Millet	2517	1975		95	0		0	95	90			5					
United States of America	231	Sorghum	2518	1975		19161	0	-483	5848	12830	12551	58	72		149	0.7	6	0.2	0.1
United States of America	231	Cereals, Other	2520	1975		266	5	0	0	271	20	2			250	1.1	11	0.4	0.1
United States of America	231	Starchy Roots +	2907	1975		15193	275	350	282	15536	295	1198		1497	12546	57.3	94	2.5	0.2
United States of America	231	Cassava	2532	1975			137		0	137	0			0	137	0.6	2	0.0	0.0
United States of America	231	Potatoes	2531	1975		14605	120	350	274	14801	269	1162		1491	11880	54.2	88	2.4	0.1
United States of America	231	Sweet Potatoes	2533	1975		585	0		0	585	27	36		6	517	2.4	5	0.1	0.0
United States of America	231	Yams	2535	1975			0			0					0	0.0	0	0.0	0.0
United States of America	231	Roots, Other	2534	1975		4	17		8	13				0	12	0.1	0	0.0	0.0
United States of America	231	Sugarcrops +	2908	1975		52660	0		0	52660		942	51718						
United States of America	231	Sugar Cane	2536	1975		25713	0		0	25713		942	24772						
United States of America	231	Sugar Beet	2537	1975		26947	0		0	26947			26947						
United States of America	231	Sugar & Sweeteners +	2909	1975		9445	3566	-273	273	12464			26	276	12163	55.5	548	0.0	
United States of America	231	Sugar, Non-Centrifugal	2541	1975															
United States of America	231	Sugar (Raw Equivalent)	2542	1975		6308	3516	-220	207	9396			26	32	9339	42.6	423		
United States of America	231	Sweeteners, Other	2543	1975		3047	29	-53	65	2958			0	244	2714	12.4	120	0.0	
United States of America	231	Honey	2745	1975		90	21		2	110					110	0.5	4	0.0	
United States of America	231	Pulses +	2911	1975		1015	28	73	308	808	5	48		0	754	3.4	32	2.1	0.1
United States of America	231	Beans	2546	1975		791	20	73	184	700	0	34		0	665	3.0	28	1.9	0.1
United States of America	231	Peas	2547	1975		175	3	0	87	90		14			76	0.3	3	0.2	0.0
United States of America	231	Pulses, Other	2549	1975		50	5	0	37	18	5	0			13	0.1	1	0.0	0.0
United States of America	231	Treenuts +	2912	1975		457	243	0	132	568				82	487	2.2	16	0.4	1.5
United States of America	231	Oilcrops +	2913	1975		47476	334	-6027	13050	28734	403	1825	23713	1602	1195	5.5	69	3.0	6.0
United States of America	231	Soyabeans	2555	1975		42140	0	-7400	12496	22243	27	1557	19078	1581	0	0.0	0	0.0	0.0
United States of America	231	Groundnuts (Shelled Eq)	2556	1975		1221	0	27	231	1018		63	188		767	3.5	58	2.6	5.1
United States of America	231	Sunflowerseed	2557	1975		544	2	-46	210	290	43	6	193		49	0.2	2	0.1	0.2
United States of America	231	Rape and Mustardseed	2558	1975		16	39	0	0	55		0	0	7	48	0.2	3	0.1	0.2
United States of America	231	Cottonseed	2559	1975		2919	0	1426	7	4339	333	172	3834						
United States of America	231	Coconuts - Incl Copra	2560	1975			215	0	0	215			0	7	208	1.0	4	0.0	0.3
United States of America	231	Sesameseed	2561	1975		0	20		0	20				1	19	0.1	1	0.0	0.1
United States of America	231	Palmkernels	2562	1975			0		0	0									
United States of America	231	Olives	2563	1975		61	52		2	111			3	6	102	0.5	1	0.0	0.1
United States of America	231	Oilcrops, Other	2570	1975		575	6	-35	103	443		27	417	0	2	0.0	0	0.0	0.0
United States of America	231	Vegetable Oils +	2914	1975		4561	1029	-133	841	4616			0	806	3866	17.6	412	0.2	46.5
United States of America	231	Soyabean Oil	2571	1975		3345	2	-34	355	2958				208	2750	12.6	293	0.1	33.0
United States of America	231	Groundnut Oil	2572	1975		85	0	12	12	86				5	80	0.4	9	0.0	1.0
United States of America	231	Sunflowerseed Oil	2573	1975		77	0	0	10	67				20	47	0.2	5	0.0	0.6
United States of America	231	Rape and Mustard Oil	2574	1975		0	5	0	0	5			0	5	0	0.0	0	0.0	0.0
United States of America	231	Cottonseed Oil	2575	1975		611	3	-12	299	303				33	270	1.2	29	0.0	3.3
United States of America	231	Palmkernel Oil	2576	1975			72	0	0	72			0	2	69	0.3	8	0.0	0.9
United States of America	231	Palm Oil	2577	1975			444	-99	35	309				41	272	1.2	28	0.0	3.2
United States of America	231	Coconut Oil	2578	1975			409	0	9	400			0	222	178	0.8	19	0.0	2.2
United States of America	231	Sesameseed Oil	2579	1975			1		0	1				1					
United States of America	231	Olive Oil	2580	1975		1	21	0	0	22					22	0.1	2		0.3
United States of America	231	Ricebran Oil	2581	1975															
United States of America	231	Maize Germ Oil	2582	1975		211	1	0	23	190				30	160	0.7	17	0.0	1.9
United States of America	231	Oilcrops Oil, Other	2586	1975		231	70	0	98	203			0	239	17	0.1	2	0.0	0.2
United States of America	231	Vegetables +	2918	1975		24594	967		839	24722	89		4	1357	23275	106.2	64	3.0	0.6
United States of America	231	Tomatoes	2601	1975		8672	335		163	8844				446	8397	38.3	18	0.8	0.2
United States of America	231	Onions	2602	1975		1444	40		69	1414				74	1340	6.1	5	0.2	0.0
United States of America	231	Vegetables, Other	2605	1975		14478	592		606	14464	89		4	836	13538	61.8	40	2.0	0.3
United States of America	231	Fruits - Excluding Wine +	2919	1975		24942	3144	0	2821	25266			2064	1055	22146	101.1	101	1.2	0.5
United States of America	231	Oranges, Mandarines	2611	1975		9913	315		1008	9220			0	217	9003	41.1	30	0.5	0.1
United States of America	231	Lemons, Limes	2612	1975		1053	14		187	881			0	53	828	3.8	1	0.0	0.0
United States of America	231	Grapefruit	2613	1975		2271	4	0	400	1875			0	114	1761	8.0	4	0.1	0.0
United States of America	231	Citrus, Other	2614	1975		0	30		0	30					30	0.1	0	0.0	0.0
United States of America	231	Bananas	2615	1975		3	1967		187	1782				98	1684	7.7	13	0.1	0.1
United States of America	231	Plantains	2616	1975			0			0					0	0.0	0	0.0	0.0
United States of America	231	Apples	2617	1975		3416	39		111	3344			0	173	3171	14.5	19	0.0	0.1
United States of America	231	Pineapples	2618	1975		653	316	0	35	935				35	900	4.1	4	0.0	0.0
United States of America	231	Dates	2619	1975		22	21		7	37				2	35	0.2	1	0.0	0.0
United States of America	231	Grapes	2620	1975		3961	19		341	3638			2064	159	1415	6.5	11	0.1	0.0
United States of America	231	Fruits, Other	2625	1975		3650	419	0	546	3523			0	204	3319	15.1	19	0.3	0.2
United States of America	231	Stimulants +	2922	1975		1	1778	-45	91	1643			0		1643	7.5	13	1.4	0.4
United States of America	231	Coffee	2630	1975		1	1295	-32	70	1193			0		1193	5.4	7	0.9	
United States of America	231	Cocoa Beans	2633	1975			411	-20	20	372					372	1.7	5	0.3	0.4
United States of America	231	Tea	2635	1975			72	7	1	78					78	0.4	0	0.1	
United States of America	231	Spices +	2923	1975		20	61	-1	4	76					76	0.3	3	0.1	0.1
United States of America	231	Pepper	2640	1975			25		1	24					24	0.1	1	0.0	0.0
United States of America	231	Pimento	2641	1975		20	11		0	31					31	0.1	1	0.0	0.1
United States of America	231	Cloves	2642	1975			1		0	1					1	0.0	0	0.0	0.0
United States of America	231	Spices, Other	2645	1975		0	24	-1	3	20					20	0.1	1	0.0	0.0
United States of America	231	Alcoholic Beverages +	2924	1975		21270	692	30	51	21940				389	21539	98.3	162	0.7	
United States of America	231	Wine	2655	1975		1453	180	30	5	1658				230	1427	6.5	12	0.0	
United States of America	231	Beer	2656	1975		18539	198		22	18715					18715	85.4	98	0.7	
United States of America	231	Beverages, Fermented	2657	1975			12		0	12					0	0.0	0	0.0	
United States of America	231	Beverages, Alcoholic	2658	1975		1118	302		24	1397					1397	6.4	52		
United States of America	231	Alcohol, Non-Food	2659	1975		159	0		0	159				159					
United States of America	231	Meat +	2943	1975		21701	1091	66	267	22591	20		2	144	22425	102.3	351	34.2	22.8
United States of America	231	Bovine Meat	2731	1975		11271	863	-25	28	12081			0	28	12053	55.0	158	19.5	8.3
United States of America	231	Mutton & Goat Meat	2732	1975		186	12	1	1	197	0				197	0.9	6	0.3	0.5
United States of America	231	Pigmeat	2733	1975		5218	206	26	95	5355				60	5295	24.2	101	6.2	8.3
United States of America	231	Poultry Meat	2734	1975		4730	0	64	93	4701			2	56	4643	21.2	83	7.7	5.6
United States of America	231	Meat, Other	2735	1975		297	10	0	49	257	20				237	1.1	3	0.5	0.1
United States of America	231	Offals +	2945	1975		1139	3	0	132	1009	574			0	435	2.0	6	1.0	0.2
United States of America	231	Animal Fats +	2946	1975		5062	23	22	1344	3764	747		31	1598	1389	6.3	114	0.1	12.7
United States of America	231	Butter, Ghee	2740	1975		446	0	17	0	463				0	463	2.1	42	0.1	4.7
United States of America	231	Cream	2743	1975		13	0		0	13					13	0.1	0	0.0	0.0
United States of America	231	Fats, Animals, Raw	2737	1975		4492	17	5	1256	3257	747		31	1567	913	4.2	72	0.0	8.0
United States of America	231	Fish, Body Oil	2781	1975		111	5	1	88	29	0			29	0	0.0	0	0.0	0.0
United States of America	231	Fish, Liver Oil	2782	1975		0	1	0	0	1				1	0	0.0	0	0.0	0.0
United States of America	231	Eggs +	2949	1975		3813	4	10	24	3803		263		94	3445	15.7	60	4.6	4.2
United States of America	231	Milk - Excluding Butter +	2948	1975		52343	1549	-475	846	52571	738		0	1013	50813	231.9	354	21.2	18.7
United States of America	231	Fish, Seafood +	2960	1975		2902	1764	-1	195	4471	1320	50		1	3099	14.1	20	3.1	0.7
United States of America	231	Freshwater Fish	2761	1975		241	46	0	50	237	21	5			211	1.0	2	0.3	0.1
United States of America	231	Demersal Fish	2762	1975		279	653	0	36	896	25	2		0	869	4.0	4	0.8	0.1
United States of America	231	Pelagic Fish	2763	1975		1343	701	0	39	2006	1274	36		0	696	3.2	9	1.0	0.5
United States of America	231	Marine Fish, Other	2764	1975		70				70				0	70	0.3	1	0.1	0.0
United States of America	231	Crustaceans	2765	1975		322	205	0	35	492		2		0	491	2.2	3	0.7	0.0
United States of America	231	Cephalopods	2766	1975		13	0	-1	4	8		0		0	8	0.0	0	0.0	0.0
United States of America	231	Molluscs, Other	2767	1975		635	159		32	762		6		1	755	3.4	1	0.2	0.0
United States of America	231	Aquatic Products, Other +	2961	1975		162	0		0	162				162	0	0.0	0	0.0	0.0
United States of America	231	Meat, Aquatic Mammals	2768	1975															
United States of America	231	Aquatic Animals, Others	2769	1975		5	0		0	5				5	0	0.0	0	0.0	0.0
United States of America	231	Aquatic Plants	2775	1975		158	0		0	158				158	0	0.0	0	0.0	0.0
United States of America	231	Miscellaneous +	2928	1975													0	0.0	0.0
