countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1994	5574070														
World +	5001	Grand Total +	2901	1994													2654	72.1	69.4
World +	5001	Vegetal Products +	2903	1994													2226	46.2	37.6
World +	5001	Animal Products +	2941	1994													428	25.9	31.7
World +	5001	Cereals - Excluding Beer +	2905	1994		1771090	238582	4214	249356	1764530	674362	74712	72684	106281	836711	150.1	1315	32.9	6.0
World +	5001	Wheat	2511	1994		523637	115202	30825	122460	547204	92667	35166	2988	29443	386941	69.4	558	17.1	2.5
World +	5001	Rice (Milled Equivalent)	2805	1994		358930	16668	-4743	18247	352608	18843	10623	2129	26589	294441	52.8	532	10.0	1.5
World +	5001	Barley	2513	1994		160092	27556	1667	28130	161185	113754	13528	20823	5707	7428	1.3	9	0.3	0.0
World +	5001	Maize	2514	1994		567911	65032	-26199	67802	538943	365575	5301	44337	37221	86505	15.5	128	3.1	1.1
World +	5001	Rye	2515	1994		22896	1275	2262	1152	25281	13054	2877	726	962	7662	1.4	10	0.3	0.0
World +	5001	Oats	2516	1994		33906	2808	-231	2794	33689	25129	4423	2	710	3427	0.6	3	0.1	0.1
World +	5001	Millet	2517	1994		28309	238	86	284	28349	3286	842	365	2106	21750	3.9	32	0.9	0.3
World +	5001	Sorghum	2518	1994		60170	7716	456	7531	60811	30735	906	1290	3036	24814	4.5	37	1.1	0.4
World +	5001	Cereals, Other	2520	1994		15236	2087	92	958	16458	11319	1047	23	505	3743	0.7	5	0.1	0.0
World +	5001	Starchy Roots +	2907	1994		604189	39969	3879	37027	611010	148815	36547	16249	68934	340473	61.1	140	2.0	0.3
World +	5001	Cassava	2532	1994		164717	23502	-3034	21344	163842	51100	0	1137	21247	90358	16.2	42	0.3	0.1
World +	5001	Potatoes	2531	1994		270177	15543	6942	14717	277946	48757	34911	15005	27048	152226	27.3	50	1.2	0.1
World +	5001	Sweet Potatoes	2533	1994		125034	728	-50	734	124978	43531	286	106	6979	74078	13.3	36	0.4	0.1
World +	5001	Yams	2535	1994		32882	25	0	43	32864	5020	1211		11571	15062	2.7	7	0.1	0.0
World +	5001	Roots, Other	2534	1994		11378	170	21	189	11379	407	140	1	2089	8748	1.6	5	0.1	0.0
World +	5001	Sugarcrops +	2908	1994		1341230	239	1692	182	1342980	36541	19177	1244290	23871	19104	3.4	3	0.0	0.0
World +	5001	Sugar Cane	2536	1994		1086170	37	49	32	1086220	30017	19177	996834	21103	19090	3.4	3	0.0	0.0
World +	5001	Sugar Beet	2537	1994		255065	202	1642	150	256759	6524		247453	2768	14	0.0	0	0.0	0.0
World +	5001	Sugar & Sweeteners +	2909	1994		139738	33952	3902	35670	141922	666	0	1706	9818	129824	23.3	224	0.1	0.0
World +	5001	Sugar, Non-Centrifugal	2541	1994		13061	0	0	0	13061	547		73	3531	8910	1.6	15	0.0	0.0
World +	5001	Sugar (Raw Equivalent)	2542	1994		108145	29866	3944	31838	110117	102		777	3582	105679	19.0	185		
World +	5001	Sweeteners, Other	2543	1994		17416	3791	-46	3519	17643	16	0	848	2704	14142	2.5	22	0.0	0.0
World +	5001	Honey	2745	1994		1115	294	5	313	1101	0		8	0	1092	0.2	2	0.0	
World +	5001	Pulses +	2911	1994		56586	7576	-125	8767	55270	15239	3727	0	2568	33750	6.1	57	3.6	0.4
World +	5001	Beans	2546	1994		17188	1985	-544	2506	16123	617	1106		933	13467	2.4	22	1.4	0.1
World +	5001	Peas	2547	1994		14346	2734	303	3039	14344	9580	832	0	474	3458	0.6	6	0.4	0.0
World +	5001	Pulses, Other	2549	1994		25053	2857	116	3222	24804	5042	1789	0	1161	16825	3.0	29	1.8	0.2
World +	5001	Treenuts +	2912	1994		6491	2723	-108	2678	6428		0	0	260	6171	1.1	8	0.2	0.6
World +	5001	Oilcrops +	2913	1994		315299	46742	-14681	46632	300728	13880	8588	226794	15589	36322	6.5	52	2.7	3.6
World +	5001	Soyabeans	2555	1994		136445	29679	-11294	30223	124607	3949	4614	102213	4019	9811	1.8	17	1.6	0.6
World +	5001	Groundnuts (Shelled Eq)	2556	1994		20059	1472	-146	1510	19876	4	1168	10908	1067	6746	1.2	18	0.8	1.5
World +	5001	Sunflowerseed	2557	1994		21803	2785	-989	2851	20748	970	532	18488	385	373	0.1	1	0.0	0.0
World +	5001	Rape and Mustardseed	2558	1994		30207	6544	-902	6244	29605	1337	453	26072	1011	734	0.1	2	0.1	0.1
World +	5001	Cottonseed	2559	1994		33069	793	-409	819	32634	6487	1414	23310	1423	0	0.0	0	0.0	0.0
World +	5001	Coconuts - Incl Copra	2560	1994		46420	2055	-980	2203	45292	35	112	22672	6686	15791	2.8	11	0.1	1.0
World +	5001	Sesameseed	2561	1994		2224	517	113	563	2292	0	53	1337	96	807	0.1	2	0.1	0.2
World +	5001	Palmkernels	2562	1994		4475	64	-14	38	4487	0		4394	87	9	0.0	0	0.0	0.0
World +	5001	Olives	2563	1994		11377	360	25	381	11382			9730	223	1428	0.3	1	0.0	0.1
World +	5001	Oilcrops, Other	2570	1994		9218	2472	-84	1801	9805	1098	243	7669	591	623	0.1	1	0.1	0.1
World +	5001	Vegetable Oils +	2914	1994		71623	28429	551	29632	70971	139		202	18436	52471	9.4	225	0.0	25.4
World +	5001	Soyabean Oil	2571	1994		18175	4983	256	5730	17684	98		9	2091	15485	2.8	66	0.0	7.4
World +	5001	Groundnut Oil	2572	1994		4721	319	202	326	4916	0		0	419	4497	0.8	20	0.0	2.2
World +	5001	Sunflowerseed Oil	2573	1994		7529	2670	-37	2700	7462	0		7	813	6642	1.2	29	0.0	3.3
World +	5001	Rape and Mustard Oil	2574	1994		9906	2517	-92	2904	9427	41		2	1641	7742	1.4	33	0.0	3.8
World +	5001	Cottonseed Oil	2575	1994		3672	356	-46	300	3681	0		1	601	3081	0.6	13	0.0	1.5
World +	5001	Palmkernel Oil	2576	1994		1978	971	6	1005	1949	0		7	1205	737	0.1	3	0.0	0.4
World +	5001	Palm Oil	2577	1994		14475	11035	-6	11923	13581	0		9	6782	6913	1.2	30	0.0	3.4
World +	5001	Coconut Oil	2578	1994		2972	1665	-18	1732	2887	0		6	1399	1482	0.3	6	0.0	0.7
World +	5001	Sesameseed Oil	2579	1994		609	113	2	96	628	0		0	73	554	0.1	2	0.0	0.3
World +	5001	Olive Oil	2580	1994		1967	881	271	806	2313	0			251	2062	0.4	9	0.0	1.0
World +	5001	Ricebran Oil	2581	1994		719	22	9	11	739				169	570	0.1	2	0.0	0.3
World +	5001	Maize Germ Oil	2582	1994		1611	532	2	559	1585			0	239	1347	0.2	6	0.0	0.7
World +	5001	Oilcrops Oil, Other	2586	1994		3290	2366	4	1539	4120	0		162	2753	1358	0.2	6	0.0	0.6
World +	5001	Vegetables +	2918	1994		529233	30360	928	32689	527832	9782	103	172	47585	470289	84.4	56	2.9	0.5
World +	5001	Tomatoes	2601	1994		82202	7712	130	8727	81316	1103		0	7297	72917	13.1	7	0.3	0.1
World +	5001	Onions	2602	1994		35810	3059	213	3517	35565	4	20	0	3028	32513	5.8	6	0.2	0.0
World +	5001	Vegetables, Other	2605	1994		411221	19590	585	20444	410951	8675	83	172	37261	364860	65.5	43	2.4	0.4
World +	5001	Fruits - Excluding Wine +	2919	1994		394042	67228	1500	73073	389697	4716		43693	36116	305522	54.8	70	0.8	0.4
World +	5001	Oranges, Mandarines	2611	1994		69328	18816	331	26519	61957	3		28	5432	56503	10.1	8	0.1	0.0
World +	5001	Lemons, Limes	2612	1994		8410	2062	86	1676	8881			29	856	7985	1.4	1	0.0	0.0
World +	5001	Grapefruit	2613	1994		4732	1851	20	1882	4720	0		0	379	4342	0.8	0	0.0	0.0
World +	5001	Citrus, Other	2614	1994		4782	372	-3	102	5049			17	563	4470	0.8	1	0.0	0.0
World +	5001	Bananas	2615	1994		55057	12380	-43	12740	54654	646		878	7271	45859	8.2	14	0.2	0.0
World +	5001	Plantains	2616	1994		28079	242	150	251	28220	3197		3091	3342	18639	3.3	8	0.1	0.0
World +	5001	Apples	2617	1994		48118	9608	721	9083	49364	601		2917	3991	41855	7.5	9	0.0	0.1
World +	5001	Pineapples	2618	1994		12584	3061	118	2719	13044			9	1327	11713	2.1	2	0.0	0.0
World +	5001	Dates	2619	1994		3700	641	24	347	4018	143		0	380	3495	0.6	3	0.0	0.0
World +	5001	Grapes	2620	1994		54011	5110	74	5454	53742	0		35418	2149	16187	2.9	5	0.0	0.0
World +	5001	Fruits, Other	2625	1994		105241	13085	22	12299	106048	126		1306	10426	94476	16.9	20	0.2	0.2
World +	5001	Stimulants +	2922	1994		11474	10624	196	10234	12060	8		24	641	11420	2.0	5	0.4	0.3
World +	5001	Coffee	2630	1994		5682	5467	142	5367	5924			0	157	5767	1.0	1	0.2	
World +	5001	Cocoa Beans	2633	1994		2638	3945	74	3725	2933	8		24	306	2596	0.5	3	0.1	0.3
World +	5001	Tea	2635	1994		3155	1211	-20	1143	3203	0			178	3058	0.5	1	0.1	
World +	5001	Spices +	2923	1994		4329	918	17	938	4324		0		214	4137	0.7	6	0.2	0.2
World +	5001	Pepper	2640	1994		223	188	6	179	238				9	229	0.0	0	0.0	0.0
World +	5001	Pimento	2641	1994		1860	177	1	177	1860				77	1787	0.3	3	0.1	0.1
World +	5001	Cloves	2642	1994		102	26	1	26	103				75	29	0.0	0	0.0	0.0
World +	5001	Spices, Other	2645	1994		2143	527	9	557	2123		0		53	2091	0.4	3	0.1	0.1
World +	5001	Alcoholic Beverages +	2924	1994		205722	15930	-27	17410	204215			2577	23656	178303	32.0	65	0.3	0.0
World +	5001	Wine	2655	1994		25688	5301	-172	5735	25081			2577	574	21929	3.9	7	0.0	
World +	5001	Beer	2656	1994		118412	5103	-51	5751	117713				178	117536	21.1	26	0.2	
World +	5001	Beverages, Fermented	2657	1994		20946	133	10	181	20908				839	20072	3.6	5	0.0	0.0
World +	5001	Beverages, Alcoholic	2658	1994		20499	2208	227	2863	20070				1304	18767	3.4	27	0.0	
World +	5001	Alcohol, Non-Food	2659	1994		20177	3186	-41	2880	20443				20761	0	0.0			
World +	5001	Meat +	2943	1994		198198	17696	50	19167	196775	95		68	1756	194893	35.0	191	11.8	15.6
