countries	countries (codes)	item	item (codes)	year	Total Population - Both sexes (1000)	Production (1000 tonnes)	Import Quantity (1000 tonnes)	Stock Variation (1000 tonnes)	Export Quantity (1000 tonnes)	Domestic supply quantity (1000 tonnes)	Feed (1000 tonnes)	Seed (1000 tonnes)	Processing (1000 tonnes)	Other Util (1000 tonnes)	Food (1000 tonnes)	Food supply quantity (kg/capita/yr)	Food supply (kcal/capita/day)	Protein supply quantity (g/capita/day)	Fat supply quantity (g/capita/day)	
World +	5001	Population	2501	1988	5047970														
World +	5001	Grand Total +	2901	1988													2636	70.8	66.5
World +	5001	Vegetal Products +	2903	1988													2224	45.9	36.1
World +	5001	Animal Products +	2941	1988													411	25.0	30.4
World +	5001	Cereals - Excluding Beer +	2905	1988		1544780	228161	72478	239286	1606130	608642	73412	58238	98011	767963	152.1	1332	33.4	6.1
World +	5001	Wheat	2511	1988		491522	115976	25159	120983	511674	97980	33559	2385	29602	348136	69.0	551	17.1	2.5
World +	5001	Rice (Milled Equivalent)	2805	1988		324748	10648	2989	12281	326105	15650	13047	2080	19444	275891	54.7	550	10.3	1.5
World +	5001	Barley	2513	1988		161101	21796	2306	25326	159878	116875	10467	18836	6169	7532	1.5	10	0.3	0.0
World +	5001	Maize	2514	1988		394734	66923	41138	67915	434879	286550	7107	32627	32694	75906	15.0	124	3.0	1.1
World +	5001	Rye	2515	1988		30961	961	957	975	31904	19208	2801	304	2688	6902	1.4	10	0.3	0.0
World +	5001	Oats	2516	1988		35158	1693	820	1723	35949	27125	3746	114	1760	3203	0.6	4	0.1	0.1
World +	5001	Millet	2517	1988		30619	272	-1161	238	29492	2594	887	307	2191	23515	4.7	38	1.0	0.4
World +	5001	Sorghum	2518	1988		63121	8777	321	9304	62916	33944	900	1511	2942	23616	4.7	40	1.2	0.4
World +	5001	Cereals, Other	2520	1988		12814	1114	-52	542	13334	8717	899	75	521	3263	0.6	5	0.1	0.0
World +	5001	Starchy Roots +	2907	1988		558430	45755	6862	43089	567958	159776	35618	16227	59662	296719	58.8	135	1.9	0.3
World +	5001	Cassava	2532	1988		144669	33622	926	30615	148602	54320	0	2064	16090	76146	15.1	40	0.3	0.1
World +	5001	Potatoes	2531	1988		266077	11276	5884	11639	271599	57155	34132	13894	30380	136049	27.0	50	1.2	0.1
World +	5001	Sweet Potatoes	2533	1988		121394	661	57	643	121469	45790	337	269	6766	68307	13.5	36	0.4	0.1
World +	5001	Yams	2535	1988		16707	18	0	27	16698	2153	984		4987	8575	1.7	5	0.1	0.0
World +	5001	Roots, Other	2534	1988		9583	178	-6	165	9590	358	165	1	1439	7644	1.5	4	0.0	0.0
World +	5001	Sugarcrops +	2908	1988		1276850	108	-3597	336	1273020	34766	15886	1185790	20544	16032	3.2	3	0.0	0.0
World +	5001	Sugar Cane	2536	1988		987986	7	-3501	127	984364	24586	15886	910399	17460	16032	3.2	3	0.0	0.0
World +	5001	Sugar Beet	2537	1988		288860	101	-96	209	288656	10180		275392	3084	0	0.0	0	0.0	0.0
World +	5001	Sugar & Sweeteners +	2909	1988		129486	30538	2132	31805	130351	662	0	1181	6449	122264	24.2	234	0.1	0.0
World +	5001	Sugar, Non-Centrifugal	2541	1988		11345	0	0	0	11345	439		70	2889	7947	1.6	15	0.0	0.0
World +	5001	Sugar (Raw Equivalent)	2542	1988		102987	27828	2161	29443	103533	213		319	1447	101530	20.1	197		
World +	5001	Sweeteners, Other	2543	1988		13986	2456	-27	2103	14312	10	0	781	2113	11638	2.3	20	0.0	0.0
World +	5001	Honey	2745	1988		1168	253	-1	259	1161	0		12	0	1149	0.2	2	0.0	
World +	5001	Pulses +	2911	1988		55325	5856	-799	6611	53772	16247	3902	0	2490	31148	6.2	58	3.6	0.3
World +	5001	Beans	2546	1988		16456	1484	-379	1612	15949	524	1120		841	13464	2.7	25	1.6	0.1
World +	5001	Peas	2547	1988		15182	2249	-129	2179	15123	10175	1074	0	563	3311	0.7	6	0.4	0.0
World +	5001	Pulses, Other	2549	1988		23688	2122	-291	2820	22699	5548	1708	0	1087	14373	2.8	27	1.7	0.2
World +	5001	Treenuts +	2912	1988		5107	1820	-56	1692	5179		0	1	237	4944	1.0	7	0.2	0.5
World +	5001	Oilcrops +	2913	1988		246011	38186	9508	37996	255709	13003	7603	195783	9794	29563	5.9	46	2.3	3.3
World +	5001	Soyabeans	2555	1988		93339	26261	8763	26096	102266	3438	3843	85476	2095	7415	1.5	14	1.3	0.5
World +	5001	Groundnuts (Shelled Eq)	2556	1988		17920	1012	-284	1046	17602	2	1086	9968	762	5785	1.1	17	0.7	1.4
World +	5001	Sunflowerseed	2557	1988		20137	2050	615	1975	20827	1277	534	17571	737	708	0.1	1	0.0	0.1
World +	5001	Rape and Mustardseed	2558	1988		22100	4674	307	4592	22490	870	359	19937	919	430	0.1	1	0.1	0.1
World +	5001	Cottonseed	2559	1988		33757	323	-945	355	32779	6947	1374	22712	1746	0	0.0	0	0.0	0.0
World +	5001	Coconuts - Incl Copra	2560	1988		36116	1967	728	2077	36733	26	85	20842	2637	13144	2.6	10	0.1	0.9
World +	5001	Sesameseed	2561	1988		2127	355	154	414	2222		53	1561	75	536	0.1	2	0.1	0.1
World +	5001	Palmkernels	2562	1988		3017	96	26	122	3018	0		2933	75	9	0.0	0	0.0	0.0
World +	5001	Olives	2563	1988		9051	289	7	255	9092			7884	144	1063	0.2	1	0.0	0.1
World +	5001	Oilcrops, Other	2570	1988		8449	1160	137	1064	8682	444	267	6900	602	474	0.1	1	0.0	0.1
World +	5001	Vegetable Oils +	2914	1988		58427	19385	-1230	19913	56669	91		116	11021	45474	9.0	215	0.0	24.3
World +	5001	Soyabean Oil	2571	1988		15415	3799	-273	3933	15009	73			1240	13696	2.7	64	0.0	7.2
World +	5001	Groundnut Oil	2572	1988		4261	380	-740	339	3562	0		0	52	3509	0.7	17	0.0	1.9
World +	5001	Sunflowerseed Oil	2573	1988		7180	2239	80	2439	7059	0		0	418	6642	1.3	31	0.0	3.5
World +	5001	Rape and Mustard Oil	2574	1988		7640	1824	29	2179	7315	18		1	1033	6198	1.2	29	0.0	3.3
World +	5001	Cottonseed Oil	2575	1988		3718	375	-75	360	3658	0		2	600	3056	0.6	14	0.0	1.6
World +	5001	Palmkernel Oil	2576	1988		1324	755	-18	778	1282	0		0	730	553	0.1	3	0.0	0.3
World +	5001	Palm Oil	2577	1988		9178	6128	-541	6615	8150	0		0	3059	5179	1.0	25	0.0	2.8
World +	5001	Coconut Oil	2578	1988		2734	1382	-25	1266	2825	0		1	1128	1696	0.3	8	0.0	0.9
World +	5001	Sesameseed Oil	2579	1988		681	22	15	18	701	0		1	108	591	0.1	3	0.0	0.3
World +	5001	Olive Oil	2580	1988		1620	547	385	536	2017				174	1846	0.4	9	0.0	1.0
World +	5001	Ricebran Oil	2581	1988		508	6	0	6	508				142	367	0.1	2	0.0	0.2
World +	5001	Maize Germ Oil	2582	1988		1272	346	-46	376	1195			0	29	1166	0.2	5	0.0	0.6
World +	5001	Oilcrops Oil, Other	2586	1988		2895	1583	-21	1068	3389	0		112	2308	975	0.2	5	0.0	0.5
World +	5001	Vegetables +	2918	1988		438393	22309	441	22332	438811	8786	70	8	42183	387835	76.8	51	2.6	0.4
World +	5001	Tomatoes	2601	1988		66359	6103	500	6504	66459	858		0	5900	59701	11.8	6	0.3	0.1
World +	5001	Onions	2602	1988		29014	1973	39	2202	28825	0	19	0	2394	26413	5.2	5	0.2	0.0
World +	5001	Vegetables, Other	2605	1988		343019	14233	-99	13627	343526	7928	51	8	33889	301720	59.8	39	2.1	0.3
World +	5001	Fruits - Excluding Wine +	2919	1988		333953	48038	-1877	48418	331696	3787		44261	30359	253862	50.3	65	0.7	0.4
World +	5001	Oranges, Mandarines	2611	1988		56508	13721	-469	16314	53446	3		26	5103	48407	9.6	7	0.1	0.0
