"Country or Area","Year","Value","Value Footnotes"
"United States","2008","14204322302429.9",""
"United States","2007","13751395444730.1",""
"United States","2006","13132900000000",""
"United States","2005","12376100000000",""
"United States","2004","11630900000000",""
"United States","2003","10908000000000",""
"United States","2002","10417600000000",""
"United States","2001","10075900000000",""
"United States","2000","9764800000000",""
"United States","1999","9216200000000",""
"United States","1998","8694600000000",""
"United States","1997","8250900000000",""
"United States","1996","7762300000000",""
"United States","1995","7342300000000",""
"United States","1994","7017500000000",""
"United States","1993","6604300000000",""
"United States","1992","6286800000000",""
"United States","1991","5946900000000",""
"United States","1990","5757200000000",""
"United States","1989","5441700000000",""
"United States","1988","5063900000000",""
"United States","1987","4702100000000",""
"United States","1986","4427700000000",""
"United States","1985","4187500000000",""
"United States","1984","3902600000000",""
"United States","1983","3508800000000",""
"United States","1982","3229500000000",""
"United States","1981","3105400000000",""
"United States","1980","2768900000000",""
"United States","1979","2544500000000",""
"United States","1978","2276900000000",""
"United States","1977","2014300000000",""
"United States","1976","1809800000000",""
"United States","1975","1624000000000",""
"United States","1974","1486400000000",""
"United States","1973","1369800000000",""
"United States","1972","1225400000000",""
"United States","1971","1113400000000",""
"United States","1970","1025000000000",""
"United States","1969","973385170944",""
"United States","1968","901455806464",""
"United States","1967","825056165888",""
"United States","1966","780760514560",""
"United States","1965","712081997824",""
"United States","1964","656912089088",""
"United States","1963","611669508096",""
"United States","1962","579748429824",""
"United States","1961","539050934272",""
"United States","1960","520531181568",""
"World","2008","60587016252693.4",""
"World","2007","54891056636250.4",""
"World","2006","48947791646736.2",""
"World","2005","45232141190195.6",""
"World","2004","41868885933807.7",""
"World","2003","37158627956896.3",""
"World","2002","33029466668826.3",""
"World","2001","31776207545492.2",""
"World","2000","32001934140225.4",""
"World","1999","31040520061880.9",""
"World","1998","29967679508539.6",""
"World","1997","30124686683285.4",""
"World","1996","30229978461092.8",""
"World","1995","29602405034753.2",""
"World","1994","26676185034039.9",""
"World","1993","24832086851375",""
"World","1992","24473526950323",""
"World","1991","22906311798830.6",""
"World","1990","21813263734228.5",""
"World","1989","19542246604896.1",""
"World","1988","18621108728756.4",""
"World","1987","16651799485158.2",""
"World","1986","14657183964586.8",""
"World","1985","12405484532096.3",""
"World","1984","11804537732005.2",""
"World","1983","11369144988608.2",""
"World","1982","11125872775320.3",""
"World","1981","11233122650355.9",""
"World","1980","10951475720822.9",""
"World","1979","9744862225548.38",""
"World","1978","8404394395804.01",""
"World","1977","7108631866055.24",""
"World","1976","6279609373087.89",""
"World","1975","5801583389728.22",""
"World","1974","5193665342710.83",""
"World","1973","4495735251571.22",""
"World","1972","3677922277657",""
"World","1971","3183427479469.48",""
"World","1970","2874250465961.36",""
"World","1969","2642884461949.81",""
"World","1968","2401754061204.04",""
"World","1967","2228588532915.72",""
"World","1966","2095811295332.75",""
"World","1965","1932984107777.51",""
"World","1964","1776139365806.72",""
"World","1963","1620432880353.32",""
"World","1962","1506505807642.35",""
"World","1961","1403031723878.43",""
"World","1960","1344338548240.02",""

