countries	country codes	item	item codes	element	element codes	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	
United States of America	231	Agave Fibres Nes	800	Import Quantity (tonnes)	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2617	2446	2201	2421	2098	1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
United States of America	231	Alfalfa for forage and silage	641	Import Quantity (tonnes)	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20727	17111	25268	56553	13250	5975	5482	1223	2600	3519	4750
United States of America	231	Alfalfa Meal and Pellets	862	Import Quantity (tonnes)	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25575	8183	9997	25396	34343	74469	87550	48399	44493	26299	18710	38761	49391	39647	35340	35962	45052	59138	65034	39225
United States of America	231	Almonds Shelled	231	Import Quantity (tonnes)	61	260	81	87	176	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	56	98	181	669	188	43	23	49	49	26	63	81	25	24	27	22	51	174	378	768	1153	1029	1638	1661	1368
United States of America	231	Almonds, with shell	221	Import Quantity (tonnes)	61	49	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	8	3	127	28	91	2	2	3	3	0	4	15	1	2	10	12	8	23	60	74	72	56	665	8	40
United States of America	231	Anise, badian, fennel, corian.	711	Import Quantity (tonnes)	61	534	522	457	7303	6525	6851	7066	7823	7345	8062	7575	9792	8189	8372	9097	10977	10112	12658	14899	12745	14899	14717	13106	18300	12581	13724	15496	15007	14487	13803	13732	16201	15340	17114	14683	17986	17429	18873	18942	19998	20618	20378	20336	18861	22384	22604	24361	23012
United States of America	231	Apple juice, concentrated	519	Import Quantity (tonnes)	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219663	233259	207353	182548	201800	233379	193212	211710	244921	219971	236080	232642	267909	217397	308919	322024	390864	336439	453641	450967
United States of America	231	Apple juice, single strength	518	Import Quantity (tonnes)	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590610	664100	848546	900021	898624	774058	0	23324	10920	6706	9240	8179	19796	14392	22230	16611	32630	40263	34316	23849	156828	73430	50490	40699	38430	47797
United States of America	231	Apples	515	Import Quantity (tonnes)	61	19300	26120	36980	26280	15580	14386	36016	48480	47941	34356	43517	45180	42365	36100	38993	52708	49436	60004	74886	72073	76691	71870	98196	103996	124103	131631	133418	126234	120267	109372	119770	120409	113950	115843	154423	182961	159085	141971	164167	163894	157120	170354	186763	207378	122773	156651	206600	165282
United States of America	231	Apricots	526	Import Quantity (tonnes)	61	217	5	3	142	0	0	714	1163	908	650	833	1232	1030	181	21	51	22	12	16	64	47	128	687	292	655	1376	1352	1305	812	989	1235	1252	1018	1127	1380	1753	833	1265	1016	1599	1834	2633	1940	1757	1900	2423	1824	2383
