BRAZIL.Other_area_harvested_data,5089879,5163919,5010433,4438218,4271544,3782731,3529924,3335687,3271117,3096565,3083824,2951613,2735645,2909031,2926920,1814127,2670944,2960442,3190531,3237374,3430211,2756497,3259218,3384813,3513207,3586820,3881308,3960942,4051717,3921152,3793393,3655614,3459704,3211923,3009833,2991591,3149585,3264580,3386712,3450864,3487249,3482815,3569931,3653015,3636082,3643036,3542218,3494486,3415967,3449159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

CAN.Other_area_harvested_data,55812,53036,46127,34526,37847,52689,56968,54580,53722,43792,39472,41797,48912,50118,41610,37417,43971,48522,36354,46390,47356,31166,47159,40645,39893,31298,29540,29136,30600,29342,30374,26651,31469,26080,26893,25701,28108,27666,25266,23800,23724,18939,15994,15700,16000,18258,16500,16430,16414,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

CHIHKG.Other_area_harvested_data,675798,702019,749045,778581,782497,855608,931578,863499,892130,920983,991508,1070989,1191486,1318345,1512620,1678107,1759895,1875053,1720450,1598642,1865069,2268403,1920132,2026006,2469365,2286425,2349733,2789449,3032993,2844895,3090086,3399888,3429588,2823560,2764580,3149025,3660333,2656264,2731381,2770529,2680626,2688162,2661596,2734258,2903176,2947317,2913345,3158507,3328576,3467433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

C_C_Amer.Other_area_harvested_data,1778340,1822309,1830609,1863132,1829894,1857196,1889920,1855002,1743147,1765979,1853035,1905283,1944103,1958130,1904854,1946113,1884382,1907956,2000512,2067791,2097843,2184212,2192487,2098993,2079996,2190935,2171355,2224151,2182676,2092203,2220144,2194820,2248877,2325201,2348867,2352981,2287430,2305795,2310659,2313724,2348930,2256394,2291093,2299330,2319760,2318607,2366964,2307194,2431594,2400297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

EU27.Other_area_harvested_data,395554,430700,481540,509558,487533,457249,454228,445424,429128,412207,393795,411710,424896,431517,456123,482546,463609,441742,429397,421607,413980,408602,419722,423226,433740,428172,404535,405510,378988,316765,315884,299930,267030,242387,209504,212919,225923,218080,203190,191660,203851,192533,189394,197341,183578,126286,125629,117768,119058,105986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

E_Asia.Other_area_harvested_data,51053,56570,53020,62969,67220,69513,70676,71804,72240,76297,74264,91407,88722,87573,87125,87965,96023,98630,90962,82093,77732,80977,76339,79209,76880,75006,75824,72371,71421,67184,71276,71104,78021,79081,74945,83123,94061,69921,69652,69479,66806,67391,62192,58995,61600,60434,58393,61567,63117,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

INDIA.Other_area_harvested_data,873229,917524,917036,976762,943256,937653,1002565,1014859,1041933,1060416,1074575,1096408,1091563,1121803,1060875,1062476,1147964,1239777,1159047,1204791,1239942,1248999,1319466,1269753,1276429,1266449,1273500,1219300,1298400,1358200,1381700,1437500,1441000,1388183,1404227,1440780,1499678,1582690,1691736,1648018,1494674,1604867,1616508,1679981,1695649,1749233,1769401,1767851,1814549,1877000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

