BRAZIL.Fiber_area_harvested_data,2279428,2500988,2527794,2685495,2728969,2611192,4105983,4294664,4586632,4678874,4802382,4581071,4685652,3978386,4289486,3800651,4488836,4296338,4012133,4074473,3923552,4032862,3294267,3515268,3991382,3552081,2340945,2900074,2430262,2184046,2163770,2165870,1257138,1361664,1354112,904238,790318,1001121,860304,1001473,1085503,978298,947477,1392410,1520535,1196226,1421437,1356859,1095127,1086466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

CAN.Fiber_area_harvested_data,0,0,0,650,0,2650,0,1800,0,3900,4300,6600,12200,14850,16700,18800,22000,28800,22000,32000,32400,39000,43600,32800,48500,56500,57000,55000,35000,43500,36000,30500,27500,32500,44000,61000,59000,60500,56500,46000,49000,29150,28300,26600,35700,54150,32100,23000,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

CHIHKG.Fiber_area_harvested_data,4109642,3748350,4695129,5247689,5339383,5343866,5519557,5388981,5221323,5386101,5309283,5316075,5450275,5558076,5511451,5515401,5480279,5542399,5180230,5517506,5759985,6318907,6518999,7463816,6418734,5144877,5839172,6307056,5776659,6093878,7001325,7276939,5414268,5911330,5808344,5081789,4828250,4694060,3941861,4303788,5134294,4523359,5449578,6004411,5398164,6098487,6191113,5982979,5120488,4991630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

C_C_Amer.Fiber_area_harvested_data,1244901,1306384,1421221,1448609,1466070,1318129,1263481,1258416,1043264,900409,947830,1056820,1031450,1260805,890153,816621,1096847,1054877,1033451,851075,853042,627123,636869,709216,619263,542726,486541,546429,425169,446973,478427,284775,209277,328042,422943,443446,334334,372945,256801,188826,191901,120962,145330,195416,221685,206944,200120,188326,155027,191099.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

EU27.Fiber_area_harvested_data,1074510,1202689,1051741,894167,821844,848247,749947,688427,704121,595089,588460,643207,567584,596015,544662,582224,600820,546927,529091,532124,501474,460940,494029,557616,613949,580238,566089,663199,622913,531493,446213,519815,476332,544427,600712,661192,692627,735308,805643,658071,657555,612308,628878.3,613248,593593.6,559908,543914,407504,377767,397999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

E_Asia.Fiber_area_harvested_data,78900,83486,55931,53124,50723,50855,49678,46398,47191,45020,42105,40456,40639,37049,32587,30859,30136,30242,31853,32514,29228,29702,29276,29350,30664,30667,32431,32693,32411,33438,36960,34600,35947,36680,35200,35700,35432,36650,33534,37140,37130,37620,37514,38017,38055,38017,38013,38011,38006,37606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

INDIA.Fiber_area_harvested_data,9265515,9304000,9714000,9677100,9227400,9132500,9589700,8621500,8966000,8849700,9052200,8800500,8873100,8685000,8518200,8108500,9149500,9511000,9430000,9248800,9338000,8999200,8875800,8610600,9128600,8112200,7498900,8340000,8676900,8528400,8838400,8532300,8269900,8862500,10021300,10221000,9964000,10367800,9742500,9593100,10162800,8708300,8617700,9713000,9578700,10070900,10370000,10310000,11230000,11880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

JAPAN.Fiber_area_harvested_data,15240,14450,10850,10180,6918,4000,1990,1355,1350,1250,1250,1020,1020,970,790,740,740,510,510,280,280,140,140,41,29,28,31,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

MEAS_Nafr.Fiber_area_harvested_data,1530139,1464795,1447288,1444554,1585897,1497086,1341915,1352680,1497908,1375841,1325394,1370757,1365745,1332985,1198406,1143205,1245450,1093501,971959,922525,968369,924914,902390,925985,925385,897409,847932,897970,912760,891522,798550,792943,784278,754740,847467,1006773,953059,960891,843902,812262,858545,755111,651553,769987,747427,626794,622564,481382,443162,481423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Mala_Indo.Fiber_area_harvested_data,23236,26221,23223,22264,22789,24198,28023,24414,23817,21518,14907,15260,21240,25408,27379,17475,9229,8307,19420,31966,39571,48773,52739,40620,70605,91378,54987,51973,31994,30531,31917,32579,27521,28859,26332,26265,25907,27591,27947,29140,29116,29752,29965,26098,26556,25543,26297,25711,25582,26620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Oceania.Fiber_area_harvested_data,16595,28699,32786,32912,32224,39189,38479,48464,49509,48700,51705,54300,57810,55910,50710,42010,47505,53816,59956,85008,91600,111500,102500,143400,189100,181000,160000,248600,198100,243622,282644,316300,290081,298500,250441,308900,401211,443700,570575,470300,532928,415200,230696,204253,327156,341700,149800,68900,170200,212900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Oth_CEE_CIS.Fiber_area_harvested_data,741116,751943,718521,769623,774995,799218,798012,773730,696483,588942,745185,811331,726597,886641,713790,626282,815745,689113,646504,706327,687506,626598,634509,788183,684487,610537,607874,760003,743985,657163,604775,3822676,3708520,3484868,3662075,3465761,3484140,3524264,3405716,3306909,3323287,3288019,3202463,3373527,3366996,3319151,3264846,3098227,2759030,2868353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

R_Europe.Fiber_area_harvested_data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

R_SE_Asia.Fiber_area_harvested_data,638464,589701,712606,805665,965322,1073150,885349,786039,837414,800232,894283,951753,948053,937533,754590,665066,802094,848198,901024,870972,929922,834081,828471,721218,836084,711716,643952,595913,576424,552189,549917,523938,516393,450634,514570,669256,615198,516881,535611,569148,599639,534102,521971,545271,529411,522084,513506,486305,484977,486388.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

R_S_Asia.Fiber_area_harvested_data,2396909,2251480,2372827,2356245,2637946,2614852,2866876,2807150,2884106,2816272,2807886,3061458,2906431,2822973,2540768,2709925,2773456,2913875,3006231,2876690,2949343,2982641,2939216,3045855,3428232,3711332,3429044,3222363,3246532,3293336,3525646,3529045,3392735,3330714,3569900,3771919,3651457,3497090,3485020,3465494,3659813,3314339,3461492,3647950,3571832,3555228,3561065,3307163,3586660,3240754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

