countries	countries (codes)	population	population (codes)	element	element codes	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	
United States of America	231	Population - Est. & Proj. 2008	3010	Agricultural population (1000)	571																				8465	8374	8285	8209	8125	8040	7959	7885	7815	7745	7684	7543	7403	7265	7111	6988	6867	6744	6632	6518	6405	6287	6168	6044	5932	5817	5707	5592	5483	5376	5270	5166	5063	4963	4863	4765	4668	4572	4478	4384	4292																														
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Agricultural population (1000)	571																				2195687	2219966	2244189	2268494	2292994	2317520	2343211	2369298	2395154	2419902	2442385	2461117	2477711	2492720	2508161	2520485	2532688	2543276	2553624	2563359	2571334	2578903	2586228	2592850	2598434	2604264	2609906	2613386	2617264	2620710	2623741	2626417	2628647	2630300	2631230	2631352	2630622	2629015	2626489	2622973	2618437																														
United States of America	231	Population - Est. & Proj. 2008	3010	Non-agricultural population (1000)	581																				221004	223202	225414	227669	230045	232572	235263	238103	241063	244103	247181	250367	253587	256857	260226	263660	267200	270823	274451	278011	281438	284708	287841	290884	293889	296924	299990	303082	306183	309283	312371	315447	318514	321562	324583	327569	330516	333421	336283	339097	341862																														
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Non-agricultural population (1000)	581																				2241922	2296189	2351912	2409130	2468006	2528724	2590320	2653246	2717263	2782129	2848049	2916264	2985228	3054512	3122370	3192588	3262121	3332425	3402292	3472371	3544038	3615981	3688077	3760806	3834548	3908017	3981647	4057412	4132802	4208649	4284944	4361591	4438619	4515899	4593339	4670839	4748305	4825714	4902931	4979857	5056397																														
United States of America	231	Population - Est. & Proj. 2008	3010	Total economically active population (1000)	591																				113439	115113	116655	118075	119983	122211	124359	126454	128504	131001	131999	132612	134535	135769	137958	139875	141999	144572	146674	148761	150845	151936	153049	153905	155137	157027	159194	160320	161865	163381	164842	166234	167555	168805	169992	171120	172192	173208	174176	175107	176009																														
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Total economically active population (1000)	591																				1900233	1945835	1990535	2036179	2081715	2129286	2182561	2234189	2283530	2332257	2377261	2414092	2454241	2491720	2533840	2575394	2618577	2664284	2707645	2753012	2797087	2844368	2891928	2938591	2989173	3040249	3089642	3138152	3186898	3235028	3282308	3328631	3373953	3418173	3461179	3502861	3543113	3581928	3619480	3655981	3691676																														
United States of America	231	Population - Est. & Proj. 2008	3010	Male economically active population (1000)	592																				66522	67008	67459	68039	68723	69532	70296	71084	71905	72964	73383	73541	74383	74832	75368	76320	77342	78480	79593	80665	81787	82332	82894	83165	83981	84980	86207	86681	87477	88260	89018	89749	90453	91129	91777	92397	92988	93554	94098	94629	95152																														
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Male economically active population (1000)	592																				1176359	1203180	1229176	1255266	1280536	1307639	1335113	1362777	1389455	1416092	1441405	1461830	1485170	1507267	1530090	1554286	1578986	1604618	1628461	1655341	1680740	1707324	1733817	1760118	1788450	1816088	1842346	1871280	1898524	1925453	1951970	1978042	2003641	2028709	2053128	2076802	2099661	2121715	2143049	2163858	2184266																														
United States of America	231	Population - Est. & Proj. 2008	3010	Female economically active population (1000)	593																				46918	48105	49196	50036	51260	52679	54063	55370	56599	58037	58615	59071	60151	60937	62590	63555	64656	66093	67081	68096	69057	69604	70155	70740	71156	72048	72987	73639	74388	75122	75824	76485	77102	77676	78214	78723	79203	79654	80078	80478	80857																														
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Female economically active population (1000)	593																				723888	742656	761375	780918	801182	821639	847441	871404	894077	916168	935851	952260	969060	984454	1003754	1021113	1039571	1059668	1079176	1097648	1116328	1137043	1158098	1178462	1200721	1224149	1247291	1266866	1288378	1309575	1330342	1350593	1370307	1389455	1408046	1426043	1443436	1460208	1476425	1492117	1507410																														
United States of America	231	Population - Est. & Proj. 2008	3010	Total economically active population in Agr (1000)	601																				3934	3913	3888	3863	3847	3838	3825	3809	3792	3786	3740	3645	3586	3509	3448	3393	3342	3300	3251	3201	3152	3083	3016	2942	2883	2833	2791	2728	2674	2621	2568	2515	2462	2409	2356	2303	2251	2200	2148	2098	2049																														
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Total economically active population in Agr (1000)	601																				957198	975792	993923	1012393	1030482	1048864	1069889	1089253	1107686	1124709	1139832	1150018	1159721	1168099	1178129	1186671	1195587	1203839	1211636	1221055	1227946	1237226	1245887	1254357	1263087	1271989	1279575	1287200	1294657	1301671	1308138	1314047	1319371	1324019	1327879	1330902	1333021	1334253	1334702	1334509	1333800																														
United States of America	231	Population - Est. & Proj. 2008	3010	Male economically active population in Agr (1000)	602																				3160	3133	3104	3081	3061	3045	3027	3008	2990	2980	2943	2859	2803	2733	2668	2618	2571	2529	2485	2441	2398	2339	2282	2218	2171	2128	2092	2038	1992	1947	1903	1858	1814	1771	1727	1685	1642	1600	1559	1519	1479																														
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Male economically active population in Agr (1000)	602																				570238	580714	590870	600772	610322	620206	630128	639786	648786	657344	665337	670536	675792	680141	684509	689167	693798	698249	701810	706910	710877	715583	719867	724030	728376	731884	734577	739708	743306	746651	749752	752580	755135	757350	759164	760516	761366	761751	761709	761361	760757																														
United States of America	231	Population - Est. & Proj. 2008	3010	Female economically active population in Agr (1000)	603																				774	780	783	782	786	793	798	801	803	806	797	786	783	776	780	775	771	771	766	760	754	744	734	724	712	705	699	690	682	674	665	656	647	638	628	619	609	599	589	579	569																														
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Female economically active population in Agr (1000)	603																				386970	395069	403042	411622	420156	428667	439774	449475	458894	467362	474497	479492	483939	487964	493616	497496	501784	505592	509827	514142	517065	521641	526021	530325	534711	540106	545001	547487	551359	555007	558377	561462	564230	566658	568715	570378	571643	572499	572986	573147	573044																														
