countries	countries (codes)	population	population (codes)	element	element codes	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	
United States of America	231	Population - Est. & Proj. 2008	3010	Total Population - Both sexes (1000)	511	189193	191954	194593	197095	199453	201656	203715	205668	207570	209464	211365	213273	215197	217140	219108	221115	223169	225257	227360	229469	231576	233699	235878	238170	240612	243223	245988	248878	251848	254865	257911	260990	264122	267337	270648	274067	277567	281083	284529	287842	290995	294009	296928	299821	302741	305697	308674	311666	314659	317641	320613	323577	326525	329446	332334	335184	337994	340760	343481	346153	348776	351345	353862	356325	358735	361090	363390	365638	367834	369981	372079	374129	376131	378088	379999	381868	383694	385477	387215	388907	390555	392161	393729	395263	396766	398242	399694	401125	402537	403932
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Total Population - Both sexes (1000)	511	3080882	3140483	3202183	3265940	3331672	3399365	3468911	3540063	3612448	3685780	3760015	3835093	3910607	3986106	4061316	4136042	4210442	4285051	4360588	4437603	4516147	4596099	4677639	4761001	4846257	4933519	5022542	5112435	5202036	5290448	5377380	5462939	5547227	5630540	5713069	5794817	5875695	5955911	6035735	6115373	6194891	6274305	6353657	6432979	6512279	6591551	6670799	6750057	6829362	6908685	6988018	7067252	7146192	7224578	7302185	7378932	7454729	7529427	7602846	7674828	7745308	7814237	7881576	7947342	8011537	8074124	8135096	8194519	8252431	8308897	8363919	8417525	8469771	8520765	8570569	8619219	8666656	8712847	8757718	8801201	8843217	8883779	8922832	8960365	8996345	9030706	9063349	9094210	9123135	9149983
United States of America	231	Population - Est. & Proj. 2008	3010	Total Population - Male (1000)	512	93581	94890	96131	97291	98366	99346	100239	101081	101919	102791	103711	104671	105659	106647	107621	108579	109533	110490	111460	112452	113466	114505	115585	116725	117939	119234	120605	122038	123509	125002	126507	128026	129574	131172	132830	134557	136337	138133	139893	141583	143187	144717	146197	147665	149149	150654	152171	153702	155244	156794	158355	159925	161494	163051	164585	166093	167574	169028	170456	171860	173237	174586	175904	177191	178444	179664	180850	182004	183129	184226	185296	186340	187359	188351	189320	190264	191186	192086	192966	193827	194669	195495	196305	197100	197882	198652	199410	200160	200901	201635
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Total Population - Male (1000)	512	1540989	1571524	1603328	1636161	1669865	1704374	1739694	1775732	1812456	1849784	1887731	1926181	1964912	2003561	2041940	2079897	2117592	2155294	2193441	2232376	2272101	2312548	2353843	2396091	2439337	2483662	2528903	2574601	2620138	2665039	2709136	2752474	2795155	2837288	2879038	2920361	2961231	3001755	3042085	3082314	3122500	3162636	3202743	3242808	3282867	3322881	3362857	3402833	3442846	3482891	3522965	3562997	3602875	3642441	3681582	3720232	3758332	3795836	3832645	3868691	3903929	3938310	3971853	4004543	4036370	4067346	4097453	4126722	4155187	4182895	4209857	4236066	4261564	4286431	4310679	4334337	4357374	4379802	4401548	4422624	4442970	4462584	4481460	4499582	4516933	4533476	4549172	4563976	4577812	4590611
United States of America	231	Population - Est. & Proj. 2008	3010	Total Population - Female (1000)	513	95612	97064	98462	99803	101086	102310	103475	104587	105650	106673	107655	108602	109538	110493	111487	112536	113635	114766	115900	117017	118110	119194	120293	121444	122673	123989	125383	126840	128339	129863	131404	132964	134548	136165	137818	139510	141230	142951	144636	146259	147808	149292	150730	152156	153591	155043	156503	157964	159415	160847	162258	163652	165031	166396	167749	169091	170420	171732	173024	174294	175539	176760	177958	179134	180290	181426	182541	183634	184706	185755	186783	187788	188773	189736	190679	191604	192508	193391	194249	195080	195886	196666	197424	198162	198884	199590	200284	200965	201636	202296
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Total Population - Female (1000)	513	1539876	1568947	1598855	1629774	1661808	1694995	1729233	1764321	1799983	1835988	1872287	1908907	1945692	1982548	2019381	2056127	2092854	2129751	2167137	2205236	2244053	2283538	2323786	2364899	2406908	2449856	2493649	2537831	2581888	2625404	2668253	2710467	2752081	2793250	2834038	2874455	2914450	2954156	2993660	3033044	3072385	3111666	3150913	3190162	3229409	3268673	3307939	3347225	3386512	3425795	3465060	3504257	3543314	3582130	3620606	3658700	3696394	3733582	3770187	3806137	3841387	3875926	3909734	3942798	3975157	4006777	4037646	4067805	4097244	4125999	4154069	4181462	4208196	4234329	4259887	4284871	4309274	4333056	4356166	4378580	4400258	4421195	4441373	4460782	4479417	4497216	4514184	4530225	4545320	4559383
United States of America	231	Population - Est. & Proj. 2008	3010	Rural population (1000)	551	56045	56133	56171	56156	56088	55966	55793	55584	55353	55294	55773	56255	56741	57232	57728	58235	58754	59283	59814	60263	60465	60664	60871	61105	61371	61672	62006	62364	62738	62952	62672	62387	62103	61827	61559	61301	61048	60784	60494	60162	59797	59404	58991	58576	58166	57768	57373	56985	56601	56216	55832	55451	55072	54688	54307	53921	53535	53145	52755	52363	51971	51574	51179	50780	50374	49960	49537	49105	48672	48227	47779	47327	46870	46410	45942	45477	45003	44530	44057	43577	43098	42616	42137	41653	41172	40692	40213	39739	39263	38794
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Rural population (1000)	551	2055247	2082288	2110192	2139306	2173079	2208066	2244228	2281234	2318897	2356798	2395476	2433212	2470785	2507781	2546248	2578278	2609337	2639609	2670153	2700871	2732530	2766457	2797938	2829665	2861781	2893705	2926057	2957180	2988521	3018349	3048772	3078127	3106124	3132804	3158442	3182831	3205105	3226021	3245791	3264370	3282149	3299319	3316122	3332384	3347767	3362222	3375778	3388450	3400301	3411352	3421604	3430945	3439268	3446386	3452184	3456569	3459522	3460938	3460759	3458904	3455310	3450028	3443021	3434344	3423955	3411656	3397520	3381615	3364266	3345561	3325622	3304532	3282341	3259155	3235023	3210026	3184139	3157376	3129754	3101242	3071876	3041677	3010659	2978890	2946355	2913091	2879093	2844390	2808933	2772764
United States of America	231	Population - Est. & Proj. 2008	3010	Urban population (1000)	561	133148	135821	138422	140938	143364	145691	147921	150084	152217	154170	155592	157018	158456	159909	161380	162880	164415	165974	167546	169206	171112	173035	175007	177065	179242	181551	183982	186514	189110	191914	195238	198603	202019	205510	209089	212766	216519	220299	224035	227680	231199	234604	237937	241245	244575	247929	251301	254681	258058	261425	264782	268125	271453	274758	278027	281263	284459	287615	290726	293791	296805	299771	302683	305545	308361	311129	313853	316533	319162	321754	324301	326802	329261	331677	334057	336391	338691	340947	343157	345330	347457	349545	351592	353610	355593	357550	359481	361385	363273	365138
World + (Total)	5000	Population - Est. & Proj. 2008	3010	Urban population (1000)	561	1025635	1058194	1091993	1126624	1158584	1191300	1224678	1258815	1293550	1328979	1364549	1401875	1439808	1478328	1515072	1557762	1601106	1645433	1690432	1736739	1783620	1829630	1879693	1931331	1984464	2039814	2096488	2155245	2213512	2272098	2328618	2384809	2441105	2497732	2554639	2611971	2670590	2729887	2789955	2850990	2912736	2974978	3037539	3100594	3164506	3229329	3295025	3361605	3429056	3497337	3566423	3636303	3706919	3778182	3850003	3922368	3995206	4068491	4142089	4215936	4289997	4364206	4438551	4513001	4587582	4662455	4737574	4812899	4888161	4963334	5038294	5112993	5187429	5261610	5335548	5409178	5482526	5555481	5627972	5699954	5771352	5842105	5912168	5981476	6049984	6117603	6184253	6249813	6314196	6377227
