Year,maize,Wheat,Rice,Ceral NEC,Oil,Sugar,forage yield,fiber_yield,other_yield,Potential_VFN_yield,Predicted maize,Predicted Wheat,Predicted Rice,Predicted Ceral NEC,Predicted Oil,Predicted Sugar,Predicted forage yield,Predicted fiber_yield,Predicted other_yield,Predicted Potential_VFN_yield
1961,0.00138,0.00103,0.00186,0.000974,0.00123,0.0375,0.0119,0.000763,0.000728,0.00538,0.0013064082,0.0010864898,0.0018491265,0.0011296392,0.0009780245,0.0356947755,0.0135337959,0.0007562359,0.0006791698,0.0053759102
1962,0.0014,0.00116,0.00188,0.00105,0.00121,0.0358,0.011,0.000803,0.000715,0.00528,0.0013585306,0.0011286173,0.0019008806,0.0011448447,0.0010149265,0.0362898061,0.0136053469,0.0007816147,0.0006942937,0.0054547796
1963,0.0014,0.00108,0.00204,0.00103,0.00126,0.0353,0.0106,0.000862,0.000685,0.00528,0.0014106531,0.0011707449,0.0019526347,0.0011600502,0.0010518286,0.0368848367,0.013676898,0.0008069935,0.0007094176,0.005533649
1964,0.00148,0.00119,0.00209,0.00108,0.00121,0.0385,0.0107,0.000877,0.000751,0.00541,0.0014627755,0.0012128724,0.0020043888,0.0011752557,0.0010887306,0.0374798673,0.013748449,0.0008323722,0.0007245414,0.0056125184
1965,0.00145,0.00116,0.00202,0.00106,0.00121,0.0392,0.0105,0.000939,0.000779,0.00561,0.001514898,0.001255,0.0020561429,0.0011904612,0.0011256327,0.038074898,0.01382,0.000857751,0.0007396653,0.0056913878
1966,0.00159,0.00137,0.00206,0.00114,0.00128,0.0399,0.0125,0.000989,0.000791,0.00588,0.0015670204,0.0012971276,0.0021078969,0.0012056667,0.0011625347,0.0386699286,0.013891551,0.0008831298,0.0007547892,0.0057702571
1967,0.0017,0.00129,0.00216,0.00118,0.00131,0.0411,0.0129,0.000953,0.000823,0.00605,0.0016191429,0.0013392551,0.002159651,0.0012208722,0.0011994367,0.0392649592,0.013963102,0.0009085086,0.0007699131,0.0058491265
1968,0.0016,0.0014,0.00221,0.00123,0.00131,0.0425,0.013,0.000974,0.00083,0.00627,0.0016712653,0.0013813827,0.0022114051,0.0012360778,0.0012363388,0.0398599898,0.0140346531,0.0009338873,0.0007850369,0.0059279959
1969,0.00169,0.00136,0.00224,0.00122,0.0013,0.0418,0.0134,0.000958,0.000843,0.00625,0.0017233878,0.0014235102,0.0022631592,0.0012512833,0.0012732408,0.0404550204,0.0141062041,0.0009592661,0.0008001608,0.0060068653
1970,0.00178,0.00144,0.00237,0.00127,0.00133,0.0436,0.0137,0.000983,0.00086,0.0064,0.0017755102,0.0014656378,0.0023149133,0.0012664888,0.0013101429,0.041050051,0.0141777551,0.0009846449,0.0008152847,0.0060857347
1971,0.00185,0.00156,0.00235,0.00136,0.00137,0.0424,0.0139,0.00101,0.000872,0.0063,0.0018276327,0.0015077653,0.0023666673,0.0012816943,0.0013470449,0.0416450816,0.0142493061,0.0010100237,0.0008304086,0.0061646041
1972,0.00182,0.00155,0.00231,0.00129,0.00132,0.0417,0.0141,0.00101,0.000876,0.00619,0.0018797551,0.0015498929,0.0024184214,0.0012968998,0.0013839469,0.0422401122,0.0143208571,0.0010354024,0.0008455324,0.0062434735
1973,0.0019,0.00163,0.00244,0.00139,0.00138,0.0432,0.0161,0.00108,0.000874,0.00672,0.0019318776,0.0015920204,0.0024701755,0.0013121053,0.001420849,0.0428351429,0.0143924082,0.0010607812,0.0008606563,0.0063223429
1974,0.002,0.00159,0.00241,0.00143,0.00138,0.0431,0.0153,0.00113,0.000911,0.00646,0.001984,0.001634148,0.0025219296,0.0013273108,0.001457751,0.0434301735,0.0144639592,0.00108616,0.0008757802,0.0064012122
1975,0.00205,0.0015,0.0025,0.0013,0.00148,0.0418,0.0145,0.00106,0.000855,0.00652,0.0020361224,0.0016762755,0.0025736837,0.0013425163,0.0014946531,0.0440252041,0.0145355102,0.0011115388,0.0008909041,0.0064800816
1976,0.00202,0.00176,0.00243,0.00149,0.00149,0.0439,0.0155,0.00104,0.000874,0.00659,0.0020882449,0.0017184031,0.0026254378,0.0013577218,0.0015315551,0.0446202347,0.0146070612,0.0011369176,0.000906028,0.006558951
1977,0.00214,0.00162,0.00256,0.00142,0.00152,0.0455,0.0175,0.00106,0.000885,0.0067,0.0021403673,0.0017605306,0.0026771918,0.0013729273,0.0015684571,0.0452152653,0.0146786122,0.0011622963,0.0009211518,0.0066378204
1978,0.00219,0.00191,0.00266,0.00158,0.00149,0.0459,0.0176,0.00105,0.000891,0.00695,0.0021924898,0.0018026582,0.0027289459,0.0013881329,0.0016053592,0.0458102959,0.0147501633,0.0011876751,0.0009362757,0.0067166898
1979,0.0023,0.0018,0.00264,0.00141,0.00148,0.0452,0.0168,0.00112,0.000909,0.00709,0.0022446122,0.0018447857,0.0027807,0.0014033384,0.0016422612,0.0464053265,0.0148217143,0.0012130539,0.0009513996,0.0067955592
1980,0.00237,0.0018,0.00273,0.00145,0.00156,0.0446,0.0169,0.00116,0.000912,0.00679,0.0022967347,0.0018869133,0.0028324541,0.0014185439,0.0016791633,0.0470003571,0.0148932653,0.0012384327,0.0009665235,0.0068744286
1981,0.00246,0.00181,0.0028,0.00142,0.00159,0.0466,0.017,0.00122,0.000947,0.0069,0.0023488571,0.0019290408,0.0028842082,0.0014337494,0.0017160653,0.0475953878,0.0149648163,0.0012638114,0.0009816473,0.006953298
1982,0.00252,0.00194,0.00296,0.00155,0.00165,0.0491,0.0181,0.00124,0.000959,0.00704,0.0024009796,0.0019711684,0.0029359622,0.0014489549,0.0017529673,0.0481904184,0.0150363673,0.0012891902,0.0009967712,0.0070321673
1983,0.00248,0.00206,0.00312,0.00154,0.00162,0.0481,0.018,0.0013,0.000985,0.00714,0.002453102,0.0020132959,0.0029877163,0.0014641604,0.0017898694,0.048785449,0.0151079184,0.001314569,0.0010118951,0.0071110367
1984,0.00259,0.00217,0.00321,0.0016,0.00171,0.0496,0.0185,0.00149,0.001,0.00732,0.0025052245,0.0020554235,0.0030394704,0.0014793659,0.0018267714,0.0493804796,0.0151794694,0.0013399478,0.001027019,0.0071899061
1985,0.0026,0.00213,0.00324,0.00159,0.00175,0.0489,0.0182,0.00143,0.00103,0.00707,0.0025573469,0.002097551,0.0030912245,0.0014945714,0.0018636735,0.0499755102,0.0152510204,0.0013653265,0.0010421429,0.0072687755
1986,0.00259,0.00232,0.00322,0.00158,0.00178,0.0492,0.0178,0.00137,0.001,0.00719,0.0026094694,0.0021396786,0.0031429786,0.0015097769,0.0019005755,0.0505705408,0.0153225714,0.0013907053,0.0010572667,0.0073476449
1987,0.00257,0.00226,0.00325,0.00163,0.00186,0.0511,0.0177,0.00148,0.00104,0.00726,0.0026615918,0.0021818061,0.0031947327,0.0015249824,0.0019374776,0.0511655714,0.0153941224,0.0014160841,0.0010723906,0.0074265143
1988,0.00261,0.00229,0.00331,0.00157,0.00184,0.0509,0.0177,0.00148,0.00104,0.00717,0.0027137143,0.0022239337,0.0032464867,0.001540188,0.0019743796,0.051760602,0.0154656735,0.0014414629,0.0010875145,0.0075053837
1989,0.0027,0.00239,0.00343,0.00161,0.00189,0.0526,0.0171,0.00148,0.00104,0.00726,0.0027658367,0.0022660612,0.0032982408,0.0015553935,0.0020112816,0.0523556327,0.0155372245,0.0014668416,0.0011026384,0.0075842531
