Year	GDP ppp mad	Predicted CGS	Predicted Dairy	Predicted Pig	Predicted Poultry
1961	11142.52391	5.40838E-05	0.000250777	2.83684E-05	1.28399E-05
1962	11561.62105	5.38434E-05	0.000250882	2.83962E-05	1.36995E-05
1963	11980.71819	0.000053603	0.000250987	0.000028424	1.45591E-05
1964	12399.81532	5.33627E-05	0.000251091	2.84519E-05	1.54187E-05
1965	12818.91246	5.31223E-05	0.000251196	2.84797E-05	1.62783E-05
1966	13238.0096	5.28819E-05	0.000251301	2.85075E-05	1.71379E-05
1967	13657.10674	5.26416E-05	0.000251406	2.85353E-05	1.79975E-05
1968	14076.20388	5.24012E-05	0.000251511	2.85632E-05	1.88571E-05
1969	14495.30101	5.21608E-05	0.000251615	0.000028591	1.97167E-05
1970	14914.39815	5.19205E-05	0.00025172	2.86188E-05	2.05763E-05
1971	15333.49529	5.16801E-05	0.000251825	2.86467E-05	2.14359E-05
1972	15752.59243	5.14397E-05	0.00025193	2.86745E-05	2.22955E-05
1973	16171.68957	5.11994E-05	0.000252035	2.87023E-05	2.31551E-05
1974	16590.78671	0.000050959	0.000252139	2.87302E-05	2.40147E-05
1975	17009.88384	5.07186E-05	0.000252244	0.000028758	2.48743E-05
1976	17428.98098	5.04783E-05	0.000252349	2.87858E-05	2.57339E-05
1977	17848.07812	5.02379E-05	0.000252454	2.88137E-05	2.65935E-05
1978	18267.17526	4.99975E-05	0.000252558	2.88415E-05	2.74531E-05
1979	18686.2724	4.97572E-05	0.000252663	2.88693E-05	2.83127E-05
1980	19105.36954	4.95168E-05	0.000252768	2.88972E-05	2.91722E-05
1981	19524.46667	4.92764E-05	0.000252873	0.000028925	3.00318E-05
1982	19943.56381	4.90361E-05	0.000252978	2.89528E-05	3.08914E-05
1983	20362.66095	4.87957E-05	0.000253082	2.89807E-05	0.000031751
1984	20781.75809	4.85553E-05	0.000253187	2.90085E-05	3.26106E-05
1985	21200.85523	0.000048315	0.000253292	2.90363E-05	3.34702E-05
1986	21619.95237	4.80746E-05	0.000253397	2.90642E-05	3.43298E-05
1987	22039.0495	4.78342E-05	0.000253502	0.000029092	3.51894E-05
1988	22458.14664	4.75938E-05	0.000253606	2.91198E-05	0.000036049
1989	22877.24378	4.73535E-05	0.000253711	2.91477E-05	3.69086E-05
1990	23296.34092	4.71131E-05	0.000253816	2.91755E-05	3.77682E-05
1991	23715.43806	4.68727E-05	0.000253921	2.92033E-05	3.86278E-05
1992	24134.5352	4.66324E-05	0.000254026	2.92312E-05	3.94874E-05
1993	24553.63233	0.000046392	0.00025413	0.000029259	0.000040347
1994	24972.72947	4.61516E-05	0.000254235	2.92868E-05	4.12066E-05
1995	25391.82661	4.59113E-05	0.00025434	2.93147E-05	4.20662E-05
1996	25810.92375	4.56709E-05	0.000254445	2.93425E-05	4.29258E-05
1997	26230.02089	4.54305E-05	0.000254549	2.93703E-05	4.37854E-05
1998	26649.11803	4.51902E-05	0.000254654	2.93982E-05	0.000044645
1999	27068.21516	4.49498E-05	0.000254759	0.000029426	4.55046E-05
2000	27487.3123	4.47094E-05	0.000254864	2.94538E-05	4.63642E-05
2001	27906.40944	4.44691E-05	0.000254969	2.94817E-05	4.72238E-05
2002	28325.50658	4.42287E-05	0.000255073	2.95095E-05	4.80834E-05
2003	28744.60372	4.39883E-05	0.000255178	2.95373E-05	0.000048943
2004	29163.70086	0.000043748	0.000255283	2.95652E-05	4.98026E-05
2005	29582.79799	4.35076E-05	0.000255388	0.000029593	5.06622E-05
2006	30001.89513	4.32672E-05	0.000255493	2.96208E-05	5.15218E-05
2007	30420.99227	4.30269E-05	0.000255597	2.96487E-05	5.23814E-05
2008	30840.08941	4.27865E-05	0.000255702	2.96765E-05	0.000053241
2009	31259.18655	4.25461E-05	0.000255807	2.97043E-05	5.41006E-05
2010	31678.28368	4.23058E-05	0.000255912	2.97322E-05	5.49602E-05
2011	32097.38082	4.20654E-05	0.000256016	0.00002976	5.58198E-05
2012	32516.47796	0.000041825	0.000256121	2.97878E-05	5.66794E-05
2013	32935.5751	4.15847E-05	0.000256226	2.98157E-05	0.000057539
2014	33354.67224	4.13443E-05	0.000256331	2.98435E-05	5.83986E-05
2015	33773.76938	4.11039E-05	0.000256436	2.98713E-05	5.92582E-05
2016	34192.86651	4.08636E-05	0.00025654	2.98992E-05	6.01178E-05
2017	34611.96365	4.06232E-05	0.000256645	0.000029927	6.09774E-05
2018	35031.06079	4.03828E-05	0.00025675	2.99548E-05	0.000061837
2019	35450.15793	4.01424E-05	0.000256855	2.99827E-05	6.26966E-05
2020	35869.25507	3.99021E-05	0.00025696	3.00105E-05	6.35562E-05
2021	36288.35221	3.96617E-05	0.000257064	3.00383E-05	6.44157E-05
2022	36707.44934	3.94213E-05	0.000257169	3.00662E-05	6.52753E-05
2023	37126.54648	0.000039181	0.000257274	0.000030094	6.61349E-05
2024	37545.64362	3.89406E-05	0.000257379	3.01218E-05	6.69945E-05
2025	37964.74076	3.87002E-05	0.000257484	3.01497E-05	6.78541E-05
2026	38383.8379	3.84599E-05	0.000257588	3.01775E-05	6.87137E-05
2027	38802.93504	3.82195E-05	0.000257693	3.02053E-05	6.95733E-05
2028	39222.03217	3.79791E-05	0.000257798	3.02332E-05	7.04329E-05
2029	39641.12931	3.77388E-05	0.000257903	0.000030261	7.12925E-05
2030	40060.22645	3.74984E-05	0.000258007	3.02888E-05	7.21521E-05
2031	40479.32359	0.000037258	0.000258112	3.03167E-05	7.30117E-05
2032	40898.42073	3.70177E-05	0.000258217	3.03445E-05	7.38713E-05
2033	41317.51787	3.67773E-05	0.000258322	3.03723E-05	7.47309E-05
2034	41736.615	3.65369E-05	0.000258427	3.04002E-05	7.55905E-05
2035	42155.71214	3.62966E-05	0.000258531	0.000030428	7.64501E-05
2036	42574.80928	3.60562E-05	0.000258636	3.04558E-05	7.73097E-05
2037	42993.90642	3.58158E-05	0.000258741	3.04837E-05	7.81693E-05
2038	43413.00356	3.55755E-05	0.000258846	3.05115E-05	7.90289E-05
2039	43832.1007	3.53351E-05	0.000258951	3.05393E-05	7.98885E-05
2040	44251.19783	3.50947E-05	0.000259055	3.05672E-05	8.07481E-05
2041	44670.29497	3.48544E-05	0.00025916	0.000030595	8.16077E-05
2042	45089.39211	0.000034614	0.000259265	3.06228E-05	8.24673E-05
2043	45508.48925	3.43736E-05	0.00025937	3.06507E-05	8.33269E-05
2044	45927.58639	3.41333E-05	0.000259474	3.06785E-05	8.41865E-05
2045	46346.68353	3.38929E-05	0.000259579	3.07063E-05	8.50461E-05
2046	46765.78066	3.36525E-05	0.000259684	3.07342E-05	8.59057E-05
2047	47184.8778	3.34122E-05	0.000259789	0.000030762	8.67653E-05
2048	47603.97494	3.31718E-05	0.000259894	3.07898E-05	8.76249E-05
2049	48023.07208	3.29314E-05	0.000259998	3.08177E-05	8.84845E-05
2050	48442.16922	0.000032691	0.000260103	3.08455E-05	8.93441E-05
