Year,maize,Wheat,Rice,Ceral NEC,Oil,Sugar,forage yield,fiber_yield,other_yield,Potential_VFN_yield,Predicted maize,Predicted Wheat,Predicted Rice,Predicted Ceral NEC,Predicted Oil,Predicted Sugar,Predicted forage yield,Predicted fiber_yield,Predicted other_yield,Predicted Potential_VFN_yield
1961,0.00392,0.00161,0.00382,0.00181,0.00158,0.0549,0.00586,0.00135,0.00207,0.0124,0.003979649,0.0017484408,0.0041440898,0.0020977061,0.0014780653,0.0543477551,0.0240932308,0.0012822857,0.0019837714,0.0127826122
1962,0.00406,0.00168,0.00418,0.00195,0.00154,0.0543,0.00624,0.0014,0.00222,0.0127,0.0040973847,0.0017733867,0.0042184857,0.0021301827,0.0015050592,0.0545766327,0.0240183077,0.0013006429,0.0020362673,0.0129698163
1963,0.00426,0.00169,0.00444,0.00198,0.00155,0.0584,0.00634,0.00156,0.00234,0.0125,0.0042151204,0.0017983327,0.0042928816,0.0021626592,0.0015320531,0.0548055102,0.0239433846,0.001319,0.0020887633,0.0131570204
1964,0.00395,0.00173,0.00459,0.00193,0.00147,0.0525,0.0062,0.00157,0.00245,0.0123,0.0043328561,0.0018232786,0.0043672776,0.0021951357,0.0015590469,0.0550343878,0.0238684615,0.0013373571,0.0021412592,0.0133442245
1965,0.00465,0.00179,0.00477,0.00233,0.0016,0.0533,0.0065,0.00159,0.00229,0.0132,0.0044505918,0.0018482245,0.0044416735,0.0022276122,0.0015860408,0.0552632653,0.0237935385,0.0013557143,0.0021937551,0.0135314286
1966,0.00459,0.00177,0.00484,0.00228,0.00165,0.0565,0.0068,0.00147,0.00234,0.0132,0.0045683276,0.0018731704,0.0045160694,0.0022600888,0.0016130347,0.0554921429,0.0237186154,0.0013740714,0.002246251,0.0137186327
1967,0.00503,0.00174,0.00509,0.00235,0.00162,0.0588,0.0071,0.0014,0.00247,0.0138,0.0046860633,0.0018981163,0.0045904653,0.0022925653,0.0016400286,0.0557210204,0.0236436923,0.0013924286,0.0022987469,0.0139058367
1968,0.00499,0.00191,0.00496,0.00246,0.00176,0.0553,0.00732,0.0016,0.0024,0.0136,0.004803799,0.0019230622,0.0046648612,0.0023250418,0.0016670224,0.055949898,0.0235687692,0.0014107857,0.0023512429,0.0140930408
1969,0.00539,0.00206,0.00484,0.00248,0.00179,0.0537,0.00769,0.00131,0.00241,0.0142,0.0049215347,0.0019480082,0.0047392571,0.0023575184,0.0016940163,0.0561787755,0.0234938462,0.0014291429,0.0024037388,0.0142802449
1970,0.00454,0.00209,0.00518,0.00231,0.00174,0.0567,0.00728,0.00131,0.00261,0.0143,0.0050392704,0.0019729541,0.0048136531,0.0023899949,0.0017210102,0.0564076531,0.0234189231,0.0014475,0.0024562347,0.014467449
1971,0.00553,0.00228,0.00529,0.0026,0.00183,0.0575,0.00786,0.00132,0.00256,0.015,0.0051570061,0.0019979,0.004888049,0.0024224714,0.0017480041,0.0566365306,0.023344,0.0014658571,0.0025087306,0.0146546531
