Year,maize,Wheat,Rice,Ceral NEC,Oil,Sugar,forage yield,fiber_yield,other_yield,Potential_VFN_yield,Predicted maize,Predicted Wheat,Predicted Rice,Predicted Ceral NEC,Predicted Oil,Predicted Sugar,Predicted forage yield,Predicted fiber_yield,Predicted other_yield,Predicted Potential_VFN_yield
1972,0.00609,0.0022,0.00527,0.00266,0.00185,0.0627,0.00807,0.0015,0.00264,0.0145,0.0052747418,0.0020228459,0.0049624449,0.002454948,0.001774998,0.0568654082,0.0232690769,0.0014842143,0.0025612265,0.0148418571
1973,0.00573,0.00212,0.00479,0.00258,0.00184,0.0577,0.00807,0.00152,0.0025,0.0152,0.0053924776,0.0020477918,0.0050368408,0.0024874245,0.0018019918,0.0570942857,0.0231941538,0.0015025714,0.0026137224,0.0150290612
1974,0.00451,0.00183,0.00498,0.00221,0.00159,0.0544,0.00778,0.0013,0.00262,0.0154,0.0055102133,0.0020727378,0.0051112367,0.002519901,0.0018289857,0.0573231633,0.0231192308,0.0015209286,0.0026662184,0.0152162653
1975,0.00542,0.00206,0.00511,0.00242,0.00192,0.0568,0.00794,0.00133,0.00254,0.016,0.005627949,0.0020976837,0.0051856327,0.0025523776,0.0018559796,0.0575520408,0.0230443077,0.0015392857,0.0027187143,0.0154034694
1976,0.00552,0.00204,0.00523,0.00241,0.00175,0.0579,0.00762,0.00137,0.0026,0.0163,0.0057456847,0.0021226296,0.0052600286,0.0025848541,0.0018829735,0.0577809184,0.0229693846,0.0015576429,0.0027712102,0.0155906735
1977,0.0057,0.00206,0.00494,0.00265,0.00203,0.0588,0.0082,0.00152,0.0026,0.0169,0.0058634204,0.0021475755,0.0053344245,0.0026173306,0.0019099673,0.0580097959,0.0228944615,0.001576,0.0028237061,0.0157778776
1978,0.00634,0.00211,0.00503,0.00267,0.00197,0.0577,0.00847,0.00124,0.00279,0.0162,0.0059811561,0.0021725214,0.0054088204,0.0026498071,0.0019369612,0.0582386735,0.0228195385,0.0015943571,0.002876202,0.0159650816
1979,0.00687,0.0023,0.00515,0.00294,0.00212,0.0587,0.00868,0.00162,0.00265,0.0168,0.0060988918,0.0021974673,0.0054832163,0.0026822837,0.0019639551,0.058467551,0.0227446154,0.0016127143,0.002928698,0.0161522857
1980,0.00571,0.00225,0.00495,0.00251,0.00174,0.0589,0.00812,0.00121,0.00272,0.0166,0.0062166276,0.0022224133,0.0055576122,0.0027147602,0.001990949,0.0586964286,0.0226696923,0.0016310714,0.0029811939,0.0163394898
1981,0.00684,0.00232,0.0054,0.00303,0.00201,0.0621,0.00881,0.00164,0.00287,0.0158,0.0063343633,0.0022473592,0.0056320082,0.0027472367,0.0020179429,0.0589253061,0.0225947692,0.0016494286,0.0030336898,0.0165266939
1982,0.00711,0.00239,0.00528,0.00299,0.00207,0.0642,0.00896,0.00175,0.00304,0.0167,0.006452099,0.0022723051,0.0057064041,0.0027797133,0.0020449367,0.0591541837,0.0225198462,0.0016677857,0.0030861857,0.016713898
1983,0.00509,0.00265,0.00515,0.00257,0.00174,0.0604,0.00801,0.00151,0.00269,0.0175,0.0065698347,0.002297251,0.0057808,0.0028121898,0.0020719306,0.0593830612,0.0224449231,0.0016861429,0.0031386816,0.016901102
1984,0.0067,0.00261,0.00555,0.00293,0.00188,0.0602,0.00843,0.00179,0.00319,0.0171,0.0066875704,0.0023221969,0.0058551959,0.0028446663,0.0020989245,0.0596119388,0.02237,0.0017045,0.0031911776,0.0170883061
1985,0.00741,0.00252,0.00607,0.00325,0.00225,0.0607,0.0224,0.00186,0.00338,0.0171,0.0068053061,0.0023471429,0.0059295918,0.0028771429,0.0021259184,0.0598408163,0.0222950769,0.0017228571,0.0032436735,0.0172755102
1986,0.00749,0.00232,0.00633,0.00317,0.00222,0.0626,0.0217,0.00162,0.00334,0.0169,0.0069230418,0.0023720888,0.0060039878,0.0029096194,0.0021529122,0.0600696939,0.0222201538,0.0017412143,0.0032961694,0.0174627143
1987,0.00752,0.00253,0.00623,0.00312,0.00226,0.0619,0.0217,0.00208,0.00338,0.0178,0.0070407776,0.0023970347,0.0060783837,0.0029420959,0.0021799061,0.0602985714,0.0221452308,0.0017595714,0.0033486653,0.0176499184
1988,0.00531,0.00229,0.00618,0.00262,0.00181,0.0572,0.0173,0.00183,0.00346,0.018,0.0071585133,0.0024219806,0.0061527796,0.0029745724,0.0022069,0.060527449,0.0220703077,0.0017779286,0.0034011612,0.0178371224
1989,0.0073,0.0022,0.00645,0.00276,0.00216,0.057,0.0202,0.00179,0.0033,0.0183,0.007276249,0.0024469265,0.0062271755,0.003007049,0.0022338939,0.0607563265,0.0219953846,0.0017962857,0.0034536571,0.0180243265
1990,0.00744,0.00266,0.0062,0.00311,0.00226,0.0575,0.0218,0.00185,0.0035,0.0174,0.0073939847,0.0024718724,0.0063015714,0.0030395255,0.0022608878,0.0609852041,0.0219204615,0.0018146429,0.0035061531,0.0182115306
1991,0.00682,0.0023,0.00642,0.00299,0.00227,0.0574,0.022,0.00193,0.00347,0.018,0.0075117204,0.0024968184,0.0063759673,0.003072002,0.0022878816,0.0612140816,0.0218455385,0.001833,0.003558649,0.0183987347
1992,0.00825,0.00264,0.00643,0.00369,0.0025,0.0571,0.0226,0.00204,0.00349,0.0193,0.0076294561,0.0025217643,0.0064503633,0.0031044786,0.0023148755,0.0614429592,0.0217706154,0.0018513571,0.0036111449,0.0185859388
1993,0.00632,0.00257,0.00618,0.00313,0.00215,0.0545,0.0217,0.00179,0.00346,0.0196,0.0077471918,0.0025467102,0.0065247592,0.0031369551,0.0023418694,0.0616718367,0.0216956923,0.0018697143,0.0036636408,0.0187731429
1994,0.0087,0.00253,0.00669,0.00343,0.00271,0.0591,0.0232,0.00207,0.00382,0.0202,0.0078649276,0.0025716561,0.0065991551,0.0031694316,0.0023688633,0.0619007143,0.0216207692,0.0018880714,0.0037161367,0.0189603469
1995,0.00712,0.00241,0.0063,0.003,0.00232,0.0561,0.0224,0.00156,0.00336,0.0194,0.0079826633,0.002596602,0.006673551,0.0032019082,0.0023958571,0.0621295918,0.0215458462,0.0019064286,0.0037686327,0.019147551
1996,0.00798,0.00244,0.00686,0.00353,0.0025,0.0569,0.0217,0.00207,0.00342,0.0201,0.008100399,0.002621548,0.0067479469,0.0032343847,0.002422851,0.0623584694,0.0214709231,0.0019247857,0.0038211286,0.0193347551
1997,0.00795,0.00266,0.00661,0.00349,0.00256,0.059,0.0226,0.00191,0.00343,0.0206,0.0082181347,0.0026464939,0.0068223429,0.0032668612,0.0024498449,0.0625873469,0.021396,0.0019431429,0.0038736245,0.0195219592
1998,0.00844,0.0029,0.00635,0.00341,0.00256,0.0628,0.023,0.00183,0.00356,0.0198,0.0083358704,0.0026714398,0.0068967388,0.0032993378,0.0024768388,0.0628162245,0.0213210769,0.0019615,0.0039261204,0.0197091633
1999,0.0084,0.00287,0.00657,0.00354,0.00241,0.0611,0.0228,0.00174,0.00365,0.0198,0.0084536061,0.0026963857,0.0069711347,0.0033318143,0.0025038327,0.063045102,0.0212461538,0.0019798571,0.0039786163,0.0198963673
2000,0.00859,0.00282,0.00704,0.0033,0.0025,0.0705,0.0229,0.00181,0.00437,0.0218,0.0085713418,0.0027213316,0.0070455306,0.0033642908,0.0025308265,0.0632739796,0.0211712308,0.0019982143,0.0040311122,0.0200835714
2001,0.00867,0.0027,0.00728,0.00327,0.00261,0.0657,0.0223,0.002,0.00453,0.0208,0.0086890776,0.0027462776,0.0071199265,0.0033967673,0.0025578204,0.0635028571,0.0210963077,0.0020165714,0.0040836082,0.0202707755
2002,0.00812,0.00236,0.00737,0.00284,0.00249,0.0656,0.021,0.00186,0.00432,0.0209,0.0088068133,0.0027712235,0.0071943224,0.0034292439,0.0025848143,0.0637317347,0.0210213846,0.0020349286,0.0041361041,0.0204579796
2003,0.00892,0.00297,0.00748,0.00299,0.00225,0.0682,0.0227,0.00206,0.00451,0.0209,0.008924549,0.0027961694,0.0072687184,0.0034617204,0.0026118082,0.0639606122,0.0209464615,0.0020532857,0.0041886,0.0206451837
2004,0.0101,0.0029,0.00783,0.00368,0.00279,0.065,0.0233,0.00237,0.0049,0.022,0.0090422847,0.0028211153,0.0073431143,0.0034941969,0.002638802,0.0641894898,0.0208715385,0.0020716429,0.0042410959,0.0208323878
2005,0.00929,0.00282,0.00742,0.00353,0.00283,0.0617,0.0226,0.00231,0.00525,0.0194,0.0091600204,0.0028460612,0.0074175102,0.0035266735,0.0026657959,0.0644183673,0.0207966154,0.00209,0.0042935918,0.0210195918
2006,0.00936,0.0026,0.00773,0.00305,0.00281,0.0714,0.0222,0.00226,0.0049,0.0195,0.0092777561,0.0028710071,0.0074919061,0.00355915,0.0026927898,0.0646472449,0.0207216923,0.0021083571,0.0043460878,0.0212067959
2007,0.00946,0.0027,0.00809,0.00371,0.00275,0.0693,0.0186,0.00239,0.0048,0.02,0.0093954918,0.0028959531,0.007566302,0.0035916265,0.0027197837,0.0648761224,0.0206467692,0.0021267143,0.0043985837,0.021394
2008,0.00966,0.00302,0.00767,0.00353,0.00264,0.0652,0.0189,0.00218,0.00488,0.0204,0.0095132276,0.002920899,0.007640698,0.0036241031,0.0027467776,0.065105,0.0205718462,0.0021450714,0.0044510796,0.0215812041
2009,0.0103,0.00299,0.00794,0.00379,0.00292,0.0663,0.0133,0.00203,0.00285,0.0203,0.0096309633,0.0029458449,0.0077150939,0.0036565796,0.0027737714,0.0653338776,0.0204969231,0.0021634286,0.0045035755,0.0217684082
2010,,,,,,,,,,,0.009748699,0.0029707908,0.0077894898,0.0036890561,0.0028007653,0.0655627551,0.020422,0.0021817857,0.0045560714,0.0219556122
2011,,,,,,,,,,,0.0098664347,0.0029957367,0.0078638857,0.0037215327,0.0028277592,0.0657916327,0.0203470769,0.0022001429,0.0046085673,0.0221428163
2012,,,,,,,,,,,0.0099841704,0.0030206827,0.0079382816,0.0037540092,0.0028547531,0.0660205102,0.0202721538,0.0022185,0.0046610633,0.0223300204
2013,,,,,,,,,,,0.0101019061,0.0030456286,0.0080126776,0.0037864857,0.0028817469,0.0662493878,0.0201972308,0.0022368571,0.0047135592,0.0225172245
2014,,,,,,,,,,,0.0102196418,0.0030705745,0.0080870735,0.0038189622,0.0029087408,0.0664782653,0.0201223077,0.0022552143,0.0047660551,0.0227044286
2015,,,,,,,,,,,0.0103373776,0.0030955204,0.0081614694,0.0038514388,0.0029357347,0.0667071429,0.0200473846,0.0022735714,0.004818551,0.0228916327
2016,,,,,,,,,,,0.0104551133,0.0031204663,0.0082358653,0.0038839153,0.0029627286,0.0669360204,0.0199724615,0.0022919286,0.0048710469,0.0230788367
2017,,,,,,,,,,,0.010572849,0.0031454122,0.0083102612,0.0039163918,0.0029897224,0.067164898,0.0198975385,0.0023102857,0.0049235429,0.0232660408
2018,,,,,,,,,,,0.0106905847,0.0031703582,0.0083846571,0.0039488684,0.0030167163,0.0673937755,0.0198226154,0.0023286429,0.0049760388,0.0234532449
2019,,,,,,,,,,,0.0108083204,0.0031953041,0.0084590531,0.0039813449,0.0030437102,0.0676226531,0.0197476923,0.002347,0.0050285347,0.023640449
2020,,,,,,,,,,,0.0109260561,0.00322025,0.008533449,0.0040138214,0.0030707041,0.0678515306,0.0196727692,0.0023653571,0.0050810306,0.0238276531
2021,,,,,,,,,,,0.0110437918,0.0032451959,0.0086078449,0.004046298,0.003097698,0.0680804082,0.0195978462,0.0023837143,0.0051335265,0.0240148571
2022,,,,,,,,,,,0.0111615276,0.0032701418,0.0086822408,0.0040787745,0.0031246918,0.0683092857,0.0195229231,0.0024020714,0.0051860224,0.0242020612
2023,,,,,,,,,,,0.0112792633,0.0032950878,0.0087566367,0.004111251,0.0031516857,0.0685381633,0.019448,0.0024204286,0.0052385184,0.0243892653
2024,,,,,,,,,,,0.011396999,0.0033200337,0.0088310327,0.0041437276,0.0031786796,0.0687670408,0.0193730769,0.0024387857,0.0052910143,0.0245764694
2025,,,,,,,,,,,0.0115147347,0.0033449796,0.0089054286,0.0041762041,0.0032056735,0.0689959184,0.0192981538,0.0024571429,0.0053435102,0.0247636735
2026,,,,,,,,,,,0.0116324704,0.0033699255,0.0089798245,0.0042086806,0.0032326673,0.0692247959,0.0192232308,0.0024755,0.0053960061,0.0249508776
2027,,,,,,,,,,,0.0117502061,0.0033948714,0.0090542204,0.0042411571,0.0032596612,0.0694536735,0.0191483077,0.0024938571,0.005448502,0.0251380816
2028,,,,,,,,,,,0.0118679418,0.0034198173,0.0091286163,0.0042736337,0.0032866551,0.069682551,0.0190733846,0.0025122143,0.005500998,0.0253252857
2029,,,,,,,,,,,0.0119856776,0.0034447633,0.0092030122,0.0043061102,0.003313649,0.0699114286,0.0189984615,0.0025305714,0.0055534939,0.0255124898
2030,,,,,,,,,,,0.0121034133,0.0034697092,0.0092774082,0.0043385867,0.0033406429,0.0701403061,0.0189235385,0.0025489286,0.0056059898,0.0256996939
2031,,,,,,,,,,,0.012221149,0.0034946551,0.0093518041,0.0043710633,0.0033676367,0.0703691837,0.0188486154,0.0025672857,0.0056584857,0.025886898
2032,,,,,,,,,,,0.0123388847,0.003519601,0.0094262,0.0044035398,0.0033946306,0.0705980612,0.0187736923,0.0025856429,0.0057109816,0.026074102
2033,,,,,,,,,,,0.0124566204,0.0035445469,0.0095005959,0.0044360163,0.0034216245,0.0708269388,0.0186987692,0.002604,0.0057634776,0.0262613061
2034,,,,,,,,,,,0.0125743561,0.0035694929,0.0095749918,0.0044684929,0.0034486184,0.0710558163,0.0186238462,0.0026223571,0.0058159735,0.0264485102
2035,,,,,,,,,,,0.0126920918,0.0035944388,0.0096493878,0.0045009694,0.0034756122,0.0712846939,0.0185489231,0.0026407143,0.0058684694,0.0266357143
2036,,,,,,,,,,,0.0128098276,0.0036193847,0.0097237837,0.0045334459,0.0035026061,0.0715135714,0.018474,0.0026590714,0.0059209653,0.0268229184
2037,,,,,,,,,,,0.0129275633,0.0036443306,0.0097981796,0.0045659224,0.0035296,0.071742449,0.0183990769,0.0026774286,0.0059734612,0.0270101224
2038,,,,,,,,,,,0.013045299,0.0036692765,0.0098725755,0.004598399,0.0035565939,0.0719713265,0.0183241538,0.0026957857,0.0060259571,0.0271973265
2039,,,,,,,,,,,0.0131630347,0.0036942224,0.0099469714,0.0046308755,0.0035835878,0.0722002041,0.0182492308,0.0027141429,0.0060784531,0.0273845306
2040,,,,,,,,,,,0.0132807704,0.0037191684,0.0100213673,0.004663352,0.0036105816,0.0724290816,0.0181743077,0.0027325,0.006130949,0.0275717347
2041,,,,,,,,,,,0.0133985061,0.0037441143,0.0100957633,0.0046958286,0.0036375755,0.0726579592,0.0180993846,0.0027508571,0.0061834449,0.0277589388
2042,,,,,,,,,,,0.0135162418,0.0037690602,0.0101701592,0.0047283051,0.0036645694,0.0728868367,0.0180244615,0.0027692143,0.0062359408,0.0279461429
2043,,,,,,,,,,,0.0136339776,0.0037940061,0.0102445551,0.0047607816,0.0036915633,0.0731157143,0.0179495385,0.0027875714,0.0062884367,0.0281333469
2044,,,,,,,,,,,0.0137517133,0.003818952,0.010318951,0.0047932582,0.0037185571,0.0733445918,0.0178746154,0.0028059286,0.0063409327,0.028320551
2045,,,,,,,,,,,0.013869449,0.003843898,0.0103933469,0.0048257347,0.003745551,0.0735734694,0.0177996923,0.0028242857,0.0063934286,0.0285077551
2046,,,,,,,,,,,0.0139871847,0.0038688439,0.0104677429,0.0048582112,0.0037725449,0.0738023469,0.0177247692,0.0028426429,0.0064459245,0.0286949592
2047,,,,,,,,,,,0.0141049204,0.0038937898,0.0105421388,0.0048906878,0.0037995388,0.0740312245,0.0176498462,0.002861,0.0064984204,0.0288821633
2048,,,,,,,,,,,0.0142226561,0.0039187357,0.0106165347,0.0049231643,0.0038265327,0.074260102,0.0175749231,0.0028793571,0.0065509163,0.0290693673
2049,,,,,,,,,,,0.0143403918,0.0039436816,0.0106909306,0.0049556408,0.0038535265,0.0744889796,0.0175,0.0028977143,0.0066034122,0.0292565714
2050,,,,,,,,,,,0.0144581276,0.0039686276,0.0107653265,0.0049881173,0.0038805204,0.0747178571,0.0174250769,0.0029160714,0.0066559082,0.0294437755
